Accuracy@1,Accuracy@5,Accuracy@10
368046,368046,423257
398588,413378,418129
391123,391384,368046
389967,398588,413378
387718,391123,407017
382189,389967,318878
376990,384401,391384
374964,387718,398588
374745,382189,394234
373195,376990,391123
371998,374964,389967
359332,374745,388971
354947,373195,384401
354022,371998,387718
340806,359332,382189
340323,354947,376990
324190,354022,374964
322039,340806,374745
322832,353100,373195
317139,352389,371998
311910,340323,371684
310704,324190,359332
309402,318899,354947
308093,324135,353457
297013,323417,354022
285172,322039,340806
279120,322832,353349
274986,321641,353100
270033,318397,352389
269840,317743,349764
244321,317139,340323
216067,314130,339300
229829,311910,336997
227295,310144,324804
224962,310704,324190
184447,309402,318899
222437,308093,324135
193348,297013,323417
220686,289816,322039
220430,288198,322832
203384,285172,321641
171667,279120,318397
170102,274986,317743
159896,272591,317139
158573,270033,314130
129525,269912,314365
150271,269840,311910
152873,269578,310144
151182,264563,310704
148409,263837,309402
146546,261808,308093
132591,260751,305788
120739,185447,297013
144717,192877,289818
142466,244321,289816
133117,216067,288198
140357,238666,285172
,229829,280783
,227295,279120
,230817,274986
,228633,272591
,224962,270033
,184447,269912
,222437,269840
,193348,269578
,220686,264869
,220430,264563
,210848,263837
,203384,261808
,171667,260751
,170102,185447
,165148,192877
,164288,246021
,159896,244321
,158573,216067
,148908,238666
,155972,229829
,155238,155347
,129525,227295
,150271,209372
,149560,230817
,152979,228633
,152873,224962
,151991,184447
,152589,222437
,151182,193348
,148409,220686
,148388,220430
,148786,210848
,147801,203384
,136707,206732
,146546,171667
,122580,170102
,132591,165148
,120739,164288
,144717,161502
,142466,161217
,133117,159896
,140357,158573
,138540,148908
,,158412
,,155972
,,155238
,,155213
,,129525
,,150271
,,149560
,,154332
,,152161
,,152979
,,152873
,,152631
,,151991
,,152589
,,151673
,,151845
,,151182
,,148409
,,148972
,,148388
,,148786
,,147711
,,147801
,,136707
,,146546
,,122580
,,145086
,,132591
,,120739
,,144717
,,143930
,,142466
,,135068
,,133117
,,129704
,,140357
,,134371
,,138540
