Accuracy@1,Accuracy@5,Accuracy@10
403306,422205,422205
405749,389229,389229
361443,403306,403306
350763,375294,375294
336767,416703,416703
328221,417305,417305
321540,414088,414088
319902,320365,320365
312859,405749,405749
312531,415915,415915
314203,390669,390669
314200,390630,390630
299096,361443,361443
313684,350763,350763
313652,299248,299248
311496,283491,283491
299233,336767,336767
313069,328221,330326
312529,321540,328221
229538,319902,324546
312770,313646,321540
310416,318062,319902
308971,312859,313646
310251,317267,318062
311483,312531,312859
304626,316674,317267
309432,314631,312531
307336,314203,316674
309427,312761,314631
292109,314218,314203
307810,314200,312761
307366,314070,314218
308443,313647,313472
307465,299096,314200
305749,313684,312750
306677,311507,314070
299610,313652,313647
302249,311496,299096
301479,299233,313684
304612,313069,311507
302380,301770,313652
293633,313067,313645
302084,312529,311496
290208,229538,299233
301382,312770,313069
299617,284709,301770
287653,310416,313067
298738,308971,312529
295062,311669,229538
295823,310251,312770
296181,305308,284709
294740,311483,288720
294837,312022,310416
294147,312006,308971
294172,304626,311823
294023,311264,301493
294149,310959,311669
293124,309625,310251
288786,309432,305308
281865,307336,311483
292286,309427,312022
287656,309265,312006
288607,305950,304626
289318,292109,311264
285851,307468,310959
288332,307810,309625
287280,308451,309432
287102,307366,310061
287410,308443,307336
215680,308138,309427
236380,307956,309265
286775,307465,309431
286750,305749,305950
286761,306677,292109
285844,305450,305947
279213,299610,307468
282769,302249,307810
285384,301137,308451
285819,305459,307366
285420,291512,308443
285418,301479,308138
283788,304612,307956
283794,302143,307465
279732,302380,305749
284694,302359,306677
282949,293633,305450
281183,302084,299610
282763,301925,302249
271984,290208,301137
280557,301382,305459
280030,299617,291512
279026,300766,301479
273971,282477,304612
279554,287653,302143
279077,298738,302380
278163,299176,302677
278720,295062,302359
269124,297920,293633
277413,297918,302084
277439,297553,301925
276828,292399,290208
229539,295823,301382
276430,278080,299617
276216,296645,301396
276441,296181,301202
276266,280913,279050
276449,294740,300766
276454,295207,265261
261726,294837,282477
