Accuracy@1,Accuracy@5,Accuracy@10
236006,385394,385394
413096,405216,405216
423748,236006,236006
420972,423725,423725
412479,413096,413096
417399,423718,423718
420951,423748,423748
415522,420972,420972
396296,412479,412479
418275,416746,416746
302536,417399,417399
412285,369884,369884
168226,410049,410049
414297,422533,422533
411577,420951,420951
417201,409834,409834
395084,398381,398381
413431,421725,421725
411027,415522,415522
407084,396296,396296
393703,411017,411017
412869,417929,417929
385128,411750,411750
407505,418275,418275
406471,371027,371027
406284,420035,420035
371510,302536,302536
338450,412285,412285
405471,168226,398684
395839,414297,417947
404596,345372,168226
403461,411577,414297
403235,413590,345372
402781,417201,411577
402759,403760,413590
398309,395084,417201
395645,387951,416773
398421,413167,413427
398399,413431,403760
398674,411027,395084
398776,413690,387951
396909,409423,407536
395426,407084,413167
395913,400042,413431
395126,413149,411027
393999,393703,414254
387367,394013,413690
344220,412869,413685
393398,411468,409423
392066,411465,407084
388966,385128,400042
392602,403331,412927
389901,405562,413149
385795,407505,393703
388955,404016,394013
388931,406640,412869
384068,407289,411468
378440,387475,411465
364529,406480,410528
379299,406471,385128
377854,406284,403331
378330,406436,405562
378332,406109,407505
378109,379212,404016
306623,371510,407288
377769,338450,406640
352380,405471,407583
376269,405410,406705
376155,330135,407289
375264,395839,406440
375271,391481,387475
371546,404596,406480
373961,403461,406471
361177,403235,406284
372844,402781,406436
367314,402759,406109
355059,398309,379212
372078,394499,371510
372152,398866,338450
371424,400829,405471
370471,401031,405410
344580,401199,330135
369866,395645,395839
365181,193486,391481
369006,398421,404596
358739,399458,403461
366855,289181,403235
366985,397677,402781
366834,398399,402759
365470,398455,402530
365538,398674,398309
365537,398776,394499
365483,396909,398866
363961,337636,400829
365018,395426,401031
363053,395913,401199
364402,395126,400276
364757,394157,395645
360513,393999,193486
356116,387367,398421
361673,378535,341923
359438,344220,398631
19485,377884,399458
205731,357786,289181
357859,393398,397677
357906,392066,398399
357875,388966,398455
357251,392602,394402
356307,389941,398674
355101,389901,398776
355228,385795,395194
356124,388955,397612
352135,388931,396909
350089,384068,337636
349721,378440,395426
348445,310716,395913
349135,387140,395126
347983,386663,394157
347857,379693,393999
329457,385046,376254
347119,386070,387367
320968,384303,376821
339350,364529,378535
344827,375762,344220
337482,379717,377884
343721,379573,357786
343261,379299,393398
343634,377854,389018
231510,378330,393327
343524,378114,392066
298952,378332,388966
343445,378109,392602
343406,359117,389941
178534,306623,280825
342998,376441,389901
341903,377769,385795
314937,377798,388955
341702,374553,388931
341327,352380,384068
341219,376269,378440
231502,377031,310716
334470,374483,387140
337380,376155,386663
341118,364950,379693
340656,376329,385046
297375,374058,386070
339702,242144,384303
339347,375651,364529
335308,375264,381219
335960,375271,380654
267424,371546,380676
338083,374021,380322
320171,373961,375762
336996,354783,379717
336985,361177,379573
319004,373148,379299
326175,372844,377854
140101,367314,378731
336378,355059,378330
272153,372240,378114
334257,372078,378332
335608,372152,378109
55295,371233,378034
334236,371100,359117
334577,371424,306623
334559,370471,377837
331582,370632,376441
208626,344580,377769
332577,370448,377798
331621,369866,374553
333577,369434,352380
332305,365181,376269
332443,369229,377031
333101,369006,374483
320788,366339,376155
323444,365773,364950
293159,358739,376329
268402,366610,374058
331335,366599,242144
331685,366906,375651
331546,366855,375264
331259,366985,375271
331341,366834,375223
331062,366619,361472
331126,365470,374534
319139,365538,371546
331049,365537,374289
330931,365483,374227
330706,320673,374021
330668,363961,373961
330553,365018,354783
330389,363053,361275
329871,364402,361177
310665,364757,373148
308081,359838,365759
329930,364039,372844
323393,348461,367314
323489,360159,369973
328763,363340,355059
279781,361460,372077
244011,360513,372240
323528,356116,372078
320989,361851,372152
329445,361673,371233
329289,361290,371415
329285,359438,371100
326184,311192,371424
327355,358788,365753
327926,359887,370382
328708,231555,370471
327980,360160,370632
327964,357853,344580
327788,351358,369831
327765,19485,370448
327585,205731,370219
327044,357859,369790
326924,357906,369866
326087,357875,369434
322401,358315,365181
70140,358566,369229
326300,357856,369006
325939,357251,368994
325791,357136,366339
325836,357538,366246
323046,357521,368281
324839,349331,365773
323641,356307,367963
322232,355101,358739
322228,355228,366610
321755,344727,366599
321752,356124,366906
230082,354418,366855
320236,351212,366985
320338,349224,366834
284324,352508,366449
313761,345094,366619
318944,352135,365470
319901,350089,365538
319509,351720,365537
319050,349721,365483
319163,348445,320673
319161,203950,361561
319061,258682,363961
319022,349135,365018
292212,348798,363053
318353,345745,364402
284357,328971,364757
317954,348609,359838
317417,347983,364039
317405,347857,364352
317073,347471,348461
313697,336061,360159
316363,345736,363340
316348,329457,362345
316061,347119,361460
315907,347014,360513
315586,339982,356116
314102,336862,361851
310266,320968,361673
280076,317201,361290
313432,339350,359438
312888,344827,311192
310446,191834,358788
313211,344114,359887
313407,344297,231555
313382,344044,360160
122341,337482,360232
305739,343721,357853
16552,343261,351358
310671,343634,19485
311778,298961,205731
310494,231510,357859
312454,168745,359131
312421,343524,357906
302694,337240,357875
311194,298952,358315
306736,343445,358578
284558,342929,358566
310499,343406,357856
310685,343295,357251
292549,178534,357136
305703,342998,357538
307129,341903,357295
310196,314937,357521
302441,317912,349331
309851,153280,356307
292427,307545,355101
307405,341702,355228
293841,275910,344727
148993,126429,356124
308975,341327,354418
305585,341219,354739
297184,231502,351212
308394,308095,349224
308382,334470,353342
305707,337380,351835
307901,312540,352508
307485,340465,352462
307570,341118,345094
307163,340268,352135
307389,340342,350089
306719,340656,351720
271956,297375,349721
306366,339877,348456
305542,339702,348445
306052,339737,203950
305918,339731,349325
305796,339573,258682
280964,339347,349135
270008,338735,348798
287139,335308,345745
304929,327396,328971
304199,335960,348609
