Accuracy@1,Accuracy@5,Accuracy@10
424772,424772,424772
404471,424852,424852
420188,404471,404471
421506,423689,423689
421160,410371,410371
394030,420188,420188
393098,422792,422792
418692,421506,421506
416401,421160,251824
159917,385237,421160
409520,394030,385237
411794,393098,394030
411841,418692,393098
411588,218431,418692
408060,416401,218431
410569,217753,416401
408555,356687,217753
408124,411529,356687
273728,159917,411529
406992,269401,159917
406171,394547,269401
406995,409520,394547
406478,411794,409520
337680,411841,411794
401418,411588,411841
395071,411585,411588
399997,408060,411585
395835,410569,104379
377141,408555,408060
397467,408124,410569
396809,407434,408555
399291,407382,408124
397465,273728,407434
398965,406992,407382
396808,406171,273728
393161,406995,406992
392946,406478,406171
395691,337680,406995
393147,405376,406478
393007,404879,337680
392847,403036,405376
332635,400062,198508
386807,401418,404879
386762,119181,403036
385550,395071,400062
385389,398995,401418
383358,399997,119181
252779,398648,395071
379525,395835,398995
376882,377141,399997
378989,397467,341604
379086,396809,398648
335132,399291,395835
377184,397465,377141
352785,399087,397467
357997,398965,396809
373885,396808,399291
376779,393161,397465
376688,392946,399087
348368,319054,398965
374689,395919,396808
353221,395691,397888
355039,393147,393161
374264,393829,392946
343832,393007,397842
348758,392847,396977
373944,391520,319054
339224,388342,395919
373950,332635,395691
373788,387536,394950
372013,386807,393147
371968,386762,393829
369558,385550,393932
368452,385989,393007
365041,384543,392847
357325,385389,391520
364947,320878,392931
125326,383491,391265
361916,383358,390546
362496,252779,272342
362404,379525,388342
221782,376882,332635
362106,272472,337086
361559,380520,387536
360913,367629,172388
304176,378989,386807
350290,377474,386762
335224,379086,385550
356778,378068,377318
356363,372516,385989
345429,335132,384543
344544,377393,385389
345003,377184,320878
343242,352785,384184
341976,130922,383491
342391,335249,383358
338229,357997,252779
338675,373885,379525
342074,376779,347389
316269,376688,376882
340470,353472,272472
339896,348368,380520
336833,374689,367629
339056,353221,378337
339000,355039,378989
338531,374264,377474
183127,343832,379086
337181,348758,378619
338154,300542,378068
332521,373944,372516
335778,339224,335132
252104,373950,377393
335173,373788,377184
336231,372013,352785
334992,355926,130922
321608,106228,335249
316356,372818,357997
335147,40580,86168
333541,371968,373885
332019,71406,376779
334625,367465,376688
333803,369558,353472
332053,369319,348368
333654,369295,374689
