Accuracy@1,Accuracy@5,Accuracy@10
426009,425999,425999
339754,426009,426009
425907,339754,339754
416799,425907,425907
422042,416799,416799
404543,422090,422090
414134,421045,421045
409029,422042,422042
413455,377113,405453
413457,404543,377113
413335,420052,420182
413334,414134,404543
413333,409029,420052
413331,411452,336054
413328,408505,414134
413325,413455,412584
413195,413457,409029
413199,413338,411452
411058,413337,414455
394803,413335,408505
407270,413334,413455
408957,413333,413457
408298,413331,413338
407862,413328,413337
408608,413325,413335
358376,413316,413334
408146,413195,413333
407457,413197,413331
392774,413199,413328
406912,413200,413325
405244,412885,413316
404776,409603,413195
384175,409239,413197
403941,411006,413199
403346,411058,413200
395411,394803,412885
394473,407270,409603
393792,408957,409239
393856,408298,411006
393919,407862,411058
393729,408608,394803
389910,358376,407270
392784,408146,408957
392839,407555,408298
387315,407457,407862
392389,392774,408608
392811,406912,358376
392610,405244,408146
384886,404776,407555
388105,384175,407457
392229,399547,392774
391254,403941,406912
392420,399560,405244
391364,403346,404776
391050,399151,404163
391892,398070,384175
391675,398046,396316
391398,394851,399547
383392,395411,403941
387641,394473,399560
389773,393792,403346
386893,393723,388628
378383,393856,399563
382175,393727,399151
379792,393919,398070
387980,372145,398046
386220,393729,394851
387245,393156,395411
387144,389910,392498
385070,392784,394473
386594,380875,393792
377600,392785,393723
384381,392839,393728
339342,387315,393856
382840,392389,393727
378264,392811,393919
378482,391742,372145
376826,392610,393729
375721,392488,393681
373036,384886,393156
373253,388105,389910
375619,392229,392784
353084,391254,380875
372138,365934,392785
372760,387204,392839
362133,392420,387315
368710,384887,392389
368757,391364,392811
368417,391050,391742
368290,259141,392616
367120,391892,392610
366989,391722,392488
365807,391675,384886
365772,377019,388105
364761,391413,392229
364764,391408,391254
364769,391404,365934
340729,391398,387204
362246,391269,390514
360872,388574,392420
335962,385253,384887
362291,383392,391364
361292,387641,390853
361177,389773,391050
346517,324435,259141
361189,386893,391892
332259,378383,380966
357026,382175,391722
345682,383189,391675
349978,379792,377019
357138,387980,391413
175821,386220,391408
322912,387245,391404
344487,387144,391398
344686,386177,391269
344591,386778,388574
344516,385070,385253
335056,386594,383392
333630,385939,389250
270490,345296,387641
327260,377600,389773
65899,384381,324435
339941,380533,386893
333323,381006,378383
339345,383069,387338
338825,339342,382175
329456,382887,383189
338448,382840,372560
275071,378264,379792
335373,380730,387980
335887,368629,386220
337263,378482,387245
325241,372790,387144
329872,378081,386177
272331,379042,386778
335172,377385,386260
335304,376826,385070
329216,375721,386594
319188,373036,385939
334067,373253,345296
333914,375619,245388
333893,353084,377961
333086,373794,377600
332917,372138,384381
332700,372760,380533
332003,372599,381006
330757,355341,383074
327560,362133,383069
329058,368710,339342
328909,368757,382887
322525,356414,382840
329576,369228,378264
328864,369152,380730
150870,368417,379998
324236,368290,368629
326861,344401,378482
324254,367120,372790
326672,366989,378081
327113,365473,379042
326479,365807,378344
307302,365772,99718
284028,365462,377385
325153,219305,376826
323995,364761,375721
320064,364764,373467
317163,364769,373036
323092,340729,373253
323056,333448,375619
303454,362246,353084
312960,360872,374628
322222,335962,364116
315140,337269,373794
316806,275159,333972
316238,362999,372138
320484,362291,372760
315948,356571,372729
320581,361292,372599
315812,361177,355341
313740,346517,362133
313593,361189,368710
312830,332259,368757
314914,359101,369599
315326,342282,356414
313594,357026,369228
314066,345682,369227
313937,349978,369226
313787,358188,369152
312346,331948,369151
311809,357138,368417
312722,355149,368290
312528,355090,367848
312112,281912,344401
311973,352880,367414
312097,353523,96320
311974,347756,367120
298744,348164,366989
309570,352487,365473
311819,351494,365807
310636,347490,365772
291749,345650,365462
311462,347022,219305
311466,175821,364761
311303,322912,364764
311302,345892,364769
310912,345924,340729
310290,344487,333448
247216,306941,362246
308500,336485,361004
308057,343454,360872
212594,344686,363801
297480,344591,335962
305230,344642,337269
305553,344516,275159
305444,344597,362999
305536,335056,362291
305070,344324,356571
304606,333630,304001
304802,335307,361292
304750,342648,361177
302861,341958,346517
69814,341134,361189
298942,341212,332259
301018,243894,359101
298612,270490,345093
298473,327260,342282
280005,65899,357026
296284,340603,345682
297477,116892,349978
297911,339655,358188
185202,339941,331948
294368,333759,357696
260407,333323,357138
72905,339345,355149
281383,338981,356476
274432,339116,349812
235554,338937,355090
292187,338825,350312
292119,329456,281912
277355,324155,352880
291724,338448,353523
291726,275071,348309
288474,335373,347756
291354,335887,348164
280277,337499,352487
290635,337263,351494
290320,337203,347490
290204,335134,348761
84620,325241,345650
289467,306039,347022
279356,329872,175821
289219,272331,322912
287307,335928,345892
277072,335172,345924
288480,335304,341895
284858,335882,344487
287694,329216,344392
287149,334865,306941
274532,334723,336485
287278,319188,343454
214807,334067,87238
286687,333914,344686
276892,333893,344591
251270,331310,344642
279052,333500,344516
280537,333386,344597
268789,332389,335056
108792,332282,344324
285656,333086,333630
273678,332917,335307
276110,332709,342648
273850,332872,342488
283313,332599,341958
281352,332700,341134
278370,332600,341212
277377,332003,243894
278413,331993,270490
277442,330757,327260
261206,330540,65899
277668,327560,340603
276564,307345,340248
276506,330299,116892
276854,329058,339655
276485,330268,339941
276516,329916,333759
275875,328909,333323
275913,322525,339345
268503,327332,338981
266172,329576,339116
274001,328654,336957
275484,328864,338937
267884,328706,338825
270316,150870,329456
270495,324236,324155
245278,328290,338448
236808,327362,275071
274169,326861,335373
273939,324254,335887
273492,326672,337499
273521,316712,337263
273313,327113,337203
273117,326479,335134
272834,307302,325241
271691,297511,320636
272833,284028,306039
253056,325153,329872
272259,325012,272331
259687,276346,335928
270670,318830,335172
270406,322966,335304
270861,323995,335882
185204,323763,329216
268651,323535,334865
269950,320064,332096
267895,317872,334624
269533,317163,334723
268649,323219,324662
268787,323092,334420
268543,323056,319188
236630,303454,334067
268303,322438,333914
267126,312960,333893
266828,322222,331310
253075,315140,333500
265991,316806,333386
264425,243529,332389
262968,322137,332282
264762,312365,333086
264764,316238,332830
263971,297633,332917
263620,320484,332709
247444,315948,332872
258727,320581,332599
261576,299451,332700
261854,313208,332600
153432,313846,332003
261354,315812,332083
251454,218929,331993
237517,319582,330757
256173,313740,330540
245590,309269,331474
257237,313593,327560
260076,317782,319893
258134,316811,307345
250179,312830,330299
257967,314914,329058
257534,315326,330268
257238,313594,329916
256870,314064,328909
256770,313711,322525
256845,314066,327332
257056,313937,329576
256350,312315,328654
245523,311817,328864
255821,313787,328706
253254,312346,300620
251762,313444,150870
250175,312734,324236
253057,311809,328290
253058,312722,327362
253294,307991,326861
252895,312528,327974
252749,312112,324254
246274,311973,326672
252370,312097,316712
251128,311974,327113
251469,288669,326479
251603,298744,307302
250178,309570,297511
251442,311819,284028
250172,291326,325153
251007,310636,324345
249286,291749,325012
248731,311602,276346
247069,311462,321754
247557,311466,318830
247290,311303,322966
247083,311292,323995
246602,311302,323763
243558,305433,323535
244234,311216,320064
243012,310912,317872
241671,310290,317163
232688,288824,323219
241490,291253,323092
239220,308496,323056
211202,247216,303454
226369,308500,322438
237986,308057,312960
236689,212594,322222
230120,213050,315140
230118,294737,316806
235806,297480,243529
164437,305095,322137
219437,305230,312365
233844,305294,316238
234823,305335,321614
234732,305704,297633
234271,304093,320484
233595,305553,315948
233351,305444,320581
232475,305537,299451
201774,305536,313208
231787,305070,313846
231884,304606,317843
231606,304802,315812
230489,304750,218929
230071,301911,319582
229841,285223,313740
225677,298435,309269
220471,302861,294761
226229,225401,294860
223015,69814,313593
42485,301684,317782
207909,298942,317051
221411,301018,316811
224462,300641,312830
,252390,314914
,300070,315326
,299094,313594
,298612,314064
,298473,313711
,295959,314066
,119192,313937
,280005,312315
,299302,311817
,296284,313787
,297477,312346
,297605,313444
,298424,312734
,297911,309907
,297507,311809
,188372,312722
,188440,307991
,185202,312528
,295774,309753
,295513,312112
,295232,311973
,294368,312097
,260407,311974
,294053,288669
,288468,298744
,293513,309570
,72905,311819
,293490,291326
,293315,310636
,286040,291749
,278081,311602
,281383,311462
,274432,311466
,235554,311303
,136932,311292
,290568,311302
,211983,305433
,72872,311216
,292187,310912
,292119,310401
,277355,310290
,291918,107337
,291724,288824
,291726,291253
,288474,303818
,291307,308496
,291354,247216
,289752,298143
,280277,308500
,291030,308057
,290759,292665
,290635,305096
,228695,212594
,142593,213050
,290320,303263
,290397,294737
,290216,297480
,290240,36806
,290204,305095
,289401,305230
,289244,305332
,84620,305294
,202414,305335
,289470,305704
,289467,304093
,279356,305553
,289219,305444
,287307,305537
,277072,305536
,288856,305070
,288480,302972
,284858,304606
,287694,304802
,287149,304750
,276416,301911
,278489,300995
,274532,285223
,287278,298435
,270531,302861
,214807,225401
,271765,301212
,286763,69814
,286687,301684
,276892,298942
,262925,301018
,251270,300641
,279441,252390
,279052,295483
,280537,300070
,68194,299241
,36802,299094
,268789,298612
,108792,298473
,285656,295959
,278944,119192
,273678,280005
,276110,299302
,283108,246505
,279712,296284
,273850,297477
,282441,297605
,283313,298424
,281352,297911
,279676,297507
,278625,188372
,278376,188440
,280921,185202
,278981,295774
,278370,295856
,277377,295513
,279313,295368
,77217,295232
,245572,294368
,277474,260407
,276178,294053
,280976,288468
,278413,293513
,277268,72905
,277442,293490
,261206,293315
,277437,286040
,277668,278081
,277314,281383
,276564,274432
,277173,235554
,276506,136932
,276854,290568
,276485,211983
,276516,72872
,276531,291486
,276683,292187
,276760,292119
,275875,277355
,275913,291918
,269413,291724
,268503,291726
,275681,288474
,266172,291209
,274001,291307
,275484,291354
,267884,289752
,270316,291229
,274385,280277
,254861,291030
,270495,290759
,273099,290635
,271029,228695
,274274,279408
,245278,142593
,274890,290320
,274022,290397
,236808,290216
,274169,290240
,274538,290204
,274295,290125
,273635,289401
,258391,289244
,273939,84620
,273492,202414
,273631,289470
,273521,289467
,272412,288506
,273313,279356
,271384,148532
,273280,275070
,273117,289219
,273083,287307
,272834,277072
,271691,288856
,272833,288452
,267680,288480
,272616,284858
,253056,287694
,272259,287149
,222783,276416
,271634,278489
,259687,274532
,270670,278704
,271179,287278
,270406,287119
,271027,270531
,271017,214807
,270861,271765
,270663,286763
,185204,286687
,268651,276892
,136515,285773
,263589,262925
,270177,251270
,270140,279441
,269950,279052
,267895,280537
,269599,68194
,267468,285641
,269533,36802
,268649,268789
,253217,108792
,268410,285656
,268787,278944
,268613,279877
,253214,284993
,268543,273678
,267129,276110
,236630,275900
,267174,283108
,267886,279712
,268303,273850
,267126,282441
,267752,283313
,267516,281352
,255000,277567
,266828,279676
,261548,278625
,266625,278376
,266344,278780
,253075,280921
,265991,278981
,265481,278370
,265570,277377
,265427,279313
,264425,77217
,252251,245572
,262968,277474
,264762,276178
,264764,280976
,264212,278413
,263971,277268
,264553,277442
,264019,261206
,263620,277437
,262955,277668
,263967,277235
,263677,277314
,247444,276564
,263664,277285
,250575,277173
,260761,276506
,258727,276854
,262939,276485
,256346,276516
,250443,276531
,261576,276553
,261854,276683
,153432,276760
,261354,275875
,261228,275913
,261099,269413
,259003,268503
,251454,275681
,182914,266172
,237517,274001
,253227,275484
,242838,267884
,253745,270676
,256173,270316
,245590,262981
,257584,274385
,257088,254861
,257237,270495
,260076,273099
,259910,271029
,256719,274274
,257582,245278
,245783,274890
,258978,274022
,258975,236808
,256169,274169
,258134,274538
,250179,274295
,257967,273635
,257534,258391
,256476,273939
,257614,273492
,257238,273919
,256870,273631
,256770,273521
,256845,272412
,257056,273313
,223590,271384
,256687,273280
,256350,273117
,255403,273083
,253673,272834
,245523,254497
,255821,271691
,128804,272833
,255373,272868
,254808,267680
,254607,272616
,253254,253056
,251762,272259
,250175,222783
,253057,188320
,253058,253229
,253265,271634
,253294,259687
,239141,270670
,252678,271179
,252895,270406
,252749,271027
,252642,271017
,252747,270880
,246274,270861
,246541,270663
,253240,270654
,252245,185204
,252370,268651
,252679,226973
,252995,266974
,247558,136515
,252464,263589
,210443,270177
,222791,270140
,251149,269950
,251128,267895
,251469,269599
,251583,267468
,251603,269533
,250178,269506
,249003,268649
,251442,268853
,50228,253217
,250172,268410
,251084,268787
,250976,268613
,251007,253214
,250782,268543
,248551,267129
,250327,236630
,249286,267174
,249000,267886
,248731,252416
,248735,268303
,247069,267717
,248187,267126
,248167,267841
,247649,267752
,247557,267103
,247290,267516
,247237,267196
,247083,255000
,246602,266828
,243558,261548
,245379,266625
,231776,266344
,239965,253075
,244234,261732
,243924,265991
,241062,265481
,243012,265897
,242603,265570
,97496,264399
,241671,265393
,242003,265427
,232688,265326
,242030,264425
,241144,252251
,236724,262968
,240817,264762
,241720,264764
,241490,264212
,211536,263971
,86745,264553
,236312,264255
,239220,264019
,211202,263620
,238847,262955
,226369,263967
,238149,263677
,237986,247444
,125499,263664
,54525,256940
,237138,262970
,236689,256919
,230120,250575
,230118,260761
,232689,258727
,235806,262984
,164437,263062
,235329,262939
,227914,262573
,235219,256346
,232686,256327
,219437,262346
,233844,250443
,234823,261576
,234732,261854
,223823,153432
,234271,261354
,234119,252479
,233598,261228
,233595,261099
,233485,259003
,233351,251454
,233099,182914
,232965,237517
,232499,253227
,225404,258992
,228282,260364
,232475,242838
,201774,253745
,229181,256173
,232093,245590
,231787,258305
,231925,260291
,227076,257584
,231884,260123
,231606,257442
,214503,257088
,229520,257237
,223926,260076
,231192,259910
,231148,259295
,230489,256719
,229680,257582
,230071,245783
,229841,258978
,148094,258975
,228287,258970
,225677,256169
,225975,258159
,220471,258134
,224122,250179
,174014,257967
,226229,257534
,223015,256476
,169839,257614
,226022,257238
,226747,256685
,197238,256870
,177368,256770
,143358,256845
,42485,257056
,130470,223590
,153365,256688
,224941,256687
,220465,256350
,225329,255403
,207909,253673
,225440,245523
,221411,255658
,221268,255821
,224462,128804
,,255373
,,252418
,,254808
,,254607
,,253254
,,251762
,,250175
,,253259
,,253057
,,253058
,,253265
,,253294
,,239141
,,252678
,,252895
,,252749
,,252642
,,252747
,,246274
,,246541
,,253240
,,252245
,,252370
,,252422
,,252679
,,252995
,,247866
,,252460
,,247558
,,252464
,,251779
,,210443
,,222791
,,251149
,,251618
,,251128
,,251469
,,251583
,,251603
,,251607
,,250178
,,249003
,,251442
,,50228
,,250172
,,251084
,,250976
,,251007
,,211048
,,250782
,,250622
,,242716
,,248551
,,250327
,,249286
,,249000
,,249608
,,211696
,,248731
,,248735
,,247069
,,248187
,,248167
,,247649
,,247557
,,247549
,,247290
,,247318
,,247237
,,247083
,,244318
,,246602
,,243558
,,245379
,,245185
,,244574
,,49996
,,231776
,,239965
,,196884
,,244234
,,244072
,,243924
,,241062
,,243012
,,243232
,,242603
,,97496
,,241671
,,242003
,,232688
,,242030
,,241144
,,236724
,,240817
,,241720
,,241380
,,241490
,,211536
,,236634
,,86745
,,239231
,,236312
,,239220
,,211202
,,238847
,,226369
,,238149
,,237986
,,125499
,,54525
,,226090
,,237138
,,236689
,,230120
,,230118
,,232689
,,235806
,,164437
,,235617
,,235329
,,235348
,,227914
,,235219
,,232685
,,232686
,,219437
,,233844
,,234823
,,234732
,,223823
,,234271
,,233638
,,234158
,,234119
,,233598
,,233595
,,233485
,,233351
,,233099
,,232965
,,232499
,,225404
,,228282
,,231882
,,232475
,,201774
,,229181
,,232093
,,231787
,,231925
,,227076
,,231884
,,231606
,,228167
,,231449
,,214503
,,229520
,,223926
,,231192
,,231148
,,231009
,,230489
,,212991
,,230912
,,216919
,,229680
,,230071
,,229841
,,148094
,,214381
,,228287
,,226016
,,225677
,,225975
,,220471
,,224122
,,226363
,,174014
,,73390
,,226229
,,223015
,,169839
,,226022
,,158243
,,226747
,,197238
,,177368
,,143358
,,42485
,,130470
,,153365
,,224941
,,211181
,,225946
,,220465
,,225593
,,225329
,,207909
,,225440
,,221411
,,221268
,,224462
