Accuracy@1,Accuracy@5,Accuracy@10
56012,56012,56012
55893,55943,55943
55958,56025,56025
55905,56010,56010
55820,55893,55893
55811,55978,55978
55778,55974,55974
55760,55970,55970
55749,55960,55960
55684,55958,55958
55681,55905,55905
55664,55820,55820
55656,55811,55811
55251,55851,55801
55642,55778,55851
55317,55772,55842
55570,55760,55804
52558,55749,55778
54693,55684,55772
55521,55681,55760
55527,55664,55749
55343,55656,55735
55494,54095,55684
55453,55251,55681
55434,55642,55664
55354,55630,55656
55345,55629,54095
55333,55317,55251
55259,55570,55642
55240,46727,55630
55238,52558,55629
55207,54693,55317
55218,55521,55570
55210,55527,46727
55186,55343,52558
55184,55342,55552
55183,55500,54693
55180,55494,55521
55179,55453,55527
53777,51526,55343
55158,55434,55342
55159,55354,55500
55017,55404,55494
55151,52092,55453
55102,55345,51526
55126,55333,55434
55101,55316,55354
55073,55309,55404
55109,55287,52092
55110,55262,55345
54999,55259,55333
54964,55240,55316
54961,55238,55312
54984,55207,55309
54906,55218,55287
54708,55210,55291
54807,55186,55262
54851,55184,55259
54748,55183,55250
54732,55180,55240
54702,55179,55238
54658,53777,55228
54660,55158,55207
54628,55159,55231
54585,55017,55218
54552,55151,55210
54536,55102,55200
54521,55126,55186
54513,55101,55184
54496,54745,55183
53869,53987,55181
54476,55073,55180
54458,55108,55174
54438,55109,55179
54440,55110,53777
54406,55052,55160
54379,54999,55158
54377,54997,55159
54150,54971,55017
54220,54964,55151
54207,54963,55102
54198,54961,55126
54123,54984,55101
54068,54974,54745
54054,54703,53987
54045,54906,55073
54010,54926,55108
53993,54801,55109
53713,54178,55110
53828,54708,55052
53783,54781,54999
53725,54807,54997
53714,54822,54971
53641,54851,54964
53607,54748,54963
53606,54732,54961
53535,54599,54944
53469,54724,54984
53529,54710,54974
53526,54702,54703
53523,54658,54906
53445,54660,54926
53421,54690,54888
53450,54671,54801
52954,54628,54178
53266,54624,54708
52955,54585,54781
53373,54602,54800
53367,54552,54807
53032,54536,54822
53008,54239,54851
53337,54456,54748
53342,54521,54732
53180,54534,54599
53081,54513,54724
53090,54497,54721
53254,54496,54710
53056,53869,54709
52998,54476,54702
52066,54458,54658
52957,54450,54660
50860,54324,54690
51893,54438,54671
51237,54440,54628
52926,54406,54624
52850,54387,54612
52776,54379,54585
52719,54382,54602
52772,54381,54552
52770,54377,54536
52767,54380,54239
52729,54262,54456
52727,54150,54521
52726,54220,54534
52760,54217,54513
52758,54207,54497
52669,54198,54496
52607,54141,53869
52606,54123,54476
52444,54127,54458
52511,54096,54450
52461,54076,54324
52443,54068,54438
52245,54067,54440
52316,54054,54406
52356,54017,54387
52354,54012,54379
52321,54045,54382
52208,54010,54381
52173,53993,54377
51952,53863,54380
51905,53713,54284
51860,53828,54262
51852,53800,54256
51794,42181,54150
51698,53783,54220
51712,53725,54217
51736,53714,54207
51704,53697,54198
51558,53702,54143
51688,53700,54141
51658,53574,54087
51654,53481,54123
51615,53641,54127
51588,53607,54096
51555,53606,54076
51509,53535,54068
51518,53469,54067
,53529,54054
,53526,54022
,53523,54017
,53513,54012
,45995,54045
,52135,54010
,53467,53993
,53460,53863
,53445,53713
,53421,53828
,53450,53801
,53406,53800
,52954,42181
,53266,53783
,52955,53725
,53374,53714
,53373,53697
,53367,53702
,53032,53700
,53230,53574
,53354,53481
,53008,53641
,53337,53607
,53301,53606
,53342,53535
,53169,53469
,53180,53529
,53081,53526
,53090,53523
,53074,53513
,53254,45995
,53067,52135
,53063,53467
,53087,53465
,53056,53460
,50864,53445
,52998,53430
,52066,53421
,52957,53450
,50860,53406
,51893,52954
,51237,53266
,52926,52955
,52723,53374
,52850,53373
,52776,53367
,52719,53032
,52772,53230
,52770,53354
,52767,53008
,52731,53337
,52729,53301
,52727,53342
,52726,53169
,52725,53322
,52760,53180
,52758,53081
,52669,53090
,52666,53074
,52607,53254
,52606,53067
,52577,53063
,52444,53087
,52511,53056
,51408,50864
,52461,52998
,52443,52066
,52245,52957
,52328,50860
,52387,51893
,52326,51237
,52316,52926
,52384,52723
,52356,52850
,52354,52776
,52213,52500
,52293,52719
,52321,52772
,52208,52770
,52028,52767
,52173,52732
,50570,52731
,52051,52729
,51972,52727
,51952,52726
,51956,52725
,51905,52724
,51860,52804
,51852,52760
,51580,52758
,51687,52669
,51811,52666
,51794,52607
,51698,52606
,51712,52577
,51736,52444
,51704,52547
,51558,52543
,51688,52511
,49683,51408
,51658,52480
,51654,52461
,51650,52443
,41673,52245
,51641,52440
,51615,52328
,51614,52387
,51588,52326
,51586,52316
,51545,52384
,51555,52356
,41709,52354
,51509,52213
,51518,52293
,,52321
,,52208
,,52028
,,52225
,,52173
,,50570
,,52113
,,52051
,,51972
,,51952
,,51956
,,51905
,,51860
,,51852
,,51580
,,51687
,,51811
,,51794
,,51698
,,51712
,,51736
,,51704
,,51558
,,51688
,,49683
,,51658
,,51654
,,51650
,,41673
,,51641
,,51615
,,51614
,,51588
,,51586
,,51545
,,51555
,,41709
,,51509
,,51518
