Accuracy@1,Accuracy@5,Accuracy@10
368046,368046,419279
391384,407017,368046
391123,408721,407017
387718,404600,408721
382189,391384,404600
376990,398588,391384
374964,391123,398588
374745,389967,391123
373195,389456,389967
371998,384401,389456
371684,387718,388971
359332,382189,384401
354947,376990,387718
340806,374964,382189
340323,374745,376990
324804,373195,374964
324190,371998,374745
318899,371684,373195
324135,359332,371998
322832,354947,371684
318397,353457,359332
317743,340806,354947
317139,353349,353457
311910,353100,354022
297013,349764,340806
289816,349636,353349
280783,348488,353100
274986,340323,349764
270033,282379,349636
269578,324804,348488
260751,324190,340323
185447,318899,339300
216067,324135,336997
229829,320468,282379
155347,323634,324804
227295,322039,324190
230817,322832,318899
224962,321641,324135
184447,318397,320468
163802,317743,323634
222987,317139,322039
193348,314766,322832
220686,311910,321641
220430,310144,318397
210848,310704,317743
203384,309402,317139
171667,308093,314766
170102,305788,314365
161217,298786,311910
155148,297013,310144
150271,120375,310704
152589,289818,309402
148409,289816,308093
136707,288198,305788
145322,280783,298786
145086,274986,297013
132591,270033,120375
120739,269902,289818
129704,269912,289816
134541,269840,288198
,269578,287315
,266996,280783
,266602,279120
,264869,274986
,261808,272591
,260751,270033
,185447,269902
,186884,269912
,192877,269867
,245734,269840
,244321,269578
,216067,266996
,238666,266602
,229829,264869
,155347,261808
,227295,260751
,233497,185447
,230817,186884
,228633,192877
,224962,245734
,184447,244321
,163802,216067
,222987,238666
,222437,229829
,193348,155347
,220686,227295
,220430,233497
,210848,230817
,203384,228633
,171667,224962
,170102,184447
,165148,163802
,164288,222987
,161502,222437
,149908,193348
,160496,220686
,161217,220430
,160167,210848
,159896,203384
,158573,171667
,155148,170102
,129525,165148
,150271,164288
,152161,161502
,152388,149908
,152979,160496
,152873,161217
,152835,160167
,152631,159896
,152589,158573
,151182,158624
,148409,148908
,148911,155238
,148786,155148
,136707,129525
,146546,150271
,122580,152161
,145322,152388
,145086,152979
,132591,152873
,120739,152835
,144717,152631
,141956,151991
,133117,152589
,129704,151938
,134371,151673
,138286,151845
,138540,151182
,136585,148409
,136665,148972
,134541,148911
,,148786
,,136707
,,146546
,,122580
,,145322
,,145086
,,132591
,,120739
,,144717
,,143930
,,142466
,,138223
,,141956
,,133117
,,129704
,,140357
,,134371
,,138286
,,138540
,,136585
,,136665
,,134541
