Accuracy@1,Accuracy@5,Accuracy@10
403306,389229,389229
375294,403306,403306
405749,375294,375294
415915,320365,416987
390630,405749,414088
375600,415915,320365
336767,415922,405749
328221,390630,415915
324546,361443,415922
319902,375600,390669
318062,350763,390630
312531,336767,368682
314631,333860,361443
314203,328221,375600
313684,324546,350763
313652,321540,336767
288720,319902,333860
311678,313646,330326
310457,318062,328221
311483,312859,324546
305851,317267,321540
307366,312531,319902
308443,315050,313646
307465,315035,318062
307470,314631,314233
302249,314203,312859
304612,314218,317267
293633,287790,312531
301382,314070,315050
299176,313835,315035
295062,299096,314631
296181,313684,314203
294740,313652,312761
294837,311831,314218
294225,311496,287790
294147,299233,314070
292841,289728,313835
293748,312767,313647
293390,313069,299096
292286,301770,313684
290480,312521,311507
282237,313067,313652
282248,312529,313645
285851,284709,309071
288332,304308,311831
288592,288720,311496
288043,284068,313292
288201,311678,299233
287280,308971,289728
287781,311669,312767
287102,312030,313069
286389,310251,301770
238453,305308,312521
236380,310457,256537
286775,311483,313067
284367,304626,312529
286750,310971,229538
286761,305117,284709
286352,305851,304308
285384,307353,288720
284870,309432,284068
285418,310061,311678
285812,307336,308971
284988,288446,311669
279732,309431,312030
284694,292109,310251
283973,307810,305308
282250,307366,310457
284312,308443,311483
282846,307465,312036
282763,307470,304626
282246,305749,310971
282120,306677,305117
271984,298456,305851
281802,305450,307353
281299,303457,309432
280032,299610,310061
277908,302249,307336
280030,295687,309911
279026,291512,309265
273971,304612,288446
279186,302380,309431
279077,302359,305950
276226,293633,292109
278547,301382,307810
278999,299617,308451
278163,301380,307366
278714,300461,308443
269124,299035,308138
275825,299349,307465
277271,298636,307470
224242,299176,305749
159857,295062,306677
261726,297920,298456
276406,297553,305450
275430,292399,303457
271109,297149,299610
275415,295947,302249
275008,296181,295687
273535,294740,296428
275258,294837,291512
274941,292730,301479
274257,294423,304612
273556,294225,302143
273377,294147,302380
273366,294023,302359
267535,294149,293633
272645,292841,301925
271856,292989,300631
270247,293748,290208
270692,293390,301382
270909,293124,299617
269920,288786,301380
270563,292847,301202
267120,284964,300461
270244,292286,299035
269923,290480,299456
268282,282237,287653
269768,287656,299349
269646,285840,298636
244501,288617,298738
266795,288655,299176
259612,282248,295062
268034,289372,297920
267581,288607,297553
267159,289318,292399
267570,285851,295823
265244,288332,297149
255309,286321,295947
265102,288592,296181
264836,288043,294740
264975,288201,294837
260681,287513,292730
259729,287280,294423
263913,287781,294225
261961,287399,294147
261772,287102,294023
261602,287774,294149
261456,286389,292841
259874,215680,292989
261320,238453,293748
259776,236380,293390
261154,286775,289308
260249,284367,293124
172286,286750,293006
259123,286761,288786
254933,285844,292847
258654,279213,284964
258636,286352,281865
258388,285384,292286
258773,285819,290480
258394,284870,282237
258633,285420,287656
258582,285418,285840
257028,285812,288617
255600,284988,288655
254977,284816,282248
169817,284954,289372
256167,283794,290086
230486,279732,288607
254402,284467,289318
251558,284694,285851
253161,280560,288802
252313,283973,288332
251494,283507,286321
252301,282250,288592
252148,284312,288043
248324,282846,288201
251810,284075,287513
251052,282949,287280
251960,281183,287931
250711,282763,287781
247126,282246,287662
246193,281816,287399
231237,282120,287102
247129,271984,288084
232730,281802,287649
245624,281299,287534
245812,281308,287774
245629,280032,287635
245510,277908,286389
245502,280030,215680
244389,279026,238453
243717,273971,236380
244916,279899,286775
234531,279589,284367
244115,279186,286750
243368,279554,280886
242846,279073,286761
243248,279077,285844
241650,276226,279213
237550,278547,286352
242455,246904,285384
242205,278999,285819
241043,278163,284870
234826,278714,285420
239546,263596,285418
240895,269124,285812
238720,275825,285114
240431,235504,284988
239920,270217,284951
236389,277430,284816
239027,277271,284954
238935,224242,283794
237748,276218,284813
237569,276430,279732
237182,276441,284467
205717,275591,284694
236744,275601,280560
235620,159857,283973
235749,261726,283507
235059,276406,282250
234758,276408,284312
228344,276036,281940
233400,272090,282846
232637,275430,284075
232221,271109,282949
231480,270451,281183
230306,273998,282763
230033,275420,282488
229524,275415,282246
229649,275008,281816
230098,273535,282120
228372,275258,281956
228138,274941,281517
226742,274257,271984
224262,275271,281450
226631,273524,281802
226859,274218,281299
223088,273556,281308
226871,273367,280032
209799,273377,277908
226445,273366,279889
226066,273365,278583
,273007,280389
,267535,280392
,272645,280030
,271856,279026
,272114,273971
,271781,274779
,271558,279899
,271407,279589
,270247,279186
,270692,279554
,270909,279073
,269920,279077
,270695,276226
,270563,279066
,267120,278547
,268491,246904
,270244,275764
,270239,278999
,270077,278163
,269923,278718
,268282,278714
,269641,278706
,268916,263596
,269768,269124
,269646,275825
,244326,235504
,244501,277413
,268912,277439
,266795,270217
,259612,277430
,268537,277271
,268034,273532
,267581,276658
,267792,276828
,124950,273368
,267159,224242
,265965,276656
,267570,276218
,246810,276430
,266793,276216
,266783,276441
,265244,273187
,266654,275591
,265434,276449
,265403,275601
,255309,159857
,265102,261726
,263851,276406
,264836,276408
,264303,275406
,264975,275813
,260681,276036
,259729,275837
,261316,275830
,263913,272090
,261961,275430
,261772,275587
,261308,271109
,261746,270451
,261602,273998
,261314,274927
,261456,275420
,259874,275415
,261440,275008
,261320,273535
,259693,275258
,259776,274941
,261154,274257
,260249,275271
,260818,273524
,251674,274234
,172286,274218
,236018,273556
,259904,273367
,259901,225695
,258898,273377
,259123,273374
,258047,273366
,254933,273365
,258654,273007
,259650,237427
,184837,267535
,259469,272645
,258636,271856
,259056,189227
,258388,272114
,258787,261160
,258773,270545
,258394,271591
,258627,271825
,258633,271781
,258582,271558
,257044,271725
,257028,271407
,258382,270247
,255600,270692
,254979,270909
,254977,269920
,169817,269952
,252043,270253
,254981,270695
,256167,270696
,247384,270563
,239190,267120
,231395,268491
,230486,270244
,252318,270239
,254402,270077
,251558,269923
,253161,268282
,252313,269641
,251494,268916
,252301,269768
,252148,269646
,248324,269334
,251810,244326
,251052,244501
,251048,268912
,250727,266795
,250905,268266
,251960,259612
,250711,268537
,250890,268034
,250216,267581
,247126,267792
,236384,124950
,247163,267159
,248817,265965
,246193,267570
,231237,267563
,247129,267341
,232730,246810
,245499,266793
,246969,266914
,246027,266783
,245333,246507
,245624,265244
,245812,266654
,245629,266459
,245510,266075
,245502,265434
,244389,265403
,243717,255309
,244916,265102
,243982,263851
,235707,264836
,243464,264303
,243981,264975
,234531,260681
,244115,259729
,243368,261316
,242846,263913
,243248,262749
,243141,261809
,241650,259613
,237550,261961
,242455,261772
,242205,261308
,241043,261746
,234826,261602
,241344,260229
,239597,261578
,239546,261314
,240895,261456
,238720,259874
,240431,261440
,239926,261320
,239920,259693
,231110,259776
,236389,261154
,239027,260249
,236984,260818
,235050,251674
,234407,172286
,236564,236018
,238935,259904
,237748,259901
,235757,258898
,234294,259123
,237569,234064
,237182,258047
,205717,254933
,236744,258654
,236561,259650
,235507,184837
,235620,259469
,236338,258636
,235998,259056
,233885,258388
,235532,258787
,235749,258773
,235773,183437
,235760,258394
,235544,258627
,235059,258633
,235040,258582
,234758,257044
,233376,257028
,234078,258382
,234052,256855
,209755,255600
,228344,194246
,233400,254979
,232637,254568
,233131,254977
,232221,169817
,232898,252043
,194374,254981
,232230,256167
,231043,247384
,223576,239190
,231353,231395
,231480,230486
,231085,252318
,228551,254402
,167618,251558
,231058,253654
,228244,253161
,230306,253640
,230033,252313
,229524,251493
,230105,251494
,230103,252526
,229649,252301
,229521,252148
,230098,244276
,228372,248324
,229220,251810
,228131,251052
,229908,251048
,228138,250727
,226742,250905
,224262,251960
,226631,239098
,223456,250711
,227074,250890
,226859,250216
,223088,247126
,226871,236384
,223314,247163
,209799,248817
,224758,246817
,226445,247386
,226066,246193
,225927,231237
,,247129
,,232730
,,246312
,,237582
,,245499
,,246969
,,245465
,,246027
,,245079
,,239266
,,245839
,,245333
,,245624
,,245812
,,245629
,,245510
,,245502
,,244376
,,244375
,,244389
,,243717
,,244916
,,243982
,,241792
,,235707
,,243464
,,243981
,,234531
,,244115
,,243708
,,243368
,,242846
,,243248
,,243141
,,241489
,,241650
,,237550
,,242455
,,234522
,,242205
,,236565
,,241043
,,241776
,,234826
,,241344
,,239597
,,239546
,,240895
,,238720
,,240431
,,240285
,,239926
,,239920
,,231110
,,239199
,,236389
,,239027
,,236984
,,236786
,,235050
,,234407
,,236564
,,238935
,,238715
,,201354
,,224256
,,237748
,,235757
,,234294
,,237569
,,237182
,,205717
,,236744
,,236572
,,236561
,,235507
,,235038
,,235620
,,236338
,,235998
,,233885
,,235966
,,235532
,,235749
,,235773
,,235760
,,235544
,,235059
,,235040
,,234758
,,234442
,,233376
,,234078
,,234052
,,209755
,,228344
,,233400
,,232637
,,233131
,,232221
,,232898
,,203642
,,194374
,,232230
,,231043
,,223576
,,231720
,,231353
,,231736
,,229233
,,231480
,,231085
,,230835
,,228551
,,167618
,,231058
,,228244
,,230306
,,230033
,,229524
,,230105
,,230103
,,229649
,,229521
,,230098
,,228372
,,229220
,,229563
,,228131
,,229908
,,228138
,,226742
,,224262
,,226631
,,223456
,,227074
,,226859
,,227249
,,223088
,,226858
,,226871
,,223314
,,209799
,,225030
,,224758
,,226445
,,226066
,,225927
