Accuracy@1,Accuracy@5,Accuracy@10
405216,385394,385394
423495,405216,405216
236006,423495,423495
423040,236006,236006
423768,423725,424252
420972,423040,423892
412479,423768,423725
417399,423718,423040
422533,420972,413096
421725,412479,423768
415522,416746,423718
396296,417399,420972
418275,410049,412479
302536,422533,416746
418715,420951,417399
416099,395161,410049
168226,409834,422533
414297,398381,420951
411577,421725,395161
413590,415522,409834
416995,396296,398381
403760,417929,421764
413431,411750,421725
409423,418275,415522
413628,302536,396296
400042,418683,417929
412927,418715,411750
394013,416099,418275
412869,398684,371027
411468,168226,302536
385128,414297,418683
403331,411577,418715
405562,413590,416099
407583,331690,398684
407289,417201,417947
406918,408763,168226
387475,416995,414297
406471,403760,411577
406284,395084,413590
371510,387951,331690
338450,413167,389129
404596,413431,417201
403461,414741,408763
403235,411027,416995
403249,413685,377981
394499,409423,403760
289181,413628,395084
397677,400042,414912
334571,412927,387951
397834,393703,413167
394402,394013,413431
395426,412869,414741
395126,411468,411027
387367,411465,414254
344220,410528,413690
392066,193034,413685
388966,385128,409423
389335,403331,413628
389901,409274,408348
388955,405562,407084
388931,407505,400042
346624,404016,412927
387140,407288,393703
383269,396418,394013
386561,407583,412869
386663,407289,411468
379693,406918,411465
384303,406440,410528
364529,387475,193034
378332,406471,385128
377769,406284,403331
377798,379212,409274
352380,371510,405562
376269,338450,407505
377031,405410,404016
374058,330135,407288
375651,405456,406640
374534,391481,396418
374021,404596,407583
373961,403461,381765
361177,403235,407289
367314,403249,406918
355059,402766,406440
372078,398309,387475
372152,394499,406471
371233,401031,406284
371424,401199,406109
370382,321155,379212
344580,193486,371510
369866,398421,338450
365181,341923,405410
369229,397920,330135
366339,289181,395839
358739,2369,405456
366855,398297,391481
366985,397677,404596
366834,395890,403461
366619,334571,402912
365470,397834,403235
365538,394402,403433
365537,398674,403249
365483,398776,391186
365230,397612,402781
363961,396909,402766
365018,337636,398309
363053,395426,394499
364402,394764,400829
349104,395126,401031
364757,395123,401199
360159,394157,400368
360513,393999,321155
356116,376254,193486
361673,387367,398421
361127,378535,341923
297681,344220,385592
231555,389018,397920
360160,388974,384056
360232,392066,398631
357853,388966,289181
19485,392602,2369
358439,386022,398297
357906,391866,397677
358566,389941,395890
357554,389335,334571
357521,389901,397834
356636,388955,398455
355101,388931,394402
355228,346624,398674
349993,387140,398776
352135,383269,389251
348445,386561,397612
349135,386663,396909
348215,379693,337636
347857,385046,395426
347779,386070,394764
345736,384303,395126
347119,364529,395123
320968,378959,394157
191834,381219,393999
344114,380654,376254
344266,379717,387367
343261,379299,378535
343634,377854,344220
231510,378731,357786
168745,377963,393398
298952,378330,389018
343406,378114,388974
178534,378332,392066
342685,378109,388966
314937,378034,392602
317912,378029,384814
341702,306623,386022
341219,377837,391866
308095,377769,389941
337380,377798,389335
340342,352380,389901
297375,376269,388955
339702,377031,388931
339731,374483,388866
338735,376155,385379
335308,376253,384068
327396,364950,378440
335960,376329,310716
320171,376374,346624
337127,374058,386173
336996,242144,387140
336985,375651,383269
336824,375264,386561
336684,375271,386663
319004,374700,379693
326175,374534,385046
335444,371546,386070
140101,374289,384303
326081,374227,364529
336378,374021,378959
336225,374001,381219
336139,373961,379128
335704,354783,380654
335608,361275,380676
334859,361177,379717
334236,373148,379299
334577,372844,377854
334387,367314,378731
333699,371289,377963
332577,355059,378330
331621,372240,378114
332461,372078,378332
333101,372152,378109
323444,371233,378034
293159,371894,378029
268402,371100,359117
331335,371424,306623
332038,371079,377837
331546,370382,377769
331259,369560,377798
331349,370471,352380
331341,370632,376269
331062,344580,377031
331126,370026,374483
331123,370448,376155
319139,369790,376253
331049,369866,364950
330962,369434,376329
330931,365181,376374
330667,369229,374058
330570,367159,370119
330553,366339,242144
330389,368281,375651
329871,365773,375264
310665,358739,375271
308081,366610,375223
299295,366599,374700
323489,366906,374534
279781,366855,371546
297370,366985,374289
320989,366834,374227
329586,366449,374021
329454,366619,374001
329451,365470,373961
323243,365538,354783
329289,365537,361275
326184,365483,361177
328946,365230,373148
328708,363961,372844
328385,365018,367314
328367,363053,371289
327964,364402,355059
327788,349104,372240
327765,364757,372078
327577,359838,372152
327522,364352,371233
276185,359079,371894
326314,348461,371100
325791,360159,371424
325837,362345,371079
325836,360513,370382
324971,356116,369560
323046,361673,370471
323641,361290,370632
323521,361415,344580
322232,311192,370026
322228,361127,370448
321995,297681,369790
320671,358788,369866
321752,359887,369434
230082,231555,368494
320657,360160,365181
320887,360232,357921
320790,357853,369229
320243,19485,368968
320338,205731,367159
320400,357859,366339
320347,358439,368281
313761,357906,365773
320162,357875,358739
318944,358578,366610
319961,358566,366599
319600,357856,366906
309489,357251,366855
319509,357554,366985
319163,357295,366834
319022,357521,366449
318930,356636,366619
318903,356307,365470
318353,355101,365538
284357,355228,365537
315332,344727,365483
317803,349993,361561
317071,349224,365230
316363,351835,363961
316590,352508,365018
316348,352462,363053
312925,345094,364402
312924,352135,349104
316061,352076,364865
315586,350089,364757
315497,349085,359838
315495,348445,364039
315481,203950,364352
315468,349325,364029
314102,350264,359079
279658,349135,348461
314320,348798,360159
310266,345745,362345
314317,348609,360513
314302,348215,362501
314271,347857,356116
313432,347779,361851
313211,347491,317126
313066,336061,361673
122341,345736,361290
312941,329457,361415
312821,346073,359438
305739,346839,311192
16552,347119,361127
311778,347014,297681
311515,346978,358788
312454,346753,359887
302694,344654,231555
284558,321294,360160
312063,320968,360232
311722,342917,357853
310601,344827,19485
311371,191834,205731
311360,344114,357859
310853,344266,358439
310843,344044,357906
310685,337482,357875
287536,343721,358578
285529,343261,358566
307129,343536,357856
309851,343634,357251
292427,298961,357554
208910,231510,357295
293841,168745,357521
212894,343524,356636
160242,337240,356307
148993,343442,355101
286716,298952,355228
293448,343445,344727
308975,342929,349993
308394,343406,356124
308382,343295,349224
304239,178534,353240
307901,342998,351835
307570,341903,352508
307398,342685,352462
307389,314937,345094
307122,317912,352135
307074,307545,352076
306898,341702,350089
306740,341327,351720
306719,341219,349085
271956,231502,348445
306229,341273,203950
306052,308095,349325
305918,341227,350082
305796,335889,350264
305852,334470,349135
287319,337380,348798
305415,340465,345745
280964,341118,328971
305114,340268,348609
305032,340342,348215
305004,340656,347857
304751,297375,347779
304929,339227,347471
304926,339702,347491
292813,339731,336061
304199,339347,346148
272997,339142,345736
304501,338735,329457
301841,335308,346073
299536,327396,346839
301131,335960,347119
279599,338280,347014
295981,338267,346978
303801,72556,346753
303344,267424,344654
303544,338083,321294
303290,337343,345468
303328,320171,320968
300468,325632,342917
278352,337207,344827
299731,335543,340873
300664,337127,341933
296800,313899,191834
300223,336996,344114
301972,336985,344266
297054,336824,344044
301717,336684,337482
301895,319004,343907
300502,326175,343721
122772,335444,343261
301193,140101,343536
300862,326081,343634
301362,336378,298961
301101,272153,231510
299152,334257,168745
291069,336225,343524
300032,336139,337240
296728,335704,343442
295803,313430,298952
299438,335599,343445
296748,317102,342929
299588,335608,343406
299624,335525,343295
299554,334859,335733
299207,334236,178534
296253,303889,342998
298848,330944,341903
298415,334577,342685
296159,334387,314937
296822,334373,317912
296796,331582,307545
284265,300472,341702
295386,328496,341327
294462,325931,341219
296356,333764,231502
295391,324078,341273
292322,324663,308095
126705,333765,341227
294790,333699,335889
292091,320795,334470
270092,333400,337380
294796,208626,312540
60574,332577,340465
58474,333589,341118
294738,331621,340268
292247,333577,130854
294096,332305,340342
293357,332461,340656
293346,333101,297375
293310,325852,339994
250604,320788,339227
292901,323444,339702
292762,293159,339737
290964,268402,339731
277886,331335,339573
165180,332038,339481
256651,331720,339347
288804,331668,339362
284330,331685,339142
262022,331546,338735
279553,331259,335308
199127,331349,327396
282653,331341,335960
290450,331062,338280
211664,331126,338267
290909,331123,72556
245457,319139,267424
289599,331049,338083
283551,331007,337343
249915,330962,320171
286542,330931,325632
271501,330803,337231
288154,330706,337207
89606,330692,335543
288388,330668,337127
272474,330667,313899
288352,330570,337002
287471,330254,336996
283283,330553,336985
286949,330389,336824
286678,330114,336684
224546,330273,319004
276324,329871,326175
283676,310665,335444
184345,308081,140101
284604,329930,326081
284622,299295,336378
283887,300372,331258
284349,323393,272153
284340,323489,334257
284213,328763,336225
284180,279781,336139
283631,244011,335704
283215,323528,313430
283359,297370,335599
283443,320989,317102
279452,329586,329754
282717,329581,335608
282319,329454,335525
281888,329451,334859
276202,329445,334236
281148,323243,303889
280499,329358,330944
279849,329289,334577
279123,329285,334387
275743,326184,334373
278375,328962,331582
278091,327355,300472
278243,327926,328496
270797,328946,330834
277676,328708,325931
74337,328876,323531
277513,328875,333764
277230,328709,324078
248908,325390,324663
272307,328385,333765
275627,328367,333699
275197,328339,320795
275170,323389,333400
273828,327964,208626
274618,327925,332577
270465,327583,333589
116284,327788,331621
271339,327765,333577
231505,327577,332305
99493,327592,332443
255703,327522,332461
275075,276185,333101
274699,327044,325852
236628,327026,320788
270457,326924,323444
246131,326087,293159
274236,326177,268402
269020,322401,331335
249502,314623,332038
224341,318751,326406
257167,326314,331720
270952,321217,331668
272763,325939,331685
239518,322000,331546
219536,325791,331259
196691,325837,331349
155008,325836,331341
269264,325347,331062
249851,324230,331126
202057,324971,331123
258177,323046,319139
223843,324866,331049
273330,324849,331007
267834,324839,330962
194917,323641,330931
273012,323521,330803
89256,322901,330706
272913,322563,330692
265422,322403,330668
218302,322356,330667
266970,322232,330570
263090,322228,330254
272165,321995,330553
272065,320671,330389
199499,319199,330114
271834,322009,330142
271830,321755,330273
270774,321752,329871
260417,321746,330118
270146,230082,310665
268955,312959,308081
230360,321116,245670
263690,320657,329930
267408,320887,299295
269711,321004,300372
269466,320271,323393
267722,320790,323489
267469,320791,328763
267560,320285,323713
267117,320243,279781
251575,318211,244011
264650,320163,323528
264039,320338,297370
259952,284324,320989
232777,320158,329586
213848,320400,329581
256656,320347,329454
150626,313761,329451
243165,320162,329445
162102,318944,323243
267021,319961,329358
264030,320008,328172
255136,317602,329289
168682,319976,329285
266345,319901,326184
266699,319877,328962
266659,319600,327355
265721,309489,327926
263855,319509,329184
264278,319043,328946
265204,319050,328708
265159,319300,328876
259954,319127,328875
255172,311854,328709
265754,319261,325390
265647,319163,328385
239945,319161,328367
265374,319061,328296
260892,319022,328339
265214,318930,323389
264796,318903,327980
264574,292212,327964
264519,318166,327933
254984,318353,327925
258016,318316,327583
211933,318295,327788
243824,304440,327765
143430,314091,327577
211003,284357,327585
263819,315332,327592
263856,317803,327522
185569,277463,276185
261865,317702,267173
255734,317250,327044
263413,313697,327026
261506,317071,326924
262877,317037,326087
252561,316363,326177
262707,316600,322401
261861,316590,314623
262392,316298,318751
125437,316348,326314
262222,316195,321217
261852,312925,325939
256422,312924,322000
258736,316061,325791
248752,315907,325837
256764,315401,325836
238299,315586,325347
259536,315497,325148
258352,315495,324230
261827,315481,324971
259553,315468,323046
254550,315132,324866
256561,314102,324849
247294,279658,324839
250198,315281,323641
260649,315203,323521
259179,314845,322923
24521,314641,322901
254936,314320,322563
211350,310266,322415
255229,314317,322403
258833,314302,322368
258826,280076,322356
258794,314271,322259
257752,313432,322232
257790,311853,322228
247806,312888,321995
256801,310446,320671
141690,313211,319199
49316,313066,322009
238397,122341,321757
175069,312941,321755
181308,312821,321752
256716,305739,321746
256516,16552,230082
242819,310671,312959
254673,311778,320268
254547,310494,321116
255314,312614,320657
189752,311515,320887
251517,297402,321004
128684,312454,320236
250133,312421,320271
250136,302694,320790
253773,311584,320791
192633,306736,320814
252904,284558,320285
252940,312063,318856
230394,310444,320243
252487,311722,318211
248392,311619,320163
246462,311538,320338
234345,310601,319847
243347,310499,284324
242225,311390,320158
180392,311371,320400
247731,310313,320347
134190,311360,313761
201391,311043,320162
251997,310908,318944
251193,310853,319961
251257,310843,320008
251444,310685,317602
251568,292549,319976
247818,287536,319901
84107,305703,319877
244145,285529,319600
242832,139986,309489
249281,307129,319509
249378,310196,319043
247933,309271,319050
246612,309997,319300
246959,302441,319127
246209,303691,311854
245761,309851,319261
246384,292427,319163
245437,309837,319161
238162,307405,319061
238909,208910,319022
235195,274198,318872
240009,309253,318930
242421,293841,317914
242583,212894,318903
233313,301196,292212
241277,304716,318166
235354,160242,318457
240135,148993,318363
237273,203640,318353
219946,309041,318316
226867,286716,318295
237163,293448,304440
237884,294117,314091
210491,273436,284357
137478,307858,315332
235819,308975,317803
232489,305585,277463
232541,308894,317702
199179,297184,317073
231163,308675,317250
189588,308656,313697
231341,308544,317312
226342,308584,317071
231182,308583,317037
231307,308492,316363
227317,308394,316749
207350,308382,316614
231119,304239,316600
227983,307427,316590
228890,305707,316298
228197,307923,316348
94825,307901,316279
229684,307485,316195
225754,307570,312925
229807,307398,312924
229351,307389,316061
229386,307134,315907
229180,307122,315401
169997,307074,315698
229240,306898,315586
223405,306896,315497
228204,306821,315495
228006,306740,315481
228120,306719,315468
204489,296456,315132
216483,306545,314102
214560,271956,279658
224951,306229,315281
