Accuracy@1,Accuracy@5,Accuracy@10
424852,424772,424772
404471,424852,424852
417765,404471,404471
421506,423689,423689
421160,420188,420188
385237,417765,417765
418692,422792,422792
416401,421506,421506
159917,421160,251824
409520,385237,421160
411841,394030,385237
411588,418692,394030
408060,218431,393098
410569,416401,418692
407434,356687,218431
407382,159917,416401
406992,409520,356687
406171,411794,414960
406995,411841,159917
167472,411588,269401
337680,408060,409520
400062,410569,411794
395071,408124,411841
395835,407434,411588
397467,407382,408060
399291,273728,410569
397465,406992,409705
399087,406171,408124
398965,406995,407434
396808,167472,407382
392946,337680,273728
396759,403036,406992
395919,394692,406171
395691,400062,406995
393147,395071,167472
393007,399997,406478
392847,341604,337680
391520,395835,198508
332635,397467,404879
386807,396809,403036
386762,399291,394692
385550,397465,400062
385989,399087,401418
384184,398965,395071
383491,396808,399997
383358,397888,341604
252779,393161,395835
379525,392946,377141
376882,396759,397467
272472,395919,396809
380520,395691,399291
378989,394950,397465
377474,393147,399087
378149,393829,398965
335132,393007,396808
377184,392847,397888
243912,391520,393161
357997,272342,392946
376779,332635,396759
348368,337086,395919
374689,386807,395691
351181,386762,394950
374920,385550,393147
348758,385989,393829
373950,386272,393007
372013,384543,392847
371968,385389,391520
369558,320878,392931
366013,384184,387940
369319,383491,390546
368452,383358,272342
139231,252779,332635
221782,379525,337086
362106,347389,386807
361559,376882,386762
335224,272472,385550
347734,380520,385989
343385,367629,386272
349051,378337,384543
347302,378989,385389
346007,377474,216707
345003,379086,320878
338529,378149,384184
343242,335132,383491
343422,377184,383358
341976,243912,252779
342391,352785,379525
342074,130922,347389
316269,335249,376882
321592,357997,272472
336833,86168,380520
339056,373885,367629
339000,376779,378337
338531,353472,378989
230244,376381,377474
338271,348368,379086
117960,374689,378619
335778,353221,378149
335173,351181,372516
337077,374264,335132
322914,374920,377184
336231,348758,243912
334992,300542,352785
335147,373944,130922
332019,339224,335249
333803,373950,357997
332053,372013,86168
333654,106228,373885
331447,372818,376779
331311,40580,376688
332421,371968,353472
329626,71406,376381
328554,296589,374111
287123,369558,348368
273499,366013,374689
149801,369319,353221
320084,350511,351181
197969,368452,374264
86576,345213,374920
328198,365041,343832
304135,41302,348758
306069,361916,300542
268525,139231,373944
326116,362496,339752
41092,362404,339224
325812,221782,373950
21417,362106,373788
314069,361559,322556
324391,361403,372013
319532,304176,373169
261498,350285,106228
322331,359940,372818
322812,349782,40580
322253,335224,371968
308199,347734,71406
319689,89432,367465
320511,346271,296589
320199,24804,370725
319854,356363,369558
240690,355830,366013
318772,68305,369319
318388,343385,350511
318255,349051,368452
312204,351853,345213
308672,343584,365775
317474,347302,365041
103450,346007,41302
314585,345429,357325
313080,344544,125326
310903,345003,361916
295429,338529,139231
298951,343242,362496
304217,344474,362404
304191,295200,221782
309163,343422,362106
309977,341976,361559
309806,342391,347599
307758,342926,361403
309035,338229,360642
298934,338675,304176
308898,342074,350285
271228,316269,359940
232333,340470,349782
303762,339614,350290
297566,321592,358846
286524,336833,335224
306970,339056,347734
