Accuracy@1,Accuracy@5,Accuracy@10
426009,426009,426009
425907,339754,339754
404543,425907,425907
412584,423951,425516
409029,423721,423951
414957,416799,423721
413457,422090,416799
413325,421045,422090
413199,377113,421045
412885,404543,422042
411006,336054,405453
411058,412584,377113
408957,409029,420182
408298,411452,404543
408608,414957,336054
408146,408505,414134
407479,413455,412584
407457,413457,409029
406623,413337,411452
406912,413334,414957
399562,413333,408505
399560,413328,413455
403346,413325,413457
395411,413199,413337
394473,412885,413334
393856,409239,413333
393156,411006,413331
380875,411058,413328
392785,394803,413325
387315,408957,413195
392811,408298,413197
384886,408608,413199
388105,358376,412885
392229,408146,409239
391254,407555,411006
365934,407479,411058
391050,407457,394803
259141,406623,408957
391675,392774,408298
391413,406912,408608
387641,405244,358376
389773,404776,408146
386893,399562,407555
378383,399560,407479
382175,403346,407457
383189,388628,406623
372560,399151,392774
387518,395169,406912
387133,394851,405244
245388,395411,404776
384381,392498,404163
339344,394473,397107
339342,393856,384175
378264,393919,399562
379005,372145,399560
378482,393729,403346
378344,393156,388628
99718,389910,399151
377155,392784,395169
375721,380875,398046
375830,392785,394851
373794,387315,395411
372138,392811,392498
372760,384886,394473
96320,388105,393792
367120,392229,393856
365772,391254,393919
362246,365934,372145
360872,387204,393729
363801,391364,393156
335962,390853,389910
337269,391050,392784
362999,259141,380875
361292,391892,392785
361177,391127,387315
346517,391722,392811
361189,391675,391459
332259,391413,384886
357026,391269,388105
345682,390713,392229
352880,383392,391254
348761,387641,365934
175821,389773,387204
322912,386893,392420
344487,378383,384887
344878,382175,391364
344591,383189,390853
333630,372560,391050
342488,379792,259141
341958,387980,391892
336379,387518,391127
341212,387133,391722
270490,386260,391675
65899,385070,377019
340603,386594,391413
340248,385939,391398
339941,345296,391269
333759,245388,390713
333323,377961,383392
339345,384381,389250
338937,380533,387641
338825,381006,389773
324155,339344,386893
335373,383074,378383
337263,339342,382175
335134,382840,383189
320636,378264,372560
272331,379005,379792
335304,368629,387980
335882,378482,387518
334865,372790,387133
334723,378081,386177
319188,378344,386260
334067,99718,385070
331310,377155,386594
332282,376826,385939
333086,375721,345296
332917,365961,245388
332887,375830,377961
210451,373253,384381
332700,375619,380533
332003,353084,381006
327560,373794,339344
329058,333972,383074
329814,372138,113342
324236,372760,383069
326861,372599,376448
324254,355341,339342
326672,362133,382840
276346,370355,378264
322966,368710,379005
323995,356414,368629
320064,368417,378482
323373,96320,372790
323092,367120,378081
312960,365807,378344
315140,365772,99718
316806,365462,377155
243529,364761,377074
320484,364766,376589
320581,364769,376826
299451,340729,375721
315932,364144,365961
312830,362246,353305
314914,360872,375830
313594,363801,373036
314079,335962,373253
313787,337269,375619
312346,362999,353084
312956,362291,364116
307991,356571,373794
118049,304001,333972
288669,361313,372138
298744,361292,372760
311819,361177,372599
311632,346517,355341
291749,361189,362133
311466,332259,370355
305433,27096,368710
311129,154904,356414
310912,342282,369228
310290,357026,368417
310083,345682,368290
308496,331948,367848
308500,357138,96320
307681,350751,367120
294737,352880,366989
305335,345411,365807
305553,348164,365772
305536,352487,365462
305070,347490,364761
302972,348761,364764
302861,347022,364766
301212,175821,364769
302053,322912,340729
298942,341895,333448
301018,344460,364144
293931,344487,362246
299241,344392,360872
299094,344878,350362
298612,344686,363801
119192,344591,335962
299302,344516,337269
299436,344597,275159
246505,333630,362999
296284,342488,362291
297477,341958,356571
297605,336379,359869
297911,341134,304001
185202,341212,361313
294368,243894,361292
281383,270490,361177
72872,327260,346517
292187,65899,361189
277355,340603,332259
142593,340248,27096
290397,339655,154904
290204,339941,359101
289401,333759,342282
289244,333323,359289
84620,339345,357026
202414,338981,345682
148532,339116,349978
289974,338937,331948
275070,338825,357138
287307,329456,355149
277072,324155,355090
284858,338448,281912
287149,275071,350751
276892,335373,352880
251270,335887,345411
280537,337263,348164
268789,335134,352487
108792,320636,351494
278959,329872,347490
283313,272331,348761
278370,335304,340297
276178,335882,347022
279501,329216,175821
277539,334865,322912
277442,334723,341895
261206,319188,344460
277668,334067,344487
276506,333893,344392
276854,331310,344878
276485,332282,336485
276516,333086,344686
276826,332917,344591
275913,332887,344516
275681,332709,344597
275484,210451,333630
270316,332700,342648
262981,332600,342488
254861,332003,341958
270495,331993,336379
271029,331453,341134
245278,327560,341212
274271,329058,334746
236808,329814,243894
274169,327332,270490
272276,329576,327260
273117,328654,65899
272834,150870,340603
253056,324236,340248
271634,327362,339655
270670,326861,339941
270406,324254,333759
270861,326672,333323
185204,327113,339345
268651,307302,338981
136515,284028,339116
267895,325153,336957
269599,276346,338965
213185,318830,338937
269533,322966,338825
268732,323995,329456
253214,320064,324155
236630,323373,338448
267126,317163,275071
255000,323092,335373
266516,322438,335887
265991,312960,337263
264425,315140,335134
263620,316806,320636
247444,243529,329872
258727,314416,272331
262984,322137,335928
262939,284777,335172
261854,312365,335304
261228,316238,335882
260870,320484,329216
237517,320581,335382
260364,299451,334865
245590,313846,334723
257237,315812,319188
259910,315932,334067
257967,294860,333914
257534,316811,333893
257238,312830,331310
256685,314914,333493
256870,313594,333386
256261,314064,332282
255282,314079,333086
248921,313937,332917
245523,312315,332887
254607,311817,332709
251762,313787,332872
253058,312927,210451
252642,312346,332700
251442,309907,332600
251084,312956,332003
242716,312722,331993
211696,307991,331474
248187,118049,331453
247557,309753,327560
49996,311973,319893
244234,312097,329058
243012,288669,329814
243037,298744,329916
242603,311819,322525
97496,291326,327332
241490,310636,329576
239220,311632,328654
211202,291749,328864
226369,311602,150870
237986,311466,324236
236689,311303,327362
235806,311302,326861
164437,305433,327974
219437,311129,324254
233844,310912,326672
234823,310401,327113
234732,310290,327365
233867,310083,326200
232499,288824,307302
201774,291253,284028
231192,308496,325153
231009,308500,276346
230489,308057,318830
230912,307681,322966
216919,212594,323995
230071,213050,320064
220471,294737,323373
174014,305230,317163
223512,305332,323219
223015,305335,323092
36729,304093,323056
225593,305553,322438
221411,305444,312960
221268,305537,322222
224462,305536,315140
,305070,316806
,302972,243529
,304606,314416
,302950,322137
,301911,284777
,302861,312365
,301212,316238
,69814,321359
,302053,320484
,301684,320581
,279454,299451
,298942,313846
,301018,315812
,293931,313740
,299241,315932
,299094,294860
,298612,316811
,298473,312830
,119192,314914
,280005,315326
,299302,313594
,299436,314064
,246505,314079
,296284,313937
,297477,312315
,297605,311817
,297911,313787
,188372,312927
,185202,312346
,295681,313223
,295513,313197
,295232,309907
,294368,312956
,260407,311809
,292227,312722
,294171,307991
,288468,118049
,293513,309753
,72905,311973
,293490,312097
,293315,288669
,286040,298744
,278081,309570
,281383,311819
,211983,291326
,72872,310636
,292187,311632
,288964,291749
,277355,311602
,291918,311466
,291724,311303
,291726,311302
,288474,310648
,291209,305433
,289752,311129
,291229,311216
,291030,310912
,228695,310401
,279408,310290
,142593,310083
,290320,107337
,290397,288824
,290204,291253
,290125,303818
,289401,308496
,289244,308500
,84620,308057
,202414,307681
,289470,305096
,288506,212594
,279356,213050
,148532,294737
,289974,297480
,275070,305095
,133133,305230
,289219,305332
,287307,305335
,277072,305704
,288452,304093
,284858,305553
,287694,305444
,218562,305537
,287149,305536
,276416,305070
,274532,302972
,278704,304606
,287119,302950
,214807,301911
,271765,300995
,286687,285223
,276892,298435
,251270,302861
,279052,301212
,280537,69814
,36802,302053
,268789,301684
,108792,301863
,279013,279454
,279877,298942
,273850,301018
,278959,252390
,283688,293931
,283313,299241
,281352,299094
,279676,298612
,277438,298473
,278376,295959
,280708,119192
,275617,280005
,173888,299302
,278370,299436
,277377,246505
,279313,296284
,77217,297477
,276178,297605
,279501,298424
,278413,297911
,277539,188372
,277442,185202
,261206,295856
,277668,295681
,276564,295513
,276506,295232
,276854,294368
,276485,260407
,276516,292227
,276826,294171
,275913,294053
,268503,288468
,275681,293513
,266172,72905
,275484,293490
,267884,293315
,270676,286040
,270316,278081
,262981,281383
,254861,274432
,270495,235554
,275207,211983
,271029,72872
,274274,292321
,245278,292187
,274890,292119
,274271,288964
,274022,277355
,236808,291918
,274169,291724
,274538,291726
,264560,288474
,274295,291209
,272276,291354
,258391,289752
,273492,291229
,268529,291030
,271384,290759
,273280,289612
,272046,290635
,273117,228695
,272834,279408
,253056,142593
,272259,290320
,222783,290397
,271634,290216
,259687,290240
,270670,290204
,270406,290125
,240033,289401
,270861,289244
,185204,84620
,268651,202414
,136515,289470
,263589,288506
,270177,279356
,269950,148532
,267895,289974
,269599,275070
,213185,133133
,269533,288857
,269506,289219
,268649,287307
,268853,277072
,253217,288856
,268732,288452
,253214,288480
,236630,284858
,268303,287665
,267126,287694
,267103,218562
,265947,287149
,255000,276416
,254498,274532
,266828,278704
,266516,287119
,253075,214807
,261732,271765
,265991,286763
,264425,286687
,262968,276892
,264762,262925
,264703,251270
,263971,279441
,263620,279052
,263677,280537
,247444,285641
,250575,36802
,258727,268789
,262984,108792
,262939,279013
,262573,279877
,261854,284993
,261354,281725
,261228,276110
,261099,273850
,259003,278959
,260870,283688
,237517,279273
,260364,283313
,242838,281352
,245590,279676
,258305,277438
,260123,278376
,257442,280708
,257237,275617
,260076,173888
,259910,280921
,258978,278370
,258970,277377
,258134,279313
,250179,77217
,257967,277474
,257534,276178
,257614,279501
,257238,278413
,256685,277539
,256870,277268
,256770,277442
,257056,261206
,256688,277437
,256261,273570
,255282,277668
,253673,277235
,248921,276564
,245523,277285
,255658,276506
,255373,276854
,254607,276485
,253254,276516
,251762,276531
,250175,276683
,253057,276826
,253058,275913
,253720,268503
,253294,275681
,252895,266172
,252749,275484
,252642,267884
,252747,270676
,246274,270316
,247558,262981
,251779,254861
,210443,270495
,222791,275207
,251607,271029
,250178,274274
,251442,245278
,50228,274890
,250172,274271
,251084,274022
,250193,236808
,251007,274169
,250782,274538
,242716,264560
,248551,274295
,249286,272276
,211696,258391
,247069,273939
,248187,273492
,248167,273919
,247557,273631
,247667,273521
,246602,268529
,244472,271384
,243558,273280
,244574,272046
,49996,273117
,231776,273083
,239965,272834
,244396,271691
,244234,271692
,243012,272710
,243037,267680
,242603,253056
,97496,272259
,242003,222783
,242030,188320
,240817,271634
,241720,259687
,241490,270670
,240190,270406
,236312,240033
,239220,270861
,211202,185204
,238847,268651
,226369,136515
,238149,263589
,237986,270177
,54525,269950
,237138,267895
,236689,268745
,236419,269599
,235806,213185
,164437,269533
,235348,269506
,227914,268649
,235219,268853
,232685,253217
,219437,268410
,233844,268732
,234823,253214
,234732,268543
,234437,236630
,223823,267174
,233638,268303
,234119,267126
,233598,267841
,233867,267103
,233595,265947
,232499,255000
,232475,254498
,201774,266828
,232093,266516
,231787,253075
,227076,261732
,231884,265991
,231606,265481
,229520,265393
,231192,264425
,231009,262968
,219558,264762
,230489,264703
,230912,264764
,216919,264212
,229776,263971
,229680,264019
,230071,263620
,229841,263677
,228667,247444
,228287,250575
,226016,258727
,227597,262984
,220471,263062
,224122,262939
,226363,262573
,174014,256346
,73390,261854
,223512,261354
,226229,252419
,223015,261228
,226022,261052
