Accuracy@1,Accuracy@5,Accuracy@10
55893,56012,56012
55974,55943,55943
55970,56025,56025
55958,55893,56010
55905,55978,55893
55820,55974,55978
55811,55970,55974
55778,55958,55970
55772,55905,55958
55760,55820,55905
55684,55811,55820
55664,55851,55811
54095,55778,55801
55251,55772,55851
55629,55760,55842
55317,55735,55778
55570,55684,55772
46727,55691,55760
52558,55681,55749
55342,55664,55735
55494,55656,55702
51526,54095,55684
55469,55251,55691
55434,55642,55681
55354,55629,55664
55404,55317,55656
55333,55582,54095
55309,55570,55251
55291,46727,55642
55259,52558,55629
55240,55552,55317
55238,55521,55582
55207,55527,55570
55218,55343,46727
55166,55342,52558
55210,55500,55552
55200,55494,54693
55186,55453,55521
55184,51526,55527
55179,55469,55343
55177,55442,55342
53777,55434,55500
55159,55354,55494
55017,55404,55453
55151,52092,51526
55102,55345,55469
55126,55333,55442
55108,55316,55434
55109,55309,55354
54999,55287,55404
54963,55267,52092
54984,55291,55345
54703,55259,55333
54906,55240,55316
54926,55238,55309
54888,55207,55287
54801,55231,55267
54781,55218,55291
54807,55166,55259
54822,55210,55250
54851,55200,55240
54724,55186,55238
54721,55184,55207
54709,55183,55231
54702,55179,55218
54658,55177,55166
54660,53777,55210
54671,55160,55200
54628,55159,55186
54624,55017,55184
54585,55151,55183
54602,55102,55179
54536,55127,55177
54456,55126,53777
54521,54745,55160
54534,53987,55159
54513,55108,55017
54497,55109,55151
54496,55110,55102
53869,55052,55127
54476,54999,55126
54458,54997,55101
54450,54964,54745
54438,54963,53987
54379,54961,55108
54377,54984,55109
54380,54981,55110
54256,54974,55052
54207,54703,54999
54143,54906,54997
54087,54926,54964
54124,54888,54963
54123,54801,54961
54127,54708,54984
54068,54781,54981
53867,54807,54974
54054,54822,54703
54045,54851,54906
53993,54748,54926
53713,54732,54888
53828,54724,54801
53800,54721,54708
53793,54710,54781
42181,54709,54807
53783,54702,54822
53758,54658,54851
53714,54660,54748
53702,54671,54732
53654,54628,54724
53700,54624,54721
53535,54612,54710
53529,54585,54709
53526,54602,54702
52135,54552,54658
53460,54536,54660
53445,54239,54671
53421,54456,54628
53450,54521,54624
52954,54534,54612
53266,54513,54585
52955,54497,54602
53374,54496,54552
53367,53869,54536
53032,54476,54239
53354,54458,54456
53301,54450,54521
53322,54448,54534
53180,54438,54513
53081,54440,54497
53090,54406,54496
53254,54379,53869
53056,54381,54476
52066,54377,54458
52957,54380,54450
50860,54262,54448
51237,54256,54324
52926,54247,54438
52723,54150,54440
52850,54220,54406
52776,54207,54379
52719,54198,54382
52772,54143,54381
52770,54141,54377
52732,54087,54380
52731,54124,54262
52729,54123,54256
52727,54127,54247
52726,54096,54150
52725,54076,54220
52758,54068,54207
52669,54067,54198
52607,53867,54144
52577,54054,54143
52444,54017,54141
52547,54045,54087
52543,54010,54124
52511,53993,54123
52461,53863,54127
52443,53713,54096
52245,53828,54076
52387,53801,54068
52326,53800,54067
52316,53793,53867
52384,42181,54054
52356,53783,54017
52354,53758,54012
52293,53725,54045
52208,53714,54010
52173,53702,53993
52009,53654,53863
51956,53624,53713
51905,53700,53828
51860,53541,53801
51852,53481,53800
51794,53641,53793
51712,53607,42181
51736,53606,53783
51704,53535,53758
51688,53469,53725
51658,53529,53714
51654,53526,53702
51650,53513,53654
51610,45995,53624
51588,52135,53700
51586,53467,53574
51557,53465,53541
51545,53460,53481
51555,53445,53641
51509,53430,53607
,53421,53606
,53450,53535
,52954,53469
,53266,53529
,52955,53526
,53374,53523
,53373,53513
,53367,53498
,53032,45995
,53354,52135
,53339,53467
,53008,53465
,53337,53460
,53301,53445
,53285,53430
,53342,53421
,53322,53450
,53180,53406
,53081,52954
,53090,53266
,53254,53398
,53067,52955
,53087,53374
,53056,53373
,50864,53367
,52998,53032
,52066,53354
,52957,53339
,50860,53008
,51893,53337
,51237,53301
,52926,53285
,52723,53342
,52850,53169
,52776,53322
,52719,53180
,52772,53081
,52770,53090
,52767,53074
,52732,53254
,52731,53067
,52729,53063
,52727,53087
,52726,53056
,52725,50864
,52724,52998
,52760,52974
,52758,52066
,52669,52957
,52607,50860
,52606,51893
,52577,51237
,52444,52926
,52547,52723
,52543,52850
,52511,52776
,51408,52500
,52461,52719
,52443,52792
,52245,52772
,52387,52770
,52326,52767
,52316,52846
,52384,52732
,52356,52731
,52354,52729
,52213,52727
,52293,52726
,52208,52725
,52028,52724
,52225,52804
,52173,52760
,52113,52758
,52009,52669
,51956,52666
,51905,52607
,51860,52606
,51852,52591
,51687,52577
,51794,52444
,51698,52547
,51712,52543
,51736,52511
,51704,51408
,51558,52461
,51688,52443
,49683,52245
,51658,52387
,51654,52326
,51650,52316
,51641,52384
,51615,52356
,51610,52354
,51614,52213
,51588,52293
,51586,52208
,51557,52028
,51545,52225
,51555,52173
,41709,52156
,51509,52113
,51518,52051
,,52009
,,51952
,,51956
,,51905
,,51860
,,51852
,,51580
,,51687
,,51794
,,51698
,,51712
,,51736
,,51704
,,51558
,,51713
,,51688
,,49683
,,51658
,,51654
,,51650
,,51644
,,51640
,,51641
,,51615
,,51610
,,51614
,,51588
,,51586
,,51557
,,51545
,,51555
,,41709
,,51532
,,51509
,,51518
,,49595
,,51503
