Accuracy@1,Accuracy@5,Accuracy@10
389229,389229,389229
403306,403306,403306
375294,375294,375294
405749,320365,416987
390630,405749,414088
375600,415915,320365
336767,415922,405749
328221,390630,415915
324546,361443,415922
319902,375600,390669
318062,350763,390630
312531,336767,361443
314203,333860,375600
313684,330326,350763
313652,328221,283491
301770,324546,336767
288720,321540,333860
311669,319902,330326
310457,313646,328221
305851,318062,324546
307366,314233,321540
308443,312859,319902
307465,317267,313646
307470,312531,318062
302249,307327,314233
302359,314203,312859
301382,287790,317267
299176,221310,312531
295062,299096,307327
297920,313684,315050
297149,311507,314631
296181,313652,314117
294740,309071,314203
294837,311831,313472
294225,299233,287790
293390,312767,314070
293124,301770,221310
292847,313067,313835
290480,284709,299096
288617,304308,313684
289318,288720,311507
285851,284068,313652
288332,308971,313645
288043,311669,309071
288201,310251,311831
287781,305308,311496
287102,310457,299233
286389,311483,312767
238453,304626,313069
236380,311264,301770
286775,309625,313067
284367,305117,312529
286761,305851,229538
279213,307353,284709
286352,307336,304308
285384,309431,288720
284870,292109,284068
285812,307810,311998
284988,308451,308971
279732,307366,301493
284694,308443,311669
283973,307465,310251
284312,307470,305308
282846,306677,310457
282120,298456,311483
271984,305450,312036
281802,303457,304626
281299,299610,311264
280389,302249,309625
279026,304612,305117
279589,302380,305851
278163,302359,307353
278714,290208,309432
269124,301382,307336
275825,299617,309427
224242,301380,309265
261726,300142,309431
276406,299035,305950
271109,299456,292109
275415,298817,307810
275008,299176,308451
273535,295062,307366
275258,297920,308443
273367,297553,308138
273377,297149,307465
267535,295947,307470
272645,278080,306677
271407,296181,298456
270909,294740,305450
269920,294837,303457
270239,294423,299610
269923,294225,302249
268282,294147,296428
244501,294023,304612
266795,292841,302380
259612,293748,302359
267581,293390,293633
265244,293124,301925
264836,292847,300631
264975,284964,290208
260681,281865,301382
259729,292286,299617
263913,290480,301380
261772,282237,301202
261602,287656,265261
261314,288617,300142
259874,288655,299035
261320,282248,299456
259776,289372,298817
260818,289318,298738
251674,285851,299176
172286,288332,295062
259123,286321,297920
258047,288592,297553
254933,288043,297149
258654,288201,295947
258773,287280,278080
258394,287781,296181
258633,287662,294740
258582,287108,294837
257044,287102,292730
257028,287635,294423
255600,286389,294225
254979,215680,294147
254977,238453,294023
