Accuracy@1,Accuracy@5,Accuracy@10
385394,385394,385394
405216,405216,405216
423495,423495,423495
236006,236006,236006
423040,423892,424252
423768,423725,423892
420972,423040,423725
412479,423768,423040
417399,423718,413096
421725,420972,423768
415522,412479,423718
396296,416746,423748
411750,417399,420972
302536,410049,412479
418715,422533,416746
416099,420951,417399
168226,409834,410049
414297,421764,422533
411577,421725,420951
413590,415522,395161
417201,396296,409834
403760,417929,398381
395084,411750,421764
409423,418275,421725
413628,302536,415522
394013,418683,396296
412869,418715,417929
410528,416099,411750
403331,398684,418275
405562,168226,371027
407583,414297,420035
387475,411577,302536
406471,413590,418683
406284,417201,418715
371510,408763,416099
405410,403760,398684
404596,395084,168226
403235,387951,414297
398309,413167,411577
394499,413431,413590
398421,411027,331690
289181,413685,389129
397677,409423,417201
334571,413628,408763
397834,400042,416995
395426,412927,413427
394764,393703,403760
395126,394013,395084
387367,412869,387951
344220,411468,413167
388974,411465,413431
392066,410528,414741
388966,193034,411027
389941,385128,414254
389901,403331,413685
388955,405562,409423
388931,407505,413628
387140,406706,400042
386561,407288,412927
379693,396418,393703
385046,407583,394013
384303,407289,412869
364529,406440,411468
381219,387475,411465
377854,406471,410528
377769,406284,193034
377798,406109,385128
376269,379212,403331
364950,371510,405562
374058,338450,407505
374534,405410,406706
374021,405456,406903
373961,404596,404016
361177,403461,407288
371289,403235,396418
355059,403249,407583
372240,402766,381765
372078,398309,407289
372152,394499,406440
371233,398866,387475
371424,401031,406471
369560,321155,406284
369866,193486,406109
365181,398421,379212
369229,341923,371510
366339,398631,382839
366855,289181,338450
366985,398297,405410
366834,397677,330135
366619,334571,405456
365470,397834,391481
365538,394402,404596
365537,398674,403461
365483,398776,402912
365230,397612,403235
363961,396909,403249
365018,337636,402766
363053,395426,398309
364402,394764,394499
349104,395126,398866
364757,394157,401031
360159,393999,401199
360513,376254,321155
356116,387367,395645
361673,344220,193486
361127,389018,398421
297681,388974,341923
231555,392066,397920
360160,388966,384056
357853,392602,398631
19485,386022,399458
358439,391866,289181
357906,389941,2369
358566,389335,398297
357554,389901,397677
357521,388955,395890
356636,388931,334571
355101,384068,397834
355228,346624,398455
351835,387140,394402
349135,383269,398674
347857,386561,398776
329457,386663,397612
347119,379693,396909
320968,385046,337636
191834,386070,395426
344114,384303,395913
344266,364529,394764
343634,381219,395126
231510,379128,394157
168745,380654,393999
337240,379299,376254
298952,377854,387367
342929,378731,344220
343406,378330,357786
178534,378114,389018
342998,378332,388974
342685,378109,392066
314937,378034,388966
317912,306623,392602
341702,377769,384814
337380,377798,386022
340342,352380,391866
297375,376269,389941
339702,377031,389335
339731,374483,389901
338735,376253,388955
335308,364950,388931
327396,376329,384068
335960,374058,310716
338280,370119,346624
338267,242144,387140
320171,375651,383269
337127,375264,386561
336996,375271,386663
336824,374700,379693
336684,374534,385046
326175,371546,386070
140101,374227,384303
326081,374021,364529
336378,374001,381219
334257,373961,379128
336225,354783,380654
336139,361275,380676
335704,361177,379717
317102,373148,379299
334859,372844,377854
334236,367314,378731
334387,371289,377963
334373,355059,378330
333699,372240,378114
208626,372078,378332
332577,372152,378109
331621,371233,378034
332305,371894,359117
332461,371100,306623
333101,371424,377837
323444,370382,377769
331335,369560,377798
332038,370471,352380
331546,370026,376269
331349,370448,377031
331341,369790,374483
331062,369866,376253
331126,369434,364950
331123,365181,376329
319139,369229,374058
331049,368968,370119
331007,366339,242144
330931,365773,375651
330692,358739,375264
330667,362118,375271
330570,366610,375223
330553,366599,374700
330389,366906,374534
329871,366855,371546
310665,366985,374227
308081,366834,374021
299295,366619,374001
300372,365470,373961
323489,365538,354783
279781,365537,361275
297370,365483,361177
320989,365230,373148
329586,363961,372844
329454,365018,367314
329451,363053,371289
329289,364402,355059
326184,349104,372077
328946,364865,372240
328708,364757,372078
328875,364352,372152
328709,348461,371233
328385,360159,371894
328367,362345,371100
327980,360513,371424
327788,356116,365753
327577,317126,371079
276185,361673,370382
326177,311192,369560
318751,361127,370471
326314,297681,370632
325791,358788,370026
324971,359887,370448
323046,231555,369790
323641,360160,369866
323521,360232,369434
322232,357853,365181
322228,19485,369229
320671,205731,368968
321752,358439,367159
230082,357906,366339
320657,357875,368281
320887,358566,365773
320243,357856,358739
320338,357251,362118
320400,357554,366610
320347,357295,366599
313761,357521,366906
320162,356636,366855
318944,356307,366985
319961,355101,366834
319163,355228,366449
319022,344727,366619
318353,349993,365470
314091,354418,365538
284357,349224,365537
317803,351835,365483
317071,352508,361561
316363,345094,365230
316348,352135,363961
312925,352076,365018
312924,350089,363053
316061,350090,364402
315401,348445,349104
315586,203950,364865
315497,349135,364757
315495,349118,359838
315481,345745,364039
315468,348609,364352
279658,348215,364029
314320,347857,362421
310266,347779,348461
314317,345736,360159
314302,329457,362345
280076,346073,360513
314271,346839,362501
313432,347119,356116
312888,346978,317126
310446,346753,361673
313211,344654,361290
313066,321294,311192
122341,320968,361127
312941,342917,297681
305739,339350,358788
16552,344827,359887
311778,341933,231555
302694,191834,360160
284558,344114,360232
312063,344266,357853
311722,344044,19485
310601,343721,205731
311390,343261,357859
311371,343536,358439
311360,343634,357906
310853,231510,357875
310843,168745,358315
310685,337240,358566
287536,298952,357856
285529,343445,357251
307129,342929,357554
309997,343406,357295
309851,343295,357521
292427,178534,356636
293841,342998,356307
212894,341903,355101
160242,342685,355228
148993,314937,344727
286716,317912,349993
293448,307545,356124
273436,341702,354418
307858,341327,349224
308975,341219,351835
308544,341227,352508
308583,334470,352462
308394,337380,345094
308382,340465,352135
304239,341118,352076
307901,340268,350089
307570,340342,351720
307122,340656,350090
307074,297375,349085
306898,339227,348445
306740,339702,203950
306719,339737,349325
306545,339731,350082
271956,339481,350264
306229,339347,258682
305542,339142,349135
306052,338735,349118
305918,335308,345745
305852,327396,348609
287319,335960,348215
304393,338280,347857
305792,338267,347779
305415,72556,347471
280964,267424,347491
305114,338083,336061
305036,337343,345736
305032,320171,329457
305004,325632,346073
270008,337207,346839
304751,335543,347119
304929,337127,332246
304926,313899,346978
292813,336996,346753
304199,336985,344654
272997,336824,321294
304501,336684,320968
301841,319004,342917
299536,326175,339350
301131,335444,344827
279599,140101,340873
295981,326081,341933
303801,336378,191834
303344,331258,344114
303544,334257,344266
303290,336225,344297
300468,336139,344173
299731,335704,344044
299585,313430,337482
300664,335599,343721
296800,317102,343261
300223,329754,343536
301972,335608,343634
297054,335525,298961
301717,334859,231510
301895,334236,168745
122772,303889,343524
301193,330944,337240
300862,334577,343442
301362,334387,298952
301101,334373,343445
299152,331582,342929
