Accuracy@1,Accuracy@5,Accuracy@10
404471,424772,424772
421506,424852,424852
421160,404471,404471
385237,423689,423689
418692,420188,420188
159917,417765,417765
409520,422792,422792
411841,421506,421506
411588,251824,251824
408060,421160,421160
410569,385237,385237
407434,418692,394030
273728,218431,393098
406992,416401,418692
406171,159917,218431
406995,409520,416401
400062,411794,217753
395071,411841,356687
395835,411588,411529
397467,408060,414960
397465,410569,159917
399087,407434,269401
398965,407382,409520
396808,273728,411794
395919,406992,411841
394950,406171,411588
393147,406995,410830
393007,167472,408060
392847,337680,410569
272342,403036,409705
332635,400062,408124
386807,395071,407434
386762,399997,407382
385550,341604,273728
383491,395835,406992
383358,377141,406171
379525,397467,406995
376882,399291,167472
272472,397465,337680
379086,399087,400668
335132,398965,198508
243912,396808,404879
352785,397888,403036
130922,392946,394692
357997,396759,400062
376779,395919,401418
348368,395691,395071
374689,394950,399997
374920,393147,341604
348758,393829,395835
373950,393007,377141
106228,392847,397467
371968,391520,396809
369558,390546,399291
369319,272342,397465
368452,332635,399087
345213,387536,398965
365041,386807,396808
139231,386762,393719
221782,385550,397888
362106,385989,393161
361559,384543,392946
349782,385389,396759
335224,320878,395919
347734,383491,395691
68305,383358,394950
343385,252779,393147
347302,379525,393829
346007,347389,393007
345003,376882,392847
338529,272472,391520
343242,380520,392931
343422,367629,387940
341976,378989,390546
316269,377474,272342
336833,379086,332635
339000,378619,337086
338531,378149,387536
230244,335132,386807
334978,377184,386762
338271,243912,385550
338154,352785,385989
337903,130922,384543
117960,335249,385389
335778,357997,320878
337077,373885,384184
322914,376779,383491
336231,376688,383358
334992,353472,252779
332019,376381,379525
333803,374111,347389
332053,348368,376882
333654,374689,272472
331311,353221,380520
332271,374264,367629
329626,374920,378989
258072,343832,377474
328554,348758,379086
287123,300542,378619
273499,373944,378149
329512,339224,372516
320084,373950,335132
197969,373788,377393
86576,106228,377184
328198,40580,243912
306069,371968,352785
268525,71406,130922
326116,369558,335249
41092,366013,357997
325812,369319,373885
325221,368452,376779
21417,345213,376688
318010,365041,353472
314069,361916,376381
139197,139231,374111
305255,362496,348368
324391,362404,374689
319532,221782,353221
261498,362106,351181
322331,361559,374264
322812,347599,374920
322253,361403,343832
321574,350285,348758
308199,359940,300542
305103,349782,373944
319689,335224,339752
318797,347734,339224
320199,89432,373950
319854,356778,373788
318772,346271,322556
318255,24804,372013
313943,356363,106228
312204,355830,40580
314585,68305,371968
313080,343385,71406
310903,349051,367465
310982,351853,296589
105668,343584,369558
295429,347302,366013
298951,346007,369319
304217,345429,350511
304191,344544,368452
309163,345003,345213
309977,344436,365041
309806,338529,357325
307758,343242,125326
309035,295200,361916
298934,343422,139231
308898,341976,362496
271228,342391,362404
303762,342074,221782
286524,316269,362106
306504,340470,361559
304083,339614,347599
283427,338212,361403
43277,321592,304176
303945,336833,350285
303794,339056,359940
303773,339000,349782
276906,338531,350290
301530,230244,358846
300780,334978,335224
296784,338809,347734
296781,338638,89432
63692,338656,356778
299928,183127,346271
295629,338271,24804
299631,338154,356363
297392,337903,355830
297593,117960,68305
297709,335778,343385
298031,252104,349051
297734,335173,351853
297645,334635,343584
296498,337077,347302
249593,336514,346007
295905,322914,345429
251789,328641,344544
140392,336231,345003
295208,334992,344436
292860,316356,338529
272532,332124,343242
262748,335147,344474
293428,334876,296786
276424,332019,295200
292491,334625,343422
289228,333803,341976
290491,332053,343245
285814,333654,342391
178238,331447,342926
289280,331311,338675
278844,332271,342074
288143,332034,316269
288121,332421,340470
286221,329626,340338
285852,258072,339614
285558,311603,338212
280333,331550,321592
285024,328554,336833
283851,287123,339056
279425,330754,339000
276111,330680,338531
277556,331053,230244
276364,149803,334978
274199,273499,338809
97228,149801,338439
274091,328694,338638
274086,324237,338656
271446,83061,183127
269595,329512,338271
273440,320084,338154
272836,197969,338089
271375,328481,337903
19027,86576,117960
268950,328198,335778
56576,304135,252104
253674,306069,335173
269167,268525,334635
267554,326116,337077
267802,99540,336514
266443,41092,322914
266938,325812,331551
266442,325694,328641
266085,325221,336231
265645,21417,334992
266092,318010,321608
262794,314069,316356
265188,314063,332124
262766,139197,335147
264999,305255,334876
264720,324391,332019
264747,319532,334625
236878,287374,333803
262532,322538,332053
261002,261498,333654
260694,322331,332982
185214,323134,331447
33737,322812,331311
88265,322253,332271
256879,321574,332034
252331,155828,332489
258135,308199,332421
257490,305103,329626
256578,319689,258072
256577,318797,311603
256576,320511,331550
256574,320199,328554
256532,319860,287123
256575,319854,330754
256087,240690,330680
252415,318772,331053
255449,318731,330640
254721,318607,330415
251572,318127,149803
251327,318388,273499
250806,318255,149801
250960,251200,170385
74759,310470,328694
250660,313943,324237
248954,316199,83061
248899,312204,329512
248659,308672,320084
248660,317474,197969
227559,317068,328481
247547,317066,86576
8624,317057,328198
45186,316627,328315
244423,103450,304135
243712,314585,306069
245777,312966,268525
233953,313080,326116
233954,310396,99540
245140,310903,41092
239833,310982,325812
244020,105668,325258
37839,295429,325694
243162,298951,325221
243584,310690,21417
243266,304217,324995
242366,304191,318010
222264,310609,323690
241193,309163,314075
231143,309977,314069
219405,309806,314063
236332,307758,139197
228950,309035,305255
239144,298934,324429
238819,308898,324391
238226,271228,319532
237249,307816,287374
232021,303762,322538
232297,307398,261498
232828,297566,322331
232360,260626,323134
232496,286524,317755
218108,306923,322812
232256,306970,202566
232015,306504,322253
212015,306392,321818
229302,175857,302831
231117,304083,321574
231107,283427,155828
219335,303705,308199
230862,304174,305103
100244,304826,319689
222098,43277,318797
216463,304052,320511
230186,303945,320199
229052,303785,319860
94801,303794,319854
228641,303773,240690
228659,276906,318772
226702,301530,318731
224127,285809,318607
224557,303163,318127
227876,194175,318388
222210,300940,318255
228146,300805,251200
221828,300780,310470
227738,296784,313943
226043,296781,316199
227066,63692,312204
225950,299931,308672
226261,299928,317474
224429,295629,313478
226002,299631,317068
223132,285000,317066
210924,297392,317057
223686,296836,316756
224399,297593,316627
224183,297709,103450
224139,298031,314585
223553,297734,312966
220909,297645,313080
113247,297280,310396
222395,296498,310903
222443,285637,310982
222197,276466,105668
221467,296439,295429
175452,249593,298951
62107,295905,310690
220013,296229,304217
208703,251789,304191
219608,140392,310609
210676,295208,309163
219231,30881,309977
218509,294856,309806
218339,292860,307758
217806,294833,292505
211447,272532,309035
216314,262748,298934
216233,293428,308898
216243,276424,271228
216107,260531,232333
216095,292903,216627
215965,292491,307816
215655,203132,303762
214854,291996,307398
165294,153079,297566
99358,289228,260626
212573,291924,286524
212388,291893,306923
212263,290491,306970
211791,282770,306504
208025,285814,306392
133191,178238,175857
23008,290034,304083
105738,290135,283427
204682,179473,303705
83258,289655,304174
210758,289152,304826
42066,289280,43277
210633,288931,304052
207839,250944,303945
209500,288847,303785
207946,288242,303794
208213,278844,303773
206143,288143,246594
206617,288121,276906
189944,286221,301530
189398,285854,303314
183736,285852,285809
195552,285558,303163
205908,50607,295040
205906,280333,194175
191009,285024,300940
201426,283891,300981
194639,283851,300805
204642,283304,300780
203941,160853,296784
203693,279425,297116
203256,280123,296781
202451,277968,63692
202792,276111,188595
135612,277812,299931
202289,277556,299928
202244,276486,295629
56946,276364,299631
153252,274511,285000
139818,276102,297392
201085,274199,296836
96273,275859,299155
189882,274474,297593
188728,97228,297709
201203,267776,298031
200698,274091,297734
198375,274086,298281
153312,271446,296998
199733,269595,297645
176017,273440,262909
198894,272366,297280
196307,272836,296498
198408,102281,285637
34934,272583,276466
71065,272742,296439
197722,271375,249593
197791,19027,295905
197626,268950,296229
36343,125296,251789
55875,56576,262511
196631,270342,140392
189284,269814,295208
188864,214046,30881
