Accuracy@1,Accuracy@5,Accuracy@10
426009,426009,426009
425907,339754,339754
423721,425907,425907
421045,423012,423012
404543,423951,425516
412584,423721,423951
409029,416799,423721
413334,422090,416799
413325,421045,422090
413199,404543,421045
412885,336054,377113
411006,412584,420182
408298,409029,404543
408608,414957,336054
407555,413455,414134
407457,413457,412584
406623,413337,409029
406912,413334,411452
399560,413333,414957
395411,413328,408505
394473,413325,413455
393856,413195,413457
393919,413199,413337
392784,412885,413334
392785,411006,413333
387315,411058,413328
392811,394803,413325
384886,407270,413195
388105,408957,413197
392229,408298,413199
391254,408608,412885
365934,358376,409239
391050,408146,411006
391675,407555,411058
383392,407479,394803
387641,407457,407270
389773,406623,408957
378383,392774,408298
382175,406912,408608
387518,404776,358376
345296,399560,408146
384381,403346,407555
339344,395411,407479
339342,392498,407457
382840,394473,406623
378264,393856,392774
379005,393919,406912
378482,393156,405244
372790,389910,404776
378344,392784,397107
377155,380875,399560
376826,392785,403346
375721,387315,388628
375830,392811,399563
373794,390041,395411
333972,384886,392498
372138,388105,394473
372760,392229,393792
372599,391254,393856
355341,365934,393919
96320,391364,372145
367120,390853,393156
365807,391050,389910
364766,259141,392784
362246,391892,380875
360872,391127,392785
275159,391722,387315
362999,391675,392389
356571,391413,392811
304001,391269,390041
361292,390713,392488
361177,383392,384886
346517,387641,388105
361189,389773,392229
345682,386893,391254
348164,378383,365934
175821,382175,387204
322912,383189,392420
344460,372560,384887
344487,379792,391364
344878,387518,390853
344516,386260,391050
341958,385070,259141
336379,385939,391892
65899,345296,391127
340603,245388,391722
333323,377961,391675
339345,384381,377019
339116,339344,391413
338825,383074,391269
324155,383069,390713
275071,339342,383392
335373,382840,387641
337263,378264,389773
335134,379005,386893
320636,368629,378383
272331,378482,382175
335304,372790,383189
329216,378081,372560
334865,378344,379792
334723,99718,387980
319188,377155,387518
334067,376826,387133
331310,375721,386260
332282,365961,385070
333086,375830,386594
332917,373253,385939
332887,375619,345296
332709,353084,245388
210451,364116,377961
332003,373794,384381
327560,333972,380533
329058,372138,339344
329916,372760,383074
324236,372599,113342
326861,355341,383069
326672,362133,376448
325153,356414,339342
276346,368417,382840
322966,96320,378264
323995,367120,380730
320064,365807,379005
323373,365772,368629
323092,364761,378482
312960,364766,372790
315140,364769,378081
321359,340729,378344
320484,362246,99718
320581,360872,377155
315812,363801,377074
312830,335962,376826
314914,337269,375721
313594,275159,365961
311817,362999,375830
313787,356571,373036
312346,304001,373253
312956,361313,375619
312722,361292,353084
118049,361177,374948
309753,346517,374628
298744,361189,364116
309570,332259,373794
311819,27096,333972
311632,342282,372138
291749,345682,372760
311466,349978,372599
311303,331948,355341
305433,357138,362133
311129,350751,368710
310912,352880,356414
310290,348164,369228
310083,348761,368417
308500,347022,96320
307681,175821,367120
212594,322912,366989
305332,341895,365807
305704,344460,365772
305553,344487,365462
305536,344392,219305
305070,344878,364761
302861,344686,364764
301212,344591,364766
69814,344642,364769
302053,344516,340729
298942,344597,364144
293931,333630,362246
299241,341958,360872
299094,336379,363801
298612,341134,335962
298473,341212,337269
119192,243894,275159
280005,270490,362999
299302,65899,362291
299436,340603,356571
246505,340248,304001
296284,339941,361313
297477,333759,361292
297605,333323,361177
297911,339345,346517
185202,338981,361189
294368,339116,332259
293513,336957,27096
281383,338937,342282
235554,338825,357026
292187,329456,345682
277355,324155,349978
291724,338448,331948
291209,275071,357138
289752,335373,355149
291229,335887,356476
290397,337263,350312
290204,335134,350751
289401,320636,352880
289244,329872,345411
84620,272331,348164
279356,335172,352487
275070,335304,351494
287307,335882,352291
284858,329216,347490
218562,334865,348761
287149,334723,340297
287119,319188,347022
280537,334067,175821
108792,333893,322912
279013,331310,341895
273850,332282,344460
278959,333086,344487
277438,332917,344392
278370,332887,344878
77217,332709,336485
276178,210451,344686
279501,332700,344591
278413,332600,344642
277442,332003,344516
261206,331993,344597
277668,331453,339138
276564,327560,333630
276506,329058,342648
276854,329814,342488
276485,329916,341958
276516,329576,342279
276826,328864,336379
275913,150870,341134
275681,324236,341212
270676,326861,334746
270316,327974,243894
254861,326672,270490
270495,327113,65899
274274,284028,340603
245278,325153,340248
236808,325012,339655
274169,276346,339941
258391,318830,333759
273117,322966,333323
253056,323995,339345
271634,320064,338981
270670,323373,339116
270406,317163,336957
270861,323092,338937
185204,322438,338825
268651,312960,329456
136515,315140,324155
267895,316806,338448
269599,243529,275071
213185,314416,335373
269533,284777,335887
268732,312365,337263
253214,321359,337203
268543,320484,335134
236630,320581,320636
268303,299451,329872
267126,315812,272331
265947,294860,335172
253075,316811,335304
265991,312830,335882
264425,314914,329216
263971,315326,335382
263620,313594,334865
247444,314064,334723
258727,311817,319188
262984,313787,334067
262939,312927,333893
261854,312346,331310
237517,309907,332389
245590,312956,332282
257237,312722,333086
260076,307991,332917
259910,118049,332887
258978,309753,332709
258134,311973,210451
250179,312097,332599
257967,298744,332700
257534,309570,332600
257238,311819,332003
256685,310636,331993
256870,311632,331453
257056,291749,327560
255282,311602,329058
253673,311466,329814
254607,311303,329916
251762,311302,322525
250175,310648,329576
253057,305433,328654
253058,311129,328864
253720,311216,300620
250178,310912,150870
251442,310290,324236
242716,310083,327362
249608,288824,326861
211696,291253,327974
247069,308500,326672
248187,308057,316712
247557,307681,327113
49996,212594,327365
244234,297480,326200
243012,305095,284028
97496,305230,325153
241490,305332,325012
240190,305335,276346
239220,305704,318830
211202,304093,322966
238847,305553,323995
226369,305537,320064
237986,305536,323373
237138,305070,317163
235806,302972,323219
227914,302950,323092
219437,302861,322438
233844,301212,312960
234823,69814,315140
234732,302053,316806
234437,301684,243529
234119,279454,314416
232499,298942,322137
231884,301018,284777
231192,293931,312365
231009,299241,316238
230489,299094,321359
230912,298612,320484
230071,298473,320581
220471,295959,299451
174014,119192,315812
223512,280005,315932
223015,299302,294860
226022,299436,316811
36729,246505,312830
125866,296284,314914
225946,297477,315326
225593,297605,313594
207909,297911,314064
221268,188372,313711
,188440,314079
,185202,312315
,295681,311817
,295513,313787
,294368,312927
,260407,312346
,292227,313197
,294053,309907
,288468,312956
,293513,312722
,72905,307991
,293490,118049
,286040,309753
,278081,311973
,281383,312097
,274432,288669
,235554,298744
,72872,309570
,292321,311819
,292187,291326
,277355,310636
,291918,311632
,291724,291749
,291726,311602
,291209,311466
,289752,311303
,291229,311302
,291030,310648
,290759,305433
,228695,311129
,279408,311216
,142593,310912
,290320,310290
,290397,310083
,290216,288824
,290204,291253
,290125,308500
,289401,308057
,289244,307681
,84620,305096
,202414,212594
,288506,213050
,279356,294737
,148532,297480
,289974,305095
,275070,305230
,133133,305332
,287307,305335
,277072,305704
,284858,304093
,287694,305553
,218562,305537
,287149,305536
,276416,305070
,278704,302972
,287278,304606
,287119,302950
,214807,301911
,271765,298435
,286763,302861
,276892,225401
,262925,301212
,251270,69814
,279052,302053
,280537,301684
,36802,279454
,268789,298942
,108792,301018
,279013,293931
,279877,299241
,273850,299094
,278959,298612
,279273,298473
,283313,295959
,281352,119192
,279676,280005
,277438,299302
,278376,299436
,275617,246505
,173888,296284
,278370,297477
,277377,297605
,279313,297911
,77217,188372
,276178,188440
,279501,185202
,278413,295681
,277539,295513
,277442,295368
,261206,295232
,277668,294368
,277235,260407
,276564,294335
,277285,292227
,276506,294053
,276854,288468
,276485,293513
,276516,72905
,276531,293490
,276553,293315
,276826,286040
,275913,278081
,268503,281383
,275681,274432
,266172,235554
,275484,211983
,267884,72872
,270676,292321
,270316,292187
,254861,292119
,270495,277355
,275207,291918
,271029,291724
,274274,291726
,245278,291209
,274890,291354
,274022,289752
,236808,291229
,274169,291030
,274538,290759
,264560,289612
,274295,228695
,272276,279408
,258391,142593
,273492,290320
,272412,290397
,271384,290216
,273280,290240
,272046,290204
,273117,290125
,272834,289401
,253056,289244
,272259,84620
,222783,202414
,188320,288506
,271634,279356
,259687,148532
,270670,289974
,270406,275070
,270861,133133
,185204,288857
,268651,289219
,136515,287307
,263589,277072
,270177,288856
,267895,288452
,268745,288480
,269599,284858
,213185,287665
,269533,287694
,269506,218562
,268649,287149
,253217,276416
,268732,278489
,253214,274532
,268543,278704
,236630,287278
,267174,287119
,267886,270531
,268303,214807
,267126,286063
,267841,271765
,265947,286763
,255000,286687
,254498,276892
,266828,262925
,266516,251270
,253075,279441
,261732,279052
,265991,280537
,264399,285641
,264425,36802
,262968,268789
,264762,108792
,264764,279013
,263971,279877
,263620,281725
,263677,275900
,247444,273850
,258727,278959
,262984,279273
,262651,277454
,263062,283313
,262939,281352
,262573,279676
,261854,277438
,261228,278376
,261099,275617
,237517,173888
,260364,278370
,242838,277377
,256173,279313
,245590,77217
,257237,276178
,260076,279501
,259910,278413
,258978,277539
,258970,277442
,258134,261206
,250179,277437
,257967,273570
,257534,277668
,257238,277235
,256685,276564
,256870,277285
,256770,276506
,256845,276854
,257056,276485
,256688,276516
,256261,276531
,255282,276553
,255403,276826
,253673,275913
,248921,268503
,245523,275681
,255373,266172
,254607,274001
,253254,275484
,251762,267884
,250175,270676
,253057,270316
,253058,262981
,253720,254861
,253294,270495
,252642,275207
,246274,271029
,251779,274274
,210443,245278
,222791,274890
,251618,274022
,251583,236808
,250178,273661
,251442,274169
,250172,274538
,251084,264560
,250193,274295
,250976,272276
,251007,258391
,250859,273492
,242716,273919
,248551,273631
,249608,273521
,211696,272412
,247069,271384
,248467,273280
,248187,272046
,248167,273117
,247557,272834
,244472,271691
,49996,272710
,231776,267680
,239965,272616
,244396,253056
,244234,272259
,243012,222783
,243037,188320
,242603,271634
,97496,259687
,242003,270670
,240817,270406
,241720,271027
,241490,270861
,240190,185204
,211536,268651
,236312,266974
,239220,136515
,211202,263589
,238847,270177
,226369,269950
,238149,267895
,237986,268745
,237138,269599
,236689,213185
,236419,269533
,235806,269506
,164437,268649
,227914,268853
,235219,253217
,219437,268410
,233844,268732
,234823,253214
,234732,268543
,234437,236630
,234119,267174
,233598,267886
,233867,268303
,233099,267126
,232499,267841
,225404,267103
,232475,265947
,201774,255000
,232093,254498
,231787,266828
,231925,266516
,227076,253075
,231884,261732
,231606,265991
,231192,265897
,231009,264399
,219558,265393
,230489,265427
,230912,264425
,216919,262968
,229680,264762
,230071,264703
,229841,264764
,228287,264212
,226016,263971
,220471,263620
,224122,263677
,226363,247444
,174014,250575
,223512,258727
,223015,262984
,169839,262651
,226022,263062
,36729,262939
,177368,262573
,125866,256346
,42485,261854
,153365,153432
,225946,261228
,225593,261052
,207909,261099
,221411,259003
,221268,237517
,224462,260364
,,242838
,,256173
,,245590
,,199964
,,257442
,,257237
,,260076
,,259910
,,245783
,,258978
,,258970
,,256169
,,258159
,,258134
,,250179
,,257967
,,257534
,,257614
,,257238
,,256685
,,256870
,,256770
,,256845
,,257056
,,256688
,,256261
,,255282
,,255403
,,253673
,,248921
,,245523
,,255373
,,255398
,,254607
,,253254
,,251762
,,250175
,,253057
,,253058
,,253720
,,253294
,,252678
,,252895
,,252749
,,252642
