Accuracy@1,Accuracy@5,Accuracy@10
55893,56012,56012
55974,55943,55943
55970,56025,56025
55958,56010,56010
55905,55893,55893
55820,55978,55978
55811,55974,55974
55778,55970,55970
55760,55958,55958
55684,55905,55905
55664,55820,55820
54095,55811,55811
55251,55851,55851
55317,55842,55842
55570,55778,55778
46727,55772,55772
52558,55760,55760
55527,55735,55749
55494,55684,55735
55469,55691,55684
55434,55664,55691
55354,54095,55681
55404,55251,55664
55333,55642,55656
55309,55629,54095
55259,55317,55251
55238,55582,55642
55207,55570,55629
55218,46727,55317
55166,52558,55582
55210,55552,55570
55184,55521,46727
55179,55527,52558
55177,55343,55552
53777,55342,55521
55159,55494,55527
55017,55453,55343
55102,51526,55342
55126,55469,55494
55108,55434,55453
55109,55354,51526
54999,55404,55469
54963,52092,55442
54906,55345,55434
54926,55333,55354
54888,55316,55404
54801,55309,52092
54781,55287,55345
54807,55267,55333
54822,55291,55316
54851,55262,55309
54724,55259,55287
54710,55240,55267
54709,55238,55291
54702,55207,55262
54658,55231,55259
54660,55218,55250
54671,55166,55240
54628,55210,55238
54624,55186,55207
54612,55184,55231
54585,55183,55218
54602,55181,55166
54536,55179,55210
54456,55177,55200
54521,53777,55186
54534,55160,55184
54513,55159,55183
54497,55017,55181
54496,55151,55180
53869,55102,55179
54476,55127,55177
54458,55126,53777
54450,54745,55160
54438,55108,55159
54440,55109,55017
54379,55052,55151
54377,55035,55102
54380,54999,55127
54220,54997,55126
54207,54964,55101
54141,54963,54745
54087,54961,53987
54124,54984,55108
54123,54981,55109
54127,54974,55052
54068,54703,55035
54054,54906,54999
54045,54926,54997
53993,54888,54964
53713,54801,54963
53828,54708,54961
53800,54781,54984
53793,54807,54981
42181,54822,54974
53783,54851,54703
53758,54732,54906
53714,54724,54926
53702,54721,54888
53700,54710,54801
53535,54709,54708
53469,54702,54781
53529,54658,54807
53526,54660,54822
52135,54671,54851
53460,54628,54748
53450,54624,54732
52954,54612,54724
53266,54585,54721
52955,54602,54710
53374,54536,54709
53367,54239,54702
53032,54456,54658
53354,54521,54660
53322,54534,54671
53180,54513,54628
53081,54497,54624
53090,54496,54612
53254,53869,54585
53056,54476,54602
52066,54458,54552
52957,54450,54536
51237,54448,54239
52926,54438,54456
52723,54440,54521
52850,54406,54534
52776,54379,54513
52719,54381,54497
52772,54377,54496
52770,54380,53869
52732,54256,54476
52731,54247,54458
52729,54150,54450
52727,54220,54448
52726,54207,54438
52725,54198,54440
52760,54143,54406
52758,54141,54379
52669,54087,54381
52607,54124,54377
52606,54123,54380
52577,54127,54262
52444,54096,54256
52543,54076,54247
52511,54068,54194
52461,54067,54150
52245,53867,54220
52387,54054,54207
52326,54017,54198
52316,54045,54144
52384,54010,54143
52293,53993,54141
52208,53863,54087
52173,53713,54124
51956,53828,54123
51905,53801,54127
51860,53800,54096
51852,53793,54076
51794,42181,54068
51712,53783,54067
51736,53758,53867
51704,53725,54054
51688,53714,54017
51658,53702,54012
51654,53654,54045
51650,53624,54010
51588,53700,53993
51586,53481,53863
51557,53641,53713
51545,53607,53828
51555,53606,53801
,53535,53800
,53469,53793
,53529,42181
,53526,53783
,53513,53758
,53498,53725
,45995,53714
,52135,53697
,53467,53702
,53465,53654
,53460,53624
,53445,53700
,53430,53574
,53421,53541
,53450,53481
,53406,53641
,52954,53607
,53266,53606
,53398,53535
,52955,53469
,53374,53529
,53367,53526
,53032,53523
,53354,53513
,53008,53498
,53337,45995
,53301,52135
,53285,53467
,53342,53416
,53169,53465
,53322,53460
,53180,53445
,53081,53430
,53090,53421
,53074,53450
,53254,53406
,53067,52954
,53087,53266
,53056,53398
,52998,52955
,52066,53374
,52957,53373
,50860,53367
,51893,53032
,51237,53354
,52926,53008
,52723,53337
,52850,53301
,52776,53285
,52719,53342
,52792,53169
,52772,53322
,52770,53180
,52767,53081
,52732,53090
,52731,53074
,52729,53254
,52727,53067
,52726,53087
,52725,53056
,52724,50864
,52760,52998
,52758,52974
,52669,52833
,52607,52066
,52606,52957
,52577,50860
,52444,51893
,52547,51237
,52543,52926
,52511,52723
,51408,52850
,52461,52776
,52443,52719
,52245,52792
,52387,52772
,52326,52770
,52316,52767
,52384,52846
,52293,52732
,52208,52731
,52028,52729
,52173,52727
,52156,52726
,52113,52725
,52051,52724
,52009,52804
,51952,52760
,51956,52758
,51905,52669
,51860,52666
,51852,52607
,51687,52606
,51794,52586
,51698,52577
,51712,52444
,51736,52547
,51704,52543
,51558,52511
,51688,51408
,49683,52480
,51658,52461
,51654,52443
,51650,52245
,51644,52387
,51641,52326
,51615,52316
,51610,52303
,51614,52384
,51588,52356
,51586,52354
,51557,52293
,51545,52321
,51555,52208
,41709,52028
,51509,52225
,51518,52173
,,52156
,,52113
,,52051
,,52009
,,51952
,,51956
,,51630
,,51905
,,51860
,,51852
,,51580
,,51687
,,51811
,,51794
,,51698
,,51712
,,51736
,,51704
,,51558
,,51688
,,49683
,,51658
,,51654
,,51650
,,41673
,,51644
,,51641
,,51615
,,51610
,,51614
,,51588
,,51586
,,51557
,,51545
,,51555
,,41709
,,51509
,,51518
,,49595
,,51503
