Accuracy@1,Accuracy@5,Accuracy@10
133117,134371,136585
120739,140357,134371
132591,133117,140357
136707,142466,129704
152835,120739,133117
155972,132591,142466
158624,136707,120739
158573,147801,132591
160496,148007,136707
170102,148786,147801
220686,148972,148007
222987,151673,148786
238666,152835,148388
192877,152161,148972
186884,150271,148409
261808,129525,151673
270033,155238,152589
269522,155972,152835
272591,153845,152161
289816,148908,149560
318397,158624,150271
323417,158573,129525
324190,156904,155238
324804,152366,155972
349764,159896,153845
353349,160496,148908
354022,161502,158624
354947,164288,158573
374964,165148,156904
376990,170102,152366
382189,171667,159896
391123,220430,160167
391384,220686,161217
415266,193348,160496
418129,222437,161502
,222987,164288
,163802,165148
,224962,170102
,230817,171667
,209372,175039
,232712,220430
,233497,220686
,227295,193348
,229829,222437
,238666,222987
,192877,163802
,186884,224962
,261808,230817
,263837,209372
,266602,232712
,269578,233497
,270033,227295
,269522,155347
,272591,229829
,289816,238666
,279298,192877
,308093,186884
,309402,185447
,310144,261808
,317139,263837
,318397,264563
,322832,266602
,323417,269578
,324135,269840
,324190,269912
,324804,270033
,340323,269522
,348488,272591
,349764,274986
,353349,289816
,354022,279298
,353457,120375
,354947,298786
,359332,305788
,362956,308093
,374964,308386
,374745,309402
,376990,310704
,382189,310144
,384398,314130
,386049,317139
,387718,318397
,384401,321641
,388971,322832
,391123,323417
,391384,324135
,404594,324190
,404600,324804
,413378,339300
,368046,340323
,415266,348488
,418129,349764
,419279,352389
,423257,353100
,,353349
,,354022
,,353457
,,354947
,,359332
,,362956
,,374964
,,374745
,,376990
,,382189
,,384398
,,386049
,,387718
,,384401
,,387444
,,388971
,,389750
,,389456
,,391123
,,398588
,,399408
,,391384
,,404594
,,404600
,,407017
,,413378
,,368046
,,415266
,,418129
,,419279
,,423257
