Accuracy@1,Accuracy@5,Accuracy@10
225927,225927,226257
226066,226066,225927
227249,224758,226066
226829,225030,224758
226859,223314,225030
227074,226871,209799
224262,227249,226864
226742,226829,223314
225034,226859,226871
230103,227074,227249
230098,160542,226829
229563,224262,226859
230033,226742,227074
228808,228138,223456
230306,225034,227481
231058,227269,160542
231480,229908,224262
232898,230103,226742
232894,229649,228138
232637,230098,225034
228344,228372,227269
233612,229220,229231
209755,229563,229908
234442,228131,230103
233376,229524,229649
234758,230033,229521
235040,228808,230098
232719,230306,228372
235760,229551,229220
235749,228244,229563
235973,231058,228131
235532,228551,229524
236338,231085,230033
233885,229233,228808
235620,231480,230306
236744,231983,229551
237182,231043,228244
237569,194374,231058
235757,232898,167618
236564,232894,228551
236786,232221,231085
235050,192368,228835
235510,233131,230835
239027,232637,229233
236389,233400,231480
239920,228344,231353
240431,233612,231983
234826,232035,231720
241344,209755,223576
239070,233871,231043
242205,234442,194374
242032,233376,232263
242065,234519,232898
237550,234758,232894
241650,235040,231402
244115,232719,232221
244107,235047,192368
243464,235059,233131
235707,235259,232637
244916,235518,233400
244389,235760,228344
243717,235270,233612
244376,235749,232035
245502,235991,209755
245624,235973,234133
245465,235532,233871
232730,236338,234442
245909,233885,233376
247126,235038,234519
250711,235620,234758
250727,236744,235040
252148,237182,234796
251494,237569,232719
252313,237748,235077
254402,235757,235047
253873,237405,235059
239190,238715,235071
254981,238935,235259
256167,236564,235275
169817,234407,235544
258234,236786,235518
255600,235050,235760
258582,235510,235270
257028,239027,233900
258394,236389,235749
183437,239199,235991
258773,239920,235758
258787,231110,235973
258047,240431,235532
234064,238720,236338
259123,240895,233885
258898,241612,236016
259904,234826,235038
259926,241344,235620
236018,239070,235507
255837,240647,236742
259776,240813,236744
261320,241931,237182
259693,234522,237569
259874,242205,237748
261456,242032,235757
261746,242065,237405
261772,237550,238715
261961,242676,238935
261809,241650,236564
262115,243141,234407
260681,243248,236786
265244,242846,235050
266793,243254,235510
264273,243368,239759
267570,243541,239027
124950,244115,236389
259612,243981,239199
269315,234531,239920
244326,244107,231110
244501,243464,237018
269334,241792,240431
269768,235707,238720
269923,244916,239597
269928,243982,240895
270239,244389,241040
270563,243717,241612
270711,243269,234826
269952,245192,241344
269920,244376,240459
271116,245507,239070
271407,245502,240647
271591,245629,241043
271126,245812,240813
271856,245624,240624
272636,245839,236565
272866,245333,242199
237427,232900,241931
273007,239266,234522
239925,245079,242205
273377,246174,242455
274218,245465,242032
273367,245499,242065
273535,246312,237550
275258,232730,242676
273381,231237,241650
275008,246193,234559
270451,245909,243141
273998,246677,241489
275587,248817,243248
276006,247126,242846
271866,249450,243254
272130,249918,243368
276408,250216,243541
159857,250890,244115
261726,250711,243981
276266,250727,234531
276449,250905,244107
276441,251810,243464
276430,251052,215192
224242,251048,241792
273368,252148,235707
276806,252542,244916
273532,252526,243982
277271,251494,244389
277430,252313,243717
270217,253139,243269
277439,251558,245192
269124,254402,158644
276409,253873,244376
263596,252318,244375
278897,230486,245507
276663,245637,245502
279554,255584,237190
279186,231395,245629
142136,239190,245812
281299,254981,245624
281303,256167,245839
271984,169817,245333
281802,254977,232900
282120,254979,239266
282246,257473,245079
282544,258234,246174
117675,255600,245465
282763,258582,246969
279892,257028,245499
281181,258633,246312
280560,258394,232730
283973,183437,247129
284695,258773,231237
284694,258787,246193
284467,258388,245909
284379,259469,246677
279732,258047,247163
284816,254933,248129
283788,234064,248817
284703,259123,248524
285812,258898,247126
284870,259904,249450
285819,259926,249918
285384,236018,246827
278584,172286,250216
286750,251674,250890
286775,259948,250711
287035,260818,250404
279776,255837,250902
238453,259776,250727
236380,261320,250905
287774,259693,248815
287102,259874,251810
287662,261314,251052
288043,261456,251048
288332,261308,252148
285851,261746,250053
288607,261772,252542
289318,261960,252526
282248,261961,252525
290225,259613,251494
288617,261809,252313
282237,230084,252919
290480,262115,253139
288540,199976,251558
284233,264455,254402
291975,259924,253873
292008,264654,252318
281865,260681,230486
292286,264975,245637
287780,265434,255584
292853,255309,231395
293124,266654,239190
293122,265244,253884
288803,266783,247384
293390,266447,254981
292989,266793,256167
294149,266647,169817
294172,264273,254977
294225,267563,254568
294423,267341,238342
292730,267570,254979
295207,265965,257473
295350,267577,258234
297918,267159,194246
298636,124950,255600
299349,267581,258582
301202,268271,256850
301380,268034,257028
299617,259612,258403
301382,266795,258633
300631,268749,258394
301925,269150,183437
302084,268912,258773
293633,269315,258787
303029,244326,258585
305450,244501,258388
307956,269646,259469
308138,269334,258047
308443,269768,254933
308451,268916,234064
307366,269923,259123
292109,268282,258898
305950,269928,259823
288446,270077,259904
309427,269143,259926
291152,270239,236018
309911,270241,172286
307336,267120,251674
309432,268491,259948
307353,270233,260818
309625,270230,255837
310959,270563,259776
270189,270711,261320
312006,271098,259693
312022,269952,259874
311669,270710,261314
311664,270909,261456
308971,269920,261329
301493,271116,261308
310416,271407,261746
305982,271589,261772
311998,271558,261960
284068,271729,261961
311494,271546,259613
311496,271591,261809
299233,271126,230084
313069,270545,262115
301770,267806,262749
312521,271856,199976
312529,272441,264455
229538,272636,259924
312382,267535,264654
313652,272866,260681
299096,237427,264975
298628,273007,264303
313868,239925,264836
313466,271596,265102
314200,273028,265434
314218,273365,255309
314198,273377,266654
312761,274218,265244
314203,273367,246507
292641,273535,266783
314190,275258,266447
315050,274941,266793
315181,274257,266647
316674,273381,266257
313459,275008,264273
312531,275415,267563
312859,274927,267341
314612,271865,267570
318062,270451,265965
313646,273998,267577
319351,275587,267159
321474,272090,124950
321540,275791,267581
322346,275830,268271
322347,275803,268034
324070,276006,268478
330326,275837,268537
336767,271866,268908
350763,272130,259612
375600,275813,269141
390630,275406,266795
375294,276406,268749
415915,276408,269150
405749,276239,268000
414088,159857,268912
320365,261726,269315
403306,275601,244326
,276266,244501
,276449,269646
,276216,269334
,276441,269134
,276218,269768
,276430,268916
,224242,269923
,190722,268282
,276828,269928
,273368,270077
,276806,269143
,273532,270239
,274475,270241
,277263,267120
,277271,268491
,277430,270233
,270217,270230
,277439,270563
,277276,270711
,235504,270576
,269124,207568
,276409,271098
,263596,269952
,278706,270710
,278720,270909
,278897,269920
,275764,271116
,279073,271407
,272238,271597
,276663,271589
,276226,271558
,278547,271729
,279554,271540
,279186,271546
,279899,271743
,279750,271591
,279398,271126
,273971,270545
,279026,267806
,142136,189227
,280379,271856
,280030,272441
,280557,272636
,280573,267535
,278583,272649
,279889,272866
,281191,237427
,281299,273007
,281303,239925
,271984,271596
,281450,273028
,281802,273365
,281588,273374
,281321,271861
,282120,273377
,282246,225695
,282478,274218
,282479,273367
,282544,273535
,117675,275258
,280892,274941
,282763,274257
,279892,275271
,283268,273381
,283284,275008
,281181,275415
,283507,272847
,282250,274927
,284100,271865
,280560,271109
,283973,270451
,284695,273998
,284694,275587
,284467,272090
,284379,275791
,279732,275830
,284835,275803
,284816,276006
,284951,275837
,284988,271866
,283788,272130
,284703,275813
,285420,275410
,285418,275406
,285812,276406
,285655,276408
,284870,276239
,285819,159857
