Accuracy@1,Accuracy@5,Accuracy@10
219958,219958,219958
191684,191684,191684
219386,219386,219386
220423,220423,220423
187762,187762,187762
220582,220582,220582
210568,210568,208103
220546,220473,210568
221416,208392,220473
221528,212177,208392
221860,220546,212177
221493,221416,220368
221768,221337,220456
221521,220523,220546
220662,221528,162140
222411,220766,221416
221649,84225,221337
222375,220694,220523
214919,221860,221528
76351,221493,220766
221222,215543,84225
223074,221768,220694
218053,221521,221860
222861,220662,221493
223339,222411,215543
220767,221649,221768
223732,222375,221521
223481,222397,220662
219273,218882,222411
223886,214919,221649
222627,214392,222375
223808,157445,222397
224335,76351,218882
224428,221222,214919
224451,218467,214392
223116,220696,157445
109290,220697,76351
224887,223074,221222
225051,223246,218467
225966,218053,220696
225331,222861,220697
226305,131516,223074
200376,223339,223246
226124,136244,218053
223188,223375,222861
226277,220767,131516
223299,191254,223339
224951,223649,136244
218054,219874,223375
221914,223732,220767
227661,223481,191254
214560,219273,223649
216483,223886,219874
204489,222627,223732
226217,223808,223481
228120,223790,219273
227868,223846,223886
228006,224335,222627
228475,224428,216860
228786,224451,222391
228204,223116,223808
225190,223962,223790
223405,109290,223846
228760,224887,224335
229127,224674,224428
185216,225051,224451
229719,225966,224571
229807,225331,223116
229684,226305,223962
225754,200376,109290
228890,226124,223108
227983,223188,224887
230179,226277,99602
231119,223299,224674
207350,224951,225051
227317,218054,225966
229668,221914,221662
231307,227661,225331
231182,224682,206179
231016,214560,218540
189588,216483,127308
230365,198283,202170
229983,204489,226305
231163,226217,200376
232541,228120,219913
234372,223056,226124
232196,227868,90959
137478,228006,223188
210491,228475,226718
237163,228863,226277
239523,228786,223299
219946,228204,224951
237273,225190,218054
235354,219635,221914
228658,223405,227661
241277,224997,223880
233313,228760,224682
235195,229127,219184
238909,229240,214560
242466,169997,216483
236612,185216,198283
245437,229386,204489
245761,229180,226217
246381,229623,228120
246209,229719,223056
246612,229807,227868
247933,229864,222750
249435,229684,228006
242832,225754,228475
244145,94825,228863
43573,228197,155273
84107,230420,228786
230349,228890,228204
247720,228017,225190
247818,227983,219635
251444,230879,208934
251193,230179,202297
251996,230472,223405
201391,231119,224997
134190,207350,228760
247731,227317,229127
234345,227982,229240
243347,229668,188674
180392,231307,169997
248392,231182,185216
252487,231636,229386
230394,231341,229180
252940,226342,229623
252904,231016,229351
192633,230351,229473
250133,228880,229719
250136,189588,229807
189752,230365,229864
254547,229983,229684
232076,199179,225754
254673,231163,94825
242789,229789,228197
242819,233285,230420
242821,232541,228890
254492,232851,228017
119085,232048,228717
256516,232997,227983
245155,234228,230879
256716,234372,230179
249647,232489,230472
181308,218249,231119
175069,232196,207350
182714,235819,227317
238397,137478,227982
256830,210491,214271
256801,237884,229668
141690,237163,231307
49316,239523,231182
256556,219946,231636
257531,237273,231341
257790,240135,226342
238738,235354,231016
258833,228658,230351
258826,241277,228880
258153,233313,189588
255229,241209,230365
211350,235195,157506
257956,240009,229983
259179,242765,199179
260649,242446,231163
261037,242427,229789
250198,238909,233285
260937,238162,232541
220557,161095,232851
258810,242466,232048
254550,236612,232997
259553,245437,234228
261827,245710,227721
256764,245761,234372
238299,246384,232489
259536,246381,218249
258352,246209,232196
252290,246612,235819
188380,247933,235613
189490,249272,137478
261852,249435,210491
262222,249378,237884
125437,242832,237163
262392,249281,239260
261861,244145,226867
262619,247945,239523
262606,43573,219946
262962,84107,237273
252561,230349,240135
262877,247720,235354
263207,251568,228658
255734,247818,241277
263544,251444,233313
261865,251193,240381
185569,219901,241209
263852,246105,242583
211003,251997,208160
263927,251996,242017
219930,201391,235195
243824,134190,240009
264317,247731,242765
211933,234345,242760
258016,243347,242446
