Accuracy@1,Accuracy@5,Accuracy@10
127665,127665,127665
115016,109280,109280
133834,111441,111441
134742,133486,133486
134536,115016,115016
135061,133925,133925
100100,134523,134523
96328,133481,133481
135515,134676,68282
113673,107621,134676
135841,91108,133888
135697,133489,107621
128990,133834,91108
135278,134985,133489
120432,120546,133834
136598,130530,134985
137244,120658,120546
134736,134742,133618
30826,134536,130530
137688,135091,120658
137732,135061,134742
138088,107509,134536
137954,100100,135091
138325,44419,135061
138943,50139,107509
138566,96328,100100
138888,134713,44419
138937,134930,50139
139170,135515,135112
139436,113673,135526
139889,135841,96328
138767,124182,135565
139762,76657,134713
139915,135697,135550
139230,128990,134930
138944,95619,135515
140080,127799,113673
140183,135278,135841
140164,120432,124182
140248,136598,76657
140167,135168,135500
140551,137167,135697
140982,137182,128990
141400,136618,95619
141527,137244,127799
143481,137204,135278
140315,133355,120432
146813,134736,136598
141277,30826,135168
144941,137688,137162
129547,137732,137167
78929,138088,137182
140111,137964,136618
10694,138323,137244
74979,137954,137204
148617,115524,133355
93121,115526,134736
149440,128843,30826
149540,93200,137688
149496,135884,137732
104941,138325,137925
140416,126351,138088
149468,107373,137964
147429,107587,138323
150083,100963,138318
150149,131284,108515
139938,133555,137954
139732,138943,115524
148118,138566,115526
149954,138875,114499
67967,138888,128843
151190,138937,93200
149941,139150,135884
21904,139170,138325
50832,139436,126351
143073,139889,107373
151853,138767,107587
151404,139762,100963
153072,139915,131284
153113,139145,138628
31815,139230,133555
130472,139822,138943
153421,138944,138855
154215,140080,138566
154534,140183,138875
154103,139706,138888
156239,140164,138930
60724,139381,133609
156822,139668,138937
156911,140299,129035
157468,129725,139150
157767,140248,139170
157812,140312,139436
92579,139899,139889
157772,140167,138767
158375,140465,139691
151408,139933,139762
160045,140551,139915
159337,140982,139741
80000,140761,139145
159699,140553,139230
161282,141400,139822
153247,138972,138944
161577,141994,140080
162045,143171,140183
162548,141527,139706
162871,143481,140164
163495,140315,139381
76638,146813,139668
162914,141277,140299
163799,98069,129725
163709,144941,140248
139140,129547,140312
40478,78929,139899
70728,144785,140167
142508,147181,140465
119251,140111,139933
165689,95232,140551
166519,140214,140982
166966,36195,140761
167622,10694,140553
167644,74979,141400
167616,148664,138972
