Accuracy@1,Accuracy@5,Accuracy@10
224462,224462,181864
221411,221268,224462
224941,221411,221268
211181,207909,210854
196676,225329,221411
42485,192646,207909
223015,224941,225329
223512,211181,192646
226229,196676,225997
174014,225973,224941
225677,153365,211181
228770,42485,225946
229841,130470,196676
229776,143358,225973
216919,177368,153365
219558,226747,42485
230489,158243,130470
231009,216503,187036
214503,169839,143358
231925,226022,177368
232093,223015,226747
201774,223512,158243
229181,226229,216503
232499,174014,169839
232965,224122,226022
231877,220471,223015
233595,225975,223512
233638,225677,226229
223823,228287,73390
234732,214381,174014
234437,228770,224122
233844,220642,220471
234823,148094,225975
219437,229841,225677
235219,229776,226016
235329,229680,219641
164437,216919,228287
235617,212991,214381
54525,219558,228770
237138,230489,228667
237986,231009,220642
238149,231148,148094
238847,223926,229841
211202,231192,229776
239482,214503,229680
84552,227965,216919
241720,231449,212991
236724,231606,230935
242030,231925,219558
97496,227076,230489
242414,231884,231009
243012,232093,231148
196884,231787,223926
49996,201774,231192
244931,229181,214503
244318,232475,227965
247557,228282,231449
211696,232499,231606
249286,225404,231925
248551,232163,227076
250622,232965,231884
250782,231877,232093
251442,233351,231787
250178,233099,226007
252895,233485,201774
252749,233867,229181
252642,233595,232475
252747,234119,228282
246541,233638,231882
252903,234433,232499
253058,223823,225404
253057,234732,232163
250175,234437,232965
253254,233844,231877
251762,234823,233351
254607,219437,233099
254808,235219,233485
245523,235324,233867
248921,235348,233595
255282,235329,234119
255730,164437,233638
257056,235617,234433
256770,235806,223823
256870,235847,234732
256685,232689,234437
257238,210988,233844
257614,125499,234823
257967,54525,219437
250179,226090,235219
258970,237138,235324
245783,237675,235348
259910,237986,235329
257088,127971,164437
257237,238149,235617
253745,226369,235806
245590,238847,235847
261099,211202,232689
261052,239220,236419
261228,236312,210988
258727,236634,230118
247444,239482,230120
263967,84552,236689
263620,241490,125499
264762,241720,54525
264425,236724,236937
266475,242030,226090
266828,232688,237138
255000,241671,237675
267752,97496,237986
267126,242414,127971
267174,242263,238149
267886,242603,226369
236630,243012,238847
253214,244396,211202
268613,196884,239220
253217,231776,236312
269305,239965,86745
267468,49996,236634
269533,243558,239482
267895,244931,84552
269950,145890,241490
136515,244318,241380
266974,247649,241720
268651,247557,236724
185204,247702,241443
270861,248187,242030
270406,248735,232688
270670,248950,241671
259687,211696,97496
271697,249286,242414
253056,248551,242263
272833,250622,242603
273117,250782,243012
