Accuracy@1,Accuracy@5,Accuracy@10
51509,51509,51509
51056,51056,51056
51555,41709,41709
51588,51555,51555
51610,51588,51557
51641,51586,51588
51650,51615,51586
51654,51610,51615
51658,51641,51610
51688,51650,51641
51704,51654,51650
51712,51658,51654
51739,51688,51658
51687,51558,49683
51860,51704,51688
51852,51736,51558
51630,51712,51704
51956,51739,51736
52009,51698,51712
52051,51794,51739
52156,51580,51698
50570,51687,51794
52028,51860,51811
52354,51852,51580
52213,51905,51687
52356,51630,51860
52384,51956,51852
52303,52009,51905
52326,52051,51630
52245,52156,51956
52461,50570,52009
52511,52173,52051
52577,52225,52156
52669,52028,50570
52758,52208,52173
52732,52321,52225
52729,52354,52028
52727,52213,52208
52726,52356,52321
52772,52384,52293
52770,52303,52354
52719,52316,52213
52723,52326,52356
51237,52245,52384
52957,52440,52303
52998,52461,52316
50864,51408,52326
53063,52511,52387
53254,52444,52443
53090,52577,52245
53180,52606,52440
53081,52607,52461
53301,52669,51408
53230,52758,52511
53367,52760,52444
52954,52732,52577
53421,52731,52606
53460,52729,52607
53445,52727,52669
53526,52726,52758
53606,52846,52760
53535,52772,52724
53607,52770,52732
53641,52767,52731
53714,52719,52729
53800,52776,52727
54054,52850,52726
54068,52723,52846
54076,52926,52772
54096,51237,52770
54123,50860,52767
54220,51893,52719
54150,52957,52776
54262,52066,52850
54379,52998,52723
54406,50864,52926
54521,53056,51237
54456,53063,50860
54536,53254,51893
54552,53074,52957
54585,53090,52066
54671,53180,52998
54690,53081,50864
54658,53285,53056
54702,53342,53087
54732,53301,53063
54851,53008,53254
54708,53337,53074
54178,53230,53090
54906,53367,53180
54974,52955,53081
54984,52954,53169
54964,53406,53285
55109,53421,53342
55110,53430,53301
55101,53460,53008
55126,53445,53337
55102,53467,53230
55151,52135,53367
55017,45995,53374
55158,53523,52955
53777,53526,52954
55184,53469,53406
55183,53606,53450
55166,53535,53421
55218,53607,53430
55238,53641,53460
55259,53481,53445
55291,53654,53465
55333,53714,53467
52092,53758,52135
55357,53793,45995
55354,53800,53523
55434,53801,53526
55343,53713,53469
55527,53993,53606
55521,54017,53535
52558,54012,53607
46727,54045,53641
55570,54054,53481
55630,53867,53574
55251,54068,53700
54095,54076,53654
55664,54127,53714
55684,54096,53725
55749,54124,53758
55778,54123,53783
55851,54087,42181
55905,54141,53793
56025,54207,53800
56012,54220,53801
,54217,53828
,54194,53713
,54150,53863
,54256,53993
,54262,54017
,54382,54012
,54377,54045
,54379,54054
,54406,53867
,54438,54068
,54458,54076
,54476,54127
,53869,54096
,54496,54124
,54513,54123
,54521,54087
,54456,54141
,54536,54207
,54552,54198
,54585,54220
,54638,54217
,54612,54194
,54628,54150
,54671,54256
,54690,54262
,54660,54284
,54658,54382
,54702,54377
,54709,54379
,54732,54406
,54851,54438
,54800,54440
,54708,54324
,54781,54450
,54178,54448
,54926,54458
,54906,54476
,54703,53869
,54974,54496
,54984,54497
,54964,54513
,54961,54521
,54999,54534
,55052,54456
,55108,54536
,55109,54552
,55110,54602
,53987,54585
,54745,54638
,55101,54612
,55126,54628
,55127,54624
,55102,54671
,55151,54690
,55017,54660
,55158,54658
,55159,54702
,53777,54709
,55179,54732
,55174,54748
,55181,54851
,55184,54807
,55183,54800
,55210,54708
,55166,54781
,55218,54178
,55238,54926
,55240,54906
,55250,54703
,55259,54974
,55291,54981
,55267,54984
,55287,54964
,55309,54963
,55312,54961
,55333,54999
,52092,55035
,55357,55052
,55354,55073
,55434,55108
,55454,55109
,51526,55110
,55453,53987
,55494,54745
,55500,55101
,55342,55126
,55343,55127
,55527,55102
,55521,55151
,52558,55017
,46727,55158
,55570,55159
,55317,53777
,55629,55179
,55630,55174
,55642,55181
,55251,55184
,54095,55183
,55656,55210
,55664,55166
,55681,55218
,55684,55231
,55715,55238
,55749,55240
,55760,55250
,55772,55259
,55778,55291
,55851,55267
,55811,55287
,55801,55309
,55820,55316
,55905,55312
,55939,55333
,55974,55345
,55958,52092
,55976,55357
,55978,55354
,55893,55434
,56025,55438
,55943,55454
,56012,51526
,,55453
,,55494
,,55500
,,55342
,,55343
,,55527
,,55521
,,54693
,,52558
,,46727
,,55570
,,55582
,,55317
,,55629
,,55630
,,55642
,,55251
,,54095
,,55656
,,55664
,,55681
,,55684
,,55715
,,55735
,,55749
,,55760
,,55772
,,55778
,,55842
,,55851
,,55811
,,55801
,,55820
,,55884
,,55905
,,55939
,,55974
,,55970
,,55958
,,55976
,,55978
,,55893
,,56025
,,55943
,,56012
