Accuracy@1,Accuracy@5,Accuracy@10
100100,100100,100100
100244,100244,100244
100593,100593,100593
100763,100763,100763
100963,100963,100963
102236,101623,101623
102590,102236,102236
105668,102281,102281
105738,102590,102590
105761,103450,103450
10694,104021,104021
107621,104941,104941
107923,105668,105651
108030,105738,105668
108121,105743,105738
109145,105761,105743
110589,106228,105761
110774,10694,106228
111441,107587,10694
112921,107621,107373
113673,107923,107509
117960,108030,107587
119181,108065,107621
119251,108102,107923
120223,108121,108030
120432,109145,108065
120561,109280,108102
120658,110015,108121
124182,110589,108247
125326,110774,109145
126342,111441,109280
127665,112921,110015
127799,113247,110589
128990,113592,110599
129547,113673,110774
129725,114499,111441
130472,114582,112921
130725,115524,113247
130890,115526,113592
130922,117960,113673
133191,119181,114499
133481,119251,114582
133518,120223,115524
133525,120269,115526
133530,120432,117053
133609,120561,117694
133834,120615,117960
133888,120658,119181
134536,123356,119251
134736,124182,120223
134985,125326,120269
135053,126342,120432
135061,126351,120561
135168,127659,120615
135326,127665,120658
135550,127799,123356
135565,128843,124182
135612,128990,125326
135816,129336,126342
135824,129547,126351
135841,129588,127659
136353,129725,127665
136598,129929,127799
137167,130472,128843
137244,130530,128990
137474,130725,129336
137688,130890,129547
137732,130922,129588
137756,131073,129725
138088,131284,129929
138323,132827,130472
138325,133191,130530
138566,133481,130725
138628,133486,130890
138767,133518,130922
138855,133525,131073
138875,133530,131284
138910,133555,132827
138937,133609,133191
138943,133618,133277
138944,133731,133355
139000,133834,133481
139140,133888,133486
139145,133891,133518
139158,134257,133525
139197,134536,133530
139668,134676,133555
139675,134713,133609
139694,134736,133618
139732,134739,133731
139741,134741,133834
139818,134742,133888
139822,134930,133891
139889,134985,134257
139899,135053,134536
139915,135061,134676
139938,135112,134713
140080,135168,134736
140111,135278,134739
140164,135298,134741
140167,135326,134742
140214,135500,134930
140289,135515,134985
140291,135526,135053
140292,135550,135061
140465,135565,135091
140548,135612,135112
140553,135816,135122
140777,135824,135168
141253,135841,135278
141277,135884,135298
141400,136312,135326
141492,136353,135500
141501,136598,135515
141517,137114,135526
142508,137167,135550
143025,137204,135565
143073,137244,135612
143481,137427,135697
144941,137474,135816
145784,137688,135824
146116,137732,135841
147181,137756,135884
147767,137954,136312
148118,138088,136353
148419,138318,136598
148617,138323,136618
148635,138325,136915
148954,138566,137114
149496,138628,137167
149540,138767,137172
149633,138855,137204
149797,138875,137244
149800,138888,137427
149803,138910,137474
149941,138930,137688
150083,138937,137732
150853,138943,137756
150989,138944,137954
151062,139000,137964
