Accuracy@1,Accuracy@5,Accuracy@10
108792,107337,107337
113342,108792,108792
118049,113342,113342
119192,116892,116892
127971,118049,118049
130470,119192,119192
136515,127971,125866
142593,130470,127971
148094,136515,130470
148532,142490,136515
150870,142593,142490
154904,143358,142593
164437,148094,143358
174014,148532,145890
175821,150870,148094
177368,153365,148532
182914,154904,150870
185202,158243,153365
185204,164437,154904
188372,169839,158243
192646,173888,164437
196676,174014,169839
197238,175821,173888
199964,177368,174014
201774,182914,175821
202414,185202,177368
207909,185204,180176
210443,185934,182914
211181,187036,185202
211202,188372,185204
212594,192646,185934
213050,196676,187036
213185,197238,188320
214807,199964,188372
218929,201774,188440
219437,202414,192646
219558,207909,196676
221411,210443,197238
222783,210451,199964
222791,210988,201774
223015,211048,202414
223512,211181,207909
224941,211202,210443
225329,211696,210451
225404,211983,210988
225593,212594,211048
225677,212991,211181
226022,213050,211202
226229,213185,211696
226363,214381,211983
226369,214807,212594
228968,217378,212991
229776,218929,213050
229841,219437,213185
230071,219558,214381
230120,220465,214807
231776,220471,217378
231884,220642,218929
232093,221268,219437
232475,221411,219558
232617,222783,219641
232965,222791,220465
233351,223015,220471
233638,223512,220642
233844,223926,221268
233969,224462,221411
234119,224941,222783
234437,225266,222791
234732,225329,223015
235329,225401,223512
235617,225404,223926
235806,225593,224122
236312,225677,224462
236419,225975,224941
236630,225997,225266
236669,226016,225329
236689,226022,225401
236724,226090,225404
236808,226229,225593
237138,226363,225677
237432,226369,225975
237517,228282,225997
237986,228287,226016
238847,228968,226022
239220,229172,226090
239965,229377,226229
240817,229520,226363
241380,229680,226369
241443,229776,226973
241490,229841,227914
241720,230071,228282
242003,230120,228287
242030,230912,228695
242484,231606,228968
242716,231776,229172
242838,231877,229181
243012,231882,229377
243037,231884,229520
243232,231925,229680
244108,232093,229776
244318,232163,229841
244472,232475,230071
244574,232499,230120
244931,232617,230912
245185,232685,231009
245278,232686,231449
245388,232689,231606
245523,232965,231776
246274,233099,231787
246505,233303,231877
246541,233351,231882
247069,233598,231884
247216,233638,231925
247237,233844,232093
247444,233867,232163
247558,233969,232475
247649,234119,232499
248167,234271,232617
248266,234437,232685
248551,234732,232686
248731,234823,232689
248921,235219,232965
249003,235324,233099
249608,235329,233303
249880,235348,233351
250172,235617,233598
250179,235806,233638
250782,235847,233844
250976,236312,233867
251084,236419,233969
251270,236630,234119
251442,236669,234271
252245,236689,234437
252422,236724,234732
252464,236808,234823
252747,236937,235219
252749,237138,235324
253056,237432,235329
253057,237517,235348
253058,237675,235554
253189,237986,235617
253214,238149,235806
253254,238847,235847
253294,239220,236312
253673,239231,236419
253720,239965,236630
254607,240033,236634
254861,240190,236669
255000,240817,236689
255282,241144,236724
256169,241380,236808
256173,241443,236937
256346,241490,237138
256719,241720,237432
256770,242003,237517
256825,242030,237675
256870,242263,237986
257056,242388,238149
257188,242414,238847
257238,242484,239220
257534,242716,239231
257614,242838,239965
257967,243012,240033
258727,243037,240142
258970,243232,240190
258975,243529,240817
258978,243894,241062
259003,244108,241144
259141,244318,241380
259910,244472,241443
260076,244574,241490
260123,244931,241720
260407,245185,242003
260761,245278,242030
261354,245379,242263
261576,245388,242388
262117,245523,242414
262651,245783,242484
262767,246274,242716
262925,246505,242838
262939,246541,243012
262984,247069,243037
263603,247216,243232
263620,247237,243529
263971,247290,243894
263999,247318,244108
264003,247444,244234
264425,247557,244318
264762,247558,244472
265481,247649,244574
265947,247728,244931
265991,248167,245185
266475,248266,245278
266499,248467,245379
266516,248551,245388
266974,248731,245523
267126,248796,245783
267270,248921,246274
267466,249001,246505
267468,249003,246541
267752,249286,247069
267895,249608,247083
268307,249880,247216
268503,250172,247237
268543,250179,247290
268651,250193,247318
268787,250622,247444
268789,250782,247557
269305,250859,247558
269413,250976,247649
269533,251007,247667
269599,251084,247676
270177,251270,247728
270316,251442,248167
270406,251779,248266
270490,252064,248467
270495,252245,248551
270531,252251,248731
270654,252416,248735
270663,252422,248796
270670,252424,248921
270676,252427,248950
270880,252460,249001
271017,252464,249003
271029,252678,249210
271179,252747,249286
271384,252749,249608
271634,252903,249880
271765,253056,250172
272259,253057,250178
272331,253058,250179
272631,253189,250193
272834,253214,250327
273099,253254,250622
273117,253259,250782
273521,253294,250859
273631,253673,250976
273678,253720,251007
273850,253745,251012
274022,254497,251084
274169,254607,251128
274274,254808,251149
274295,254861,251270
274432,254865,251442
274931,254947,251454
275159,255000,251469
275484,255282,251618
275617,255730,251762
275681,256159,251779
275900,256169,252064
275913,256173,252245
276110,256327,252251
276346,256346,252388
276485,256476,252416
276506,256685,252418
276516,256719,252422
276531,256770,252424
276564,256825,252427
276760,256845,252460
276826,256870,252464
276854,256919,252678
276892,257007,252679
277072,257056,252747
277175,257188,252749
277315,257237,252903
277356,257238,253056
277438,257534,253057
277442,257614,253058
277567,257967,253075
277668,258110,253189
277714,258134,253214
278081,258309,253217
278370,258727,253225
278376,258970,253254
278413,258975,253259
278780,258978,253294
278981,258992,253673
279013,259003,253720
279052,259141,253745
279273,259379,254497
279356,259687,254607
279408,259910,254797
279454,260076,254808
279501,260123,254861
279877,260407,254865
279917,260514,254947
280005,260761,255000
280708,261052,255282
281352,261099,255730
281383,261354,256159
281695,261576,256169
281912,261854,256173
283313,262117,256327
283688,262651,256346
284028,262767,256476
284858,262888,256685
285656,262925,256688
286040,262939,256719
286063,262981,256770
286687,262984,256825
287119,263518,256845
287149,263589,256870
287307,263603,256919
288468,263620,257007
288480,263664,257056
288669,263677,257188
289244,263971,257237
289401,263999,257238
289467,264003,257534
289752,264019,257614
290125,264425,257967
290240,264560,258110
290320,264703,258134
290397,264762,258159
290635,265427,258309
290759,265481,258727
291030,265947,258970
291209,265991,258975
291229,266407,258978
291253,266475,258992
291354,266499,259003
291724,266516,259141
291749,266828,259379
292187,266974,259687
293490,267103,259910
293932,267126,260076
294171,267270,260123
294368,267466,260364
294860,267468,260407
295483,267507,260514
295774,267516,260585
295856,267680,260761
296284,267717,261052
297186,267752,261099
297477,267886,261354
297605,267895,261576
297823,268303,261854
297911,268307,262117
298435,268410,262346
298473,268503,262651
298612,268543,262767
298744,268613,262888
298942,268651,262925
299094,268787,262939
299241,268789,262955
299302,269305,262981
300620,269413,262984
301018,269533,263518
302053,269599,263589
302861,269950,263603
302950,270140,263620
304093,270177,263664
304606,270179,263677
304802,270316,263967
305070,270406,263971
305095,270490,263999
305096,270495,264003
305294,270531,264019
305335,270654,264425
305433,270663,264560
305536,270670,264703
305537,270676,264705
305553,270861,264762
305704,270880,265427
306039,271017,265481
307991,271027,265947
308496,271029,265991
308500,271179,266172
309570,271298,266407
309907,271384,266475
310083,271634,266499
310290,271765,266516
310401,272046,266625
310636,272259,266828
310660,272331,266974
311129,272412,267103
311302,272631,267126
311303,272710,267174
311466,272833,267270
311602,272834,267466
311632,272868,267468
311687,273099,267507
311809,273117,267516
311817,273492,267680
311819,273521,267717
312097,273631,267752
312195,273678,267841
312346,273850,267886
312365,273919,267895
312528,274001,268303
312722,274022,268307
312956,274169,268410
312960,274188,268503
313182,274274,268543
313197,274295,268613
313593,274432,268649
313594,274532,268651
313787,274890,268787
313937,274931,268789
314079,274963,268853
314416,275070,269031
314914,275159,269305
315140,275207,269413
315948,275459,269533
316806,275484,269599
316811,275617,269950
317163,275681,270140
317843,275875,270177
318830,275900,270179
319188,275913,270316
320064,275979,270406
320484,276110,270490
320581,276346,270495
320636,276485,270531
321898,276506,270654
322525,276516,270663
323056,276531,270670
323092,276553,270676
323373,276564,270861
323995,276569,270880
324236,276760,271017
324497,276826,271027
324662,276854,271029
325012,276892,271179
325153,277072,271298
326672,277175,271384
326861,277235,271634
327113,277268,271691
327260,277314,271703
327332,277315,271765
327362,277356,272046
327365,277377,272259
328053,277437,272331
328654,277438,272412
328706,277442,272631
329058,277454,272710
329181,277539,272827
329216,277567,272833
329872,277668,272834
329916,277714,272868
330540,278081,273083
331310,278370,273099
331474,278376,273117
331676,278413,273280
331993,278625,273492
332003,278704,273521
332083,278780,273631
332259,278944,273678
332282,278959,273850
332389,278981,273919
332600,279013,273939
332700,279042,274001
332887,279052,274022
332917,279273,274169
333086,279356,274188
333323,279408,274274
333386,279441,274295
333448,279454,274432
333500,279501,274532
