Accuracy@1,Accuracy@5,Accuracy@10
122580,120375,120375
129525,120739,120739
129704,122580,122580
132591,129525,129525
134371,129704,129704
135780,132591,132591
136585,133117,133117
136707,134371,134371
138286,135780,135780
138540,136585,136585
141956,136707,136707
142466,138223,138223
145086,138286,138286
145322,138540,138540
146546,141956,141956
147801,142466,142466
148409,144717,144717
148786,145086,145086
149908,145322,145322
150271,146546,146546
151673,147801,147801
151845,147845,147845
151938,148409,148007
152161,148786,148388
152388,148911,148409
152631,149908,148727
152835,150271,148786
152873,151673,148911
152979,151845,149560
155213,151938,149908
155238,151991,150271
155347,152161,151182
158624,152388,151673
160167,152631,151845
160496,152835,151938
161217,152873,151991
161502,152979,152161
165148,153535,152366
170102,155148,152388
171667,155213,152589
175039,155238,152631
184447,155347,152835
185447,155972,152873
186884,158573,152979
193348,158624,153535
203384,160167,155148
210848,160496,155213
220430,161217,155238
220686,161502,155347
222437,164288,155972
222987,165148,158573
224962,170102,158624
227295,171667,160167
229829,175039,160496
230817,184447,161217
232712,185447,161502
233497,186884,164288
245734,193348,165148
260751,203384,170102
261808,206732,171667
264563,210848,175039
264869,220172,184447
266602,220430,185447
266996,220686,186884
269578,222437,193348
269867,222987,203384
269902,224962,206732
274986,227295,210848
279120,228633,220172
280783,229829,220430
288198,230817,220686
289816,232712,222437
289818,233497,222987
297013,238666,224962
308093,245734,227295
308386,260751,228633
309402,261808,229829
310144,264563,230817
310704,264869,232712
311910,266602,233497
317139,266996,238666
317743,269578,244321
318397,269867,245734
320468,269902,246021
321641,269912,260751
323634,270033,261808
324135,274986,264563
324190,279120,264869
324804,280783,266602
340323,282379,266996
340806,285172,269578
349636,287315,269867
353349,288198,269902
353457,289816,269912
354947,289818,270033
359332,297013,274986
368046,305788,279120
371684,308093,280783
371998,308386,282379
373195,309402,285172
374745,310144,287315
374964,310704,288198
382189,311910,289816
387444,314130,289818
389456,314365,297013
389967,317139,305788
391123,317743,308093
391384,318397,308386
394234,320468,309402
404594,321641,310144
407017,323634,310704
,324135,311910
,324190,314130
,324804,314365
,340323,317139
,340806,317743
,348488,318397
,349636,318899
,353349,320468
,353457,321641
,354022,323417
,354947,323634
,359332,324135
,368046,324190
,371684,324804
,371998,340323
,373195,340806
,374745,348488
,374964,349636
,376990,353100
,382189,353349
,387444,353457
,387718,354022
,389456,354947
,389967,359332
,391123,368046
,391384,371684
,394234,371998
,398588,373195
,404594,374745
,404600,374964
,407017,376990
,408721,382189
,419279,387444
,,387718
,,389456
,,389967
,,391123
,,391384
,,394234
,,398588
,,404594
,,404600
,,407017
,,408721
,,419279
