Accuracy@1,Accuracy@5,Accuracy@10
41673,38216,38216
42181,41673,41673
46727,41709,41709
49683,42181,42181
50570,46727,46727
50860,49595,49595
51237,49683,49683
51509,50570,50570
51518,50860,50860
51526,50864,50864
51545,51237,51056
51557,51509,51237
51558,51518,51503
51586,51526,51509
51588,51545,51518
51615,51555,51526
51641,51557,51532
51644,51558,51545
51650,51580,51555
51654,51586,51557
51658,51588,51558
51687,51614,51580
51688,51615,51586
51698,51640,51588
51704,51641,51614
51736,51644,51615
51794,51650,51640
51811,51654,51641
51852,51658,51644
51893,51687,51650
51905,51688,51654
51910,51698,51658
51952,51704,51687
51956,51713,51688
51972,51736,51698
52009,51794,51704
52066,51811,51713
52113,51852,51736
52135,51893,51794
52173,51905,51811
52208,51910,51852
52213,51952,51860
52225,51956,51893
52245,51972,51905
52293,52009,51910
52303,52028,51952
52316,52051,51956
52321,52066,51972
52326,52113,52009
52354,52135,52028
52356,52156,52051
52384,52173,52066
52387,52208,52113
52443,52213,52135
52445,52225,52156
52461,52245,52173
52511,52293,52208
52558,52303,52213
52577,52316,52225
52606,52321,52245
52607,52326,52293
52666,52328,52303
52669,52354,52316
52719,52356,52321
52723,52384,52326
52724,52387,52328
52725,52443,52354
52726,52444,52356
52727,52445,52384
52729,52461,52387
52731,52474,52443
52732,52511,52444
52758,52543,52445
52770,52547,52461
52772,52558,52474
52776,52577,52511
52804,52591,52543
52850,52606,52547
52926,52607,52558
52954,52666,52577
52955,52669,52591
52957,52671,52606
52974,52719,52607
52998,52723,52666
53008,52724,52669
53032,52725,52671
53056,52726,52719
53067,52727,52723
53074,52729,52724
53081,52731,52725
53180,52732,52726
53230,52758,52727
53254,52760,52729
53266,52767,52731
53301,52770,52732
53322,52772,52758
53339,52776,52760
53367,52804,52767
53374,52846,52770
53398,52850,52772
53416,52926,52776
53421,52954,52804
53430,52955,52846
53445,52957,52850
53450,52974,52926
53460,52998,52954
53465,53008,52955
53467,53032,52957
53469,53056,52974
53498,53067,52998
53526,53074,53008
53529,53081,53032
53535,53087,53056
53541,53180,53063
53606,53230,53067
53607,53254,53074
53641,53266,53081
53654,53301,53087
53700,53322,53090
53702,53339,53169
53713,53354,53180
53725,53367,53230
53758,53374,53254
53777,53398,53266
53783,53406,53285
53793,53416,53301
53800,53421,53322
53828,53430,53337
53867,53445,53339
53869,53450,53342
53987,53460,53354
53993,53465,53367
54012,53467,53374
54017,53469,53398
54022,53481,53406
54045,53498,53416
54054,53523,53421
54068,53526,53430
54076,53529,53445
54095,53535,53450
54096,53541,53460
54123,53606,53465
54124,53607,53467
54127,53624,53469
54141,53641,53481
54144,53654,53498
54194,53697,53523
54198,53700,53526
54203,53702,53529
54207,53713,53535
54217,53714,53541
54220,53725,53606
54248,53758,53607
54256,53777,53624
54262,53783,53641
54377,53793,53654
54379,53800,53697
54380,53828,53700
54381,53854,53702
54406,53863,53713
54438,53867,53714
54448,53869,53725
54450,53987,53758
54456,53993,53777
54458,54012,53783
54466,54017,53793
54476,54022,53800
54496,54045,53828
54497,54054,53854
54513,54068,53863
54521,54076,53867
54534,54095,53869
54536,54096,53986
54552,54115,53987
54585,54123,53993
54612,54124,54010
54624,54127,54012
54628,54141,54017
54658,54143,54022
54660,54144,54045
54693,54150,54054
54702,54178,54068
54703,54194,54076
54709,54198,54095
54712,54203,54096
54721,54207,54115
54724,54217,54123
54732,54220,54124
54745,54239,54127
54755,54241,54141
54781,54248,54143
54800,54256,54144
54801,54262,54150
54807,54284,54178
54822,54377,54194
54851,54379,54198
54888,54380,54203
54906,54381,54207
54926,54382,54217
54944,54387,54220
54961,54406,54239
54963,54438,54241
54964,54440,54248
54984,54448,54256
54997,54450,54262
54999,54456,54284
55017,54458,54324
55035,54466,54377
55052,54476,54379
55073,54496,54380
55101,54497,54381
55102,54513,54382
55108,54521,54387
55109,54534,54406
55110,54536,54438
55126,54552,54440
55127,54585,54448
55151,54599,54450
55158,54602,54456
55159,54612,54458
55160,54624,54466
55177,54628,54476
55179,54638,54496
55183,54658,54497
55184,54660,54513
55200,54671,54521
55207,54690,54534
55210,54693,54536
55218,54702,54552
55228,54703,54585
55238,54708,54599
55240,54709,54602
55250,54710,54612
55251,54712,54624
55259,54721,54628
55291,54724,54638
55309,54732,54658
55317,54745,54660
55333,54748,54671
55342,54755,54690
55343,54781,54693
55354,54792,54702
55357,54800,54703
55404,54801,54708
55434,54807,54709
55438,54822,54710
55469,54851,54712
55494,54888,54721
55521,54906,54724
55527,54926,54732
55570,54944,54745
