Accuracy@1,Accuracy@5,Accuracy@10
117675,117675,117675
169817,124950,124950
172286,142136,142136
190722,158644,158644
192368,160542,159857
194246,167618,160542
194374,169817,167618
205717,172286,169817
207568,190722,172286
224242,192368,190722
224256,194246,192368
225540,194374,194246
225695,201354,194374
226445,205717,201354
226871,207568,205717
227072,209799,207568
227957,213955,209799
228821,223314,213955
229220,223576,215680
229233,224242,223314
229521,224256,223576
229524,224549,224242
229538,225540,224256
229563,225695,224549
229649,225927,224758
230033,226445,225030
230084,226631,225540
230306,226647,225695
231058,226742,225927
231071,226858,226445
231110,226859,226631
231237,226871,226647
231353,227072,226742
231402,227249,226858
231480,227271,226859
232221,227957,226864
232637,228131,226871
232719,228321,227072
232757,228808,227249
232898,228821,227271
233376,228835,227957
233400,229220,228131
233612,229233,228321
233899,229521,228344
234078,229524,228808
234294,229538,228821
234758,229563,228835
235270,229649,229220
235620,230033,229233
235773,230084,229521
236380,230158,229524
236389,230306,229538
236744,230486,229563
237550,231058,229649
237569,231071,230033
237748,231110,230084
237869,231237,230098
238453,231353,230158
238720,231402,230306
238935,231480,230486
239199,232221,231043
239760,232637,231058
240285,232719,231071
240431,232757,231110
240895,232898,231237
241344,233376,231353
241489,233400,231395
241612,233612,231402
241792,233871,231480
243141,233899,232221
243248,234064,232637
243368,234078,232719
243394,234133,232757
243717,234294,232898
243981,234442,233376
243982,234522,233400
244115,234531,233612
244375,234758,233871
244389,234796,233899
244665,235038,234064
245465,235059,234078
245624,235071,234133
246046,235259,234294
246174,235270,234442
246969,235504,234522
247129,235620,234531
247384,235757,234758
248324,235760,234796
250216,235773,235038
250727,235973,235059
251494,236380,235071
251810,236389,235259
251960,236564,235270
252148,236565,235504
253161,236744,235620
253884,236786,235707
254402,236984,235757
254933,237018,235760
254977,237190,235773
255309,237550,235973
255837,237569,236338
256167,237748,236380
257028,237869,236389
257044,238453,236564
257475,238712,236565
258047,238715,236742
258582,238720,236744
258633,238935,236786
258654,239027,236984
259650,239098,237018
259729,239190,237190
259776,239199,237550
259874,239266,237569
260681,239268,237748
261160,239398,237869
261314,239597,238453
261320,239760,238712
261440,240285,238715
261578,240431,238716
261726,240895,238720
261772,241344,238935
261809,241489,239027
263596,241612,239098
263725,241650,239190
263851,241776,239199
263913,241792,239266
264303,242032,239268
264654,242199,239398
264836,242455,239597
265102,242488,239759
265245,242667,239760
265403,242846,240285
265905,243141,240431
266257,243248,240895
266795,243269,241040
267211,243368,241344
267563,243394,241489
267570,243464,241612
267581,243717,241650
267762,243974,241776
268034,243981,241792
268061,243982,241931
268537,244115,242032
268912,244375,242065
269124,244389,242199
269129,244501,242455
269334,244665,242488
269646,245079,242667
269920,245465,242846
269923,245499,243141
269952,245624,243248
270077,245839,243269
270217,246027,243368
270233,246046,243394
270239,246174,243464
270244,246193,243717
270451,246677,243974
270563,246810,243981
270696,246817,243982
271098,246969,244115
271109,247126,244375
271500,247129,244376
271591,247384,244389
271725,248324,244501
271825,248815,244665
271982,250216,245079
272114,250404,245465
272130,250711,245499
272847,250727,245502
273366,250890,245624
273377,251494,245629
273556,251558,245839
273971,251674,246027
274218,251810,246046
274257,251960,246052
274941,252043,246174
275008,252148,246193
275258,252301,246677
275620,252313,246810
275622,252318,246817
275962,252718,246969
276226,253161,247126
276430,253640,247129
276441,253856,247384
276663,253873,247386
276828,253884,248324
277908,254394,248815
278163,254402,250216
278590,254404,250404
