Accuracy@1,Accuracy@5,Accuracy@10
109290,109290,109290
112337,112337,112337
116284,116284,116284
119085,119085,119085
122341,122341,122341
122772,122772,122772
126705,125437,125437
127308,126705,125651
131516,127308,126429
134190,128684,126705
136244,130043,127308
137478,130182,128684
140101,130854,130043
141690,131516,130182
143430,134190,130854
148993,136244,131516
155008,137478,134190
157445,139986,136244
158642,140101,137478
160242,141690,139986
161095,143430,140101
162140,148993,141690
16552,150626,143430
168226,154730,148993
168682,155008,150626
170161,157445,154730
170731,157506,155008
175069,158642,157445
178534,159176,157506
180392,160242,158642
181308,161095,159176
182122,161693,160242
182714,162140,161095
183602,165180,161693
184345,16552,162102
185216,168226,162140
185569,168682,165180
187762,168745,16552
188380,169997,168226
188652,170161,168682
188700,170731,168745
189490,175069,169997
189588,178534,170161
189752,180392,170731
190288,181308,175069
190610,181836,178534
190838,182122,180392
191684,182714,181308
191834,183602,181836
192633,184345,182122
193486,185216,182714
193600,185569,183602
19485,186025,184345
194917,186366,185216
194988,187762,185569
196691,188380,186025
198971,188652,186366
199127,188700,187762
199179,189490,188380
200376,189588,188652
201391,189752,188700
2035,190288,189490
204489,190610,189588
204837,190838,189752
206178,191684,190288
206179,191834,190610
207350,192633,190838
208103,193486,191684
208626,193600,191834
210491,194209,192633
211003,19485,193486
211350,194917,193600
211664,194988,194209
211933,196691,19485
212894,198283,194917
213139,198941,194988
213645,198971,196691
214392,199127,197787
214560,199179,198283
216483,199499,198941
218053,200316,198971
218054,200376,199127
218137,201391,199179
218249,202057,199499
218302,2035,200316
218467,203640,200376
218673,203950,201391
219273,204489,202057
219635,204837,2035
219930,206178,203640
219946,206179,203950
219958,207350,204489
220368,208103,204837
220423,208160,206178
220473,208392,206179
220546,208626,207350
220557,208910,208103
220582,210083,208160
220694,210491,208392
220697,210568,208626
220767,211003,208910
221222,211350,210083
221337,211433,210491
221416,211664,210568
221493,211933,211003
221528,212177,211350
221649,212894,211433
221768,213139,211664
221860,213448,211933
221914,213645,212177
221977,213848,212894
222153,214271,213139
222411,214392,213448
222627,214560,213645
222861,216483,213848
223056,216860,214271
223074,217801,214392
223116,218053,214560
223188,218054,216483
223299,218127,216860
223339,218137,217801
223405,218249,218053
223481,218302,218054
223653,218467,218127
223732,218673,218137
223843,218882,218249
223886,218884,218302
223995,219273,218467
224335,219386,218673
224341,219536,218882
224428,219635,218884
224451,219874,219273
224546,219913,219386
224568,219930,219536
224887,219946,219635
224951,219958,219874
225051,220368,219913
225190,220423,219930
225331,220473,219946
225425,220546,219958
225754,220557,220368
226124,220582,220423
226867,220662,220473
227023,220663,220546
227317,220694,220557
227983,220696,220582
228006,220697,220662
228120,220767,220663
228197,221222,220694
228204,221337,220696
228658,221416,220697
228786,221493,220766
228863,221521,220767
228890,221528,221222
229180,221649,221337
229240,221768,221416
229340,221860,221493
229386,221914,221521
229684,221977,221528
229807,222153,221649
229864,222375,221768
229983,222391,221860
230082,222411,221914
230179,222558,221977
230394,222627,222153
230449,222861,222375
230472,223056,222391
230879,223074,222411
231016,223116,222558
231103,223188,222627
231119,223299,222861
231163,223313,223056
231175,223339,223074
231182,223375,223116
231307,223405,223188
231327,223481,223299
231502,223649,223313
231505,223653,223339
231510,223732,223375
231555,223808,223405
231636,223843,223481
232048,223886,223649
232076,223995,223653
232489,224335,223732
232777,224341,223808
233285,224428,223843
233313,224451,223886
234228,224546,223995
234345,224568,224335
234372,224887,224341
235195,224921,224428
235354,224951,224451
235613,225051,224546
235819,225190,224568
236006,225331,224887
236612,225425,224921
237124,225754,224951
237163,226124,225051
237273,226217,225190
237884,226277,225331
238157,226342,225425
238162,226718,225754
238299,226867,225966
238397,227023,226124
238452,227107,226217
238738,227317,226277
238909,227617,226342
239945,227661,226718
240009,227721,226867
240135,227868,227023
240381,227983,227107
240574,228006,227317
241208,228120,227617
241277,228197,227661
242017,228204,227721
242225,228475,227868
242388,228658,227983
242421,228786,228006
242427,228863,228017
242446,228890,228120
242466,229084,228197
242765,229127,228204
