Accuracy@1,Accuracy@5,Accuracy@10
120375,120375,120375
122580,120739,120739
129525,122580,122580
129704,129525,129525
132591,129704,129704
133117,132591,132591
134371,133117,133117
135780,134371,134371
136585,135780,135780
136707,136585,136585
138286,136665,136665
138540,136707,136707
141956,138223,138223
142466,138286,138286
145086,138540,138540
145322,140357,140357
146546,141956,141956
147801,142466,142466
148388,144717,144717
148409,145086,145086
148786,145322,145322
148911,146546,146546
149908,147801,147801
150271,147845,147845
151673,148388,148007
151845,148409,148388
151938,148786,148409
151991,148911,148727
152161,148972,148786
152388,149908,148911
152589,150271,148972
152631,151673,149560
152835,151845,149908
152873,151938,150271
152979,151991,151182
155213,152161,151673
155238,152388,151845
155347,152589,151938
155972,152631,151991
158624,152835,152161
160167,152873,152366
160496,152979,152388
161217,153535,152589
161502,155148,152631
164288,155213,152835
165148,155238,152873
170102,155347,152979
171667,155972,153535
175039,158573,155148
184447,158624,155213
185447,160167,155238
186884,160496,155347
193348,161217,155972
203384,161502,158573
210848,164288,158624
220172,165148,160167
220430,170102,160496
220686,171667,161217
222437,175039,161502
222987,184447,163802
224962,185447,164288
227295,186884,165148
229829,193348,170102
230817,203384,171667
232712,206732,175039
233497,210848,184447
245734,220172,185447
246021,220430,186884
260751,220686,193348
261808,222437,203384
264563,222987,206732
264869,224962,210848
266602,227295,220172
266996,228633,220430
269578,229829,220686
269867,230817,222437
269902,232712,222987
269912,233497,224962
272591,238666,227295
274986,245734,228633
279120,246021,229829
280783,260751,230817
282379,261808,232712
287315,263837,233497
288198,264563,238666
289816,264869,244321
289818,266602,245734
297013,266996,246021
305788,269578,260751
308093,269867,261808
308386,269902,263837
309402,269912,264563
310144,270033,264869
310704,272591,266602
311910,274986,266996
317139,279120,269578
317743,280783,269840
318397,282379,269867
318899,285172,269902
320468,287315,269912
321641,288198,270033
323634,289816,272591
324135,289818,274986
324190,297013,279120
324804,305788,280783
340323,308093,282379
340806,308386,285172
349636,309402,287315
353349,310144,288198
353457,310704,289816
354022,311910,289818
354947,314130,297013
359332,314365,298786
368046,317139,305788
371684,317743,308093
371998,318397,308386
373195,318899,309402
374745,320468,310144
374964,321641,310704
376990,322832,311910
382189,323634,314130
387444,324135,314365
389456,324190,317139
389967,324804,317743
391123,340323,318397
391384,340806,318899
394234,348488,320468
404594,349636,321641
407017,349764,322832
408721,350855,323417
,352389,323634
,353100,324135
,353349,324190
,353457,324804
,354022,340323
,354947,340806
,359332,348488
,368046,349636
,371684,349764
,371998,350855
,373195,352389
,374745,353100
,374964,353349
,376990,353457
,382189,354022
,386049,354947
,387444,359332
,387718,368046
,389456,371684
,389750,371998
,389967,373195
,391123,374745
,391384,374964
,394234,376990
,398588,382189
,404594,386049
,404600,387444
,407017,387718
,408721,388971
,419279,389456
,,389750
,,389967
,,391123
,,391384
,,394234
,,398588
,,404594
,,404600
,,407017
,,408721
,,413378
,,418129
,,419279
