Accuracy@1,Accuracy@5,Accuracy@10
117675,117675,117675
169817,124950,124950
172286,141934,141934
190722,142136,142136
192368,158644,150243
194246,160542,158644
194374,167618,159857
205717,169817,160542
207568,172286,167618
209799,182066,169817
223576,184837,172286
224242,190722,182066
224256,192368,184837
225540,194246,190722
225695,194374,192368
226445,201354,194246
226871,205717,194374
227072,207568,201354
227271,209799,205717
227957,213955,207568
228808,223314,209799
228821,223576,213955
228835,224242,215680
229220,224256,223314
229233,224262,223576
229521,224549,224242
229524,224758,224256
229538,225511,224262
229563,225540,224549
229649,225695,224758
230033,225927,225030
230084,226445,225511
230306,226631,225540
230814,226647,225695
231058,226742,225927
231071,226858,226445
231110,226859,226631
231237,226871,226647
231353,227072,226742
231395,227249,226858
231402,227271,226859
231480,227957,226864
232221,228131,226871
232637,228321,227072
232719,228344,227249
232757,228604,227271
232894,228808,227951
232898,228821,227957
233157,228835,228131
233376,229220,228321
233400,229233,228344
233612,229521,228604
233899,229524,228808
234078,229538,228821
234294,229563,228835
234758,229649,229220
235259,230033,229233
235270,230084,229521
235620,230158,229524
235749,230306,229538
235773,230486,229554
236380,230814,229563
236389,231043,229649
236744,231058,230033
237550,231071,230084
237569,231110,230098
237748,231237,230158
237869,231353,230306
238453,231395,230486
238720,231402,230814
238935,231480,231043
239027,232221,231058
239199,232439,231071
239760,232637,231110
239920,232719,231237
240285,232757,231353
240431,232894,231395
240895,232898,231402
241344,233131,231480
241489,233157,232221
241612,233376,232439
241650,233400,232637
241792,233612,232719
242455,233871,232757
243141,233899,232894
243248,234064,232898
243368,234078,233131
243394,234133,233157
243717,234294,233376
243981,234442,233400
243982,234522,233612
244115,234531,233871
244375,234758,233899
244389,234796,234064
244501,235038,234078
244665,235059,234133
244916,235071,234294
245465,235080,234442
245624,235259,234522
245629,235270,234531
245812,235504,234758
246027,235544,234796
246046,235620,235038
246174,235749,235050
246969,235757,235059
247129,235760,235071
247384,235773,235080
248324,235973,235259
248817,236190,235270
250216,236380,235504
250223,236384,235544
250727,236389,235620
251048,236564,235707
251494,236565,235749
251810,236742,235757
251960,236744,235760
252043,236786,235773
252148,236984,235957
252318,237018,235964
253161,237190,235973
253640,237427,236018
253873,237550,236190
253884,237569,236338
254402,237582,236380
254933,237748,236384
254977,237869,236389
254979,238453,236560
255309,238712,236564
255837,238715,236565
256167,238720,236742
257028,238935,236744
257044,239027,236786
257475,239070,236984
258047,239098,237018
258388,239190,237019
258394,239199,237190
258582,239266,237427
258585,239268,237550
258633,239398,237569
258654,239546,237582
258898,239597,237748
259548,239760,237869
259650,239920,238453
259729,240285,238712
259776,240431,238715
259874,240624,238716
260249,240895,238720
260681,241040,238935
260818,241344,239027
261160,241489,239070
261314,241612,239098
261320,241650,239190
261440,241776,239199
261578,241792,239266
261726,241949,239268
261772,242032,239398
261809,242199,239546
263596,242455,239597
263725,242488,239759
263851,242667,239760
263913,242846,239920
264303,243141,240285
264654,243248,240431
264836,243269,240624
264975,243368,240895
265102,243394,241040
265244,243464,241344
265245,243717,241489
265403,243974,241612
265782,243981,241650
265905,243982,241776
266257,244115,241792
266795,244276,241931
267211,244326,241949
267563,244375,242032
267570,244376,242065
267581,244389,242199
267762,244501,242455
268034,244665,242488
268061,244916,242667
268491,245079,242846
268537,245333,243141
268912,245465,243248
268916,245499,243269
269124,245510,243368
269129,245624,243394
269334,245629,243464
269639,245812,243541
269646,245839,243717
