Accuracy@1,Accuracy@5,Accuracy@10
109290,109290,102885
112337,112337,109290
116284,116284,112337
119085,119085,116284
122341,122341,119085
122772,122772,122341
126429,125437,122772
126705,126429,125437
127308,126705,125651
128684,127308,126429
130182,128684,126705
131516,130043,127308
134190,130182,128684
136244,130854,130043
137478,131516,130182
139528,134190,130854
140101,136244,131516
140425,136337,134190
141690,137478,135971
143430,139528,136244
148993,139986,136337
150626,140101,137478
155008,140425,139528
155273,141690,139986
157445,143430,140101
157506,148993,140425
158642,150626,141690
160242,154730,143430
161095,155008,148993
162102,155273,150626
162140,157445,154730
165180,157506,155008
16552,158642,155273
168226,159176,157445
168524,160242,157506
168682,161095,158642
169997,161693,159176
170161,162102,160242
170731,162140,161095
175069,165180,161693
178534,16552,162102
180392,168226,162140
181308,168524,165180
182122,168682,16552
182714,168745,168226
183602,169997,168524
184345,170161,168682
185216,170731,168745
185569,174481,169997
187762,175069,170161
188380,178534,170731
188652,180392,174481
188700,181308,175069
189490,181836,178534
189588,182122,180392
189752,182714,181308
190288,183602,181836
190610,184345,182122
190838,185216,182714
191684,185569,183602
191834,186025,184345
192633,186366,185216
193486,187762,185569
193600,188380,186025
194209,188652,186366
19485,188700,187762
194917,189490,188380
194988,189588,188652
196691,189752,188700
198971,190288,189490
199127,190610,189588
199179,190838,189752
200376,191684,190288
201391,191834,190610
2035,192633,190838
204489,193486,191684
204837,193600,191834
205731,194209,192633
206178,19485,193034
206179,194917,193486
207350,194988,193600
208103,196691,194209
208392,198283,19485
208626,198941,194917
210491,198971,194988
210568,199127,196691
211003,199179,197787
211350,199499,198283
211664,200316,198941
211933,200376,198971
212894,201391,199127
213139,202057,199179
213645,202297,199364
214392,203154,199499
214560,2035,200316
216483,203640,200376
216860,203950,201391
217801,204489,202057
218053,204837,202297
218054,205731,203154
218137,206178,2035
218249,206179,203640
218302,207350,203950
218467,208103,204489
218673,208160,204837
219273,208392,205731
219635,208626,206178
219913,208804,206179
219930,208910,207350
219946,208934,208103
219958,210083,208160
220368,210491,208392
220423,210568,208626
220473,211003,208804
220546,211350,208910
220557,211433,208934
220582,211664,210083
220694,211933,210491
220697,212177,210568
220767,212894,211003
221222,213139,211350
221337,213448,211433
221416,213645,211664
221493,213848,211933
221521,214271,212177
221528,214392,212894
221649,214560,213139
221768,214919,213448
221860,216483,213504
221914,216860,213645
221977,217801,213848
222153,218053,214271
222411,218054,214392
222627,218127,214560
222861,218137,214919
223056,218249,215543
223074,218302,216483
223116,218467,216860
223188,218540,217801
223299,218673,218053
223339,218882,218054
223405,218884,218127
223481,219273,218137
223653,219386,218249
223732,219536,218302
223843,219635,218467
223886,219874,218540
223995,219913,218673
224335,219930,218882
224341,219946,218884
224428,219958,219273
224451,220368,219386
224546,220423,219536
224568,220473,219635
224887,220546,219874
224951,220557,219913
225051,220582,219930
225190,220662,219946
225331,220663,219958
225425,220694,220368
225754,220696,220423
226124,220697,220473
226217,220767,220546
226342,221222,220557
226867,221337,220582
227023,221416,220662
227317,221493,220663
227617,221521,220694
227661,221528,220696
227983,221649,220697
228006,221662,220766
228120,221768,220767
228197,221860,221222
228204,221914,221337
228658,221977,221416
228786,222153,221493
228863,222375,221521
228890,222391,221528
229084,222397,221649
229180,222411,221662
229240,222558,221768
229340,222627,221860
229386,222861,221914
229684,223056,221977
229719,223074,222153
229807,223108,222375
229864,223116,222391
229983,223188,222397
230082,223246,222411
230179,223299,222558
230349,223313,222627
230360,223339,222861
230394,223375,223056
230449,223405,223074
230472,223481,223108
230879,223649,223116
230903,223653,223188
231016,223732,223246
231103,223808,223299
231119,223843,223313
231163,223846,223339
231175,223886,223375
231182,223995,223405
231307,224335,223481
231327,224341,223649
231341,224428,223653
231502,224451,223732
231505,224546,223790
231510,224568,223808
231555,224571,223843
231636,224861,223846
232048,224887,223886
232076,224921,223995
232489,224951,224335
232777,225051,224341
232997,225190,224428
233285,225331,224451
233313,225425,224546
234228,225754,224566
234345,226124,224568
234372,226217,224571
235195,226277,224861
235354,226342,224887
235613,226718,224921
235819,226867,224951
236006,227023,225051
236612,227107,225190
236628,227317,225331
236795,227617,225425
237124,227661,225754
237163,227721,225966
237273,227868,226124
237884,227982,226217
238157,227983,226277
238162,228006,226342
238299,228120,226718
238397,228197,226867
238452,228204,227023
238738,228475,227107
