Accuracy@1,Accuracy@5,Accuracy@10
100100,100100,100100
100244,100244,100244
100593,100593,100593
100763,100763,100763
100963,100963,100963
102236,101225,101225
102590,101623,101623
103450,102020,102020
105668,102236,102236
105738,102281,102281
105761,102590,102590
10694,103450,103450
107621,104021,104021
107923,104941,104941
108030,105668,105651
108065,105738,105668
108121,105743,105738
109145,105761,105743
110589,106228,105761
110774,10694,106228
111441,107587,10694
112921,107621,107373
113247,107923,107509
113673,108030,107587
115526,108065,107621
117694,108102,107923
117960,108121,107924
119181,108247,108030
119251,109145,108065
120223,109280,108102
120269,110015,108121
120432,110589,108247
120561,110599,109145
120658,110774,109280
124182,111441,110015
125326,112921,110589
126342,113247,110599
127659,113592,110774
127665,113673,111441
127799,114499,112921
128990,114582,113247
129547,115524,113592
129725,115526,113673
130472,117694,114499
130725,117960,114582
130890,119181,115524
130922,119251,115526
131073,120223,117053
133191,120269,117694
133481,120432,117960
133518,120561,119181
133525,120615,119251
133530,120658,120223
133609,123356,120269
133834,124182,120432
133888,125326,120561
134536,126342,120615
134736,126351,120658
134741,127659,123356
134985,127665,124182
135053,127799,125296
135061,128843,125326
135168,128990,125504
135278,129336,126342
135326,129547,126351
135515,129588,127659
135526,129725,127665
135550,129929,127799
135565,130472,128843
135612,130530,128990
135816,130725,129336
135824,130890,129547
135841,130922,129588
135884,131073,129725
136312,131284,129929
136353,132827,130472
136598,133191,130530
137114,133277,130725
137167,133355,130890
137244,133481,130922
137427,133486,131073
137474,133489,131284
137688,133518,132121
137732,133525,132827
137756,133530,133191
138088,133555,133277
138323,133609,133355
138325,133618,133481
138566,133731,133486
138628,133810,133489
138767,133834,133517
138855,133888,133518
138875,133891,133525
138880,133925,133530
138888,134257,133555
138910,134523,133609
138937,134536,133618
138943,134676,133731
138944,134713,133810
139000,134736,133834
139140,134739,133888
139145,134741,133891
139158,134742,133925
139170,134930,134257
139197,134985,134523
139668,135053,134536
139675,135061,134676
139677,135091,134713
139694,135112,134736
139706,135122,134739
139732,135168,134741
139741,135278,134742
139818,135298,134930
139822,135326,134985
139889,135500,135053
139899,135515,135061
139915,135526,135091
139938,135550,135112
140080,135565,135122
140111,135612,135168
140164,135816,135278
140167,135824,135298
140183,135841,135326
140214,135884,135500
140289,136312,135515
140291,136353,135526
140292,136598,135550
140465,136618,135565
140548,137114,135612
140553,137167,135697
140777,137172,135816
141253,137204,135824
141277,137244,135841
141400,137427,135884
141492,137474,136312
141501,137688,136353
141517,137732,136598
141906,137756,136618
142508,137954,136915
143025,137964,137114
