Accuracy@1,Accuracy@5,Accuracy@10
108792,107337,107337
113342,108792,108792
118049,113342,113342
119192,116892,116892
127971,118049,118049
128804,119192,119192
130470,127971,125866
136515,128804,127971
142490,130470,128804
142593,136515,130470
148094,142490,136515
148532,142593,142490
150870,143358,142593
153365,148094,143358
154904,148532,145890
158243,150870,148094
164437,153365,148532
169839,153432,150870
174014,154904,153365
175821,158243,153432
177368,164437,154904
182914,169839,158243
185202,173888,164437
185204,174014,169839
188372,175821,173888
192646,177368,174014
196676,180176,175821
197238,182914,177368
199964,185202,180176
201774,185204,181864
202414,185934,182914
207909,187036,185202
210443,188320,185204
210451,188372,185934
211181,192646,187036
211202,196676,188320
211696,197238,188372
211983,199964,188440
212594,201774,192646
213050,202414,196676
213185,207909,196884
214381,210443,197238
214807,210451,199964
217378,210854,201774
218929,210988,202414
219437,211048,204582
219558,211181,207909
219641,211202,210443
220471,211536,210451
221411,211696,210854
222783,211983,210988
222791,212594,211048
223015,212991,211181
223512,213050,211202
224941,213185,211536
225266,214381,211696
225329,214807,211983
225401,217378,212594
225404,218562,212991
225593,218929,213050
225677,219437,213185
225997,219558,214381
226022,219641,214503
226229,220465,214807
226363,220471,216919
226369,220642,217378
228287,221268,218562
228770,221411,218929
228968,222783,219305
229181,222791,219437
229377,223015,219558
229776,223512,219641
229841,223926,220465
230071,224122,220471
230120,224462,220642
230489,224941,221268
231776,225266,221411
231877,225329,222783
231884,225401,222791
232093,225404,222863
232163,225593,223015
232475,225677,223512
232617,225946,223926
232965,225975,224122
233351,225997,224462
233485,226007,224941
233638,226016,225266
233844,226022,225329
233969,226090,225401
234119,226229,225404
234271,226363,225440
234437,226369,225593
234732,227974,225677
235219,228282,225946
235329,228287,225973
235617,228695,225975
235806,228770,225997
235847,228968,226007
236312,229172,226016
236419,229181,226022
236630,229377,226090
236669,229520,226229
236689,229680,226363
236724,229776,226369
236808,229841,226973
237138,230071,227914
237432,230120,227965
237517,230489,227974
237986,230912,228282
238847,231606,228287
239220,231776,228695
239965,231787,228770
240817,231877,228968
241062,231882,229172
241380,231884,229181
241443,231925,229377
241490,232093,229520
241720,232163,229570
242003,232475,229680
242030,232499,229776
242263,232617,229841
242388,232685,230071
242414,232686,230120
242484,232689,230489
242716,232965,230912
242838,233099,231009
243012,233303,231192
243037,233351,231449
243232,233485,231606
243558,233595,231776
244108,233598,231787
244318,233638,231877
244472,233844,231882
244574,233867,231884
244931,233969,231925
245185,234119,232093
245278,234240,232163
245388,234271,232475
245523,234433,232499
246274,234437,232617
246505,234732,232685
246541,234823,232686
247069,235219,232688
247083,235324,232689
247216,235329,232965
247237,235348,233099
247444,235554,233303
247557,235617,233351
247558,235806,233485
247649,235847,233595
248167,236312,233598
248187,236419,233638
248266,236630,233844
248551,236669,233867
248731,236689,233969
248921,236724,234119
249003,236808,234240
249286,236937,234271
249608,237138,234433
249880,237432,234437
250172,237517,234732
250179,237675,234823
250782,237986,235219
250976,238149,235324
251084,238847,235329
251270,239220,235348
251442,239231,235554
251583,239482,235617
252245,239965,235806
252251,240033,235847
252422,240142,236312
252424,240190,236419
252464,240817,236630
252747,241062,236634
252749,241144,236669
253056,241380,236689
253057,241443,236724
253058,241490,236808
253189,241671,236937
253214,241720,237138
253254,242003,237432
253265,242030,237517
253294,242263,237675
253673,242388,237986
253720,242414,238149
254607,242484,238847
254861,242603,239141
255000,242716,239220
255282,242838,239231
256159,243012,239477
256169,243037,239482
256173,243232,239965
256346,243529,240033
256476,243558,240142
256719,243894,240190
256770,244108,240817
256825,244234,241062
256845,244318,241144
256870,244396,241380
256919,244472,241443
257056,244574,241490
257188,244931,241671
257237,245185,241720
257238,245278,242003
257534,245379,242030
257614,245388,242263
257967,245523,242388
258134,245590,242414
258309,245783,242484
258727,246274,242603
258970,246505,242716
258975,246541,242838
258978,247069,243012
259003,247083,243037
259141,247216,243232
259295,247237,243529
259910,247290,243558
260076,247318,243894
260123,247444,244072
260407,247557,244108
260761,247558,244234
261228,247649,244318
261354,247667,244396
261576,247728,244472
261854,248167,244574
262117,248187,244597
262651,248266,244931
262767,248467,245185
262925,248551,245278
262939,248731,245379
262984,248796,245388
263518,248921,245523
263529,249001,245590
263589,249003,245783
263603,249210,246235
263620,249286,246274
263971,249608,246505
263999,249880,246541
264003,250172,247069
264425,250179,247083
264560,250193,247216
264762,250622,247237
265481,250782,247290
265947,250859,247318
265991,250976,247444
266407,251007,247549
266475,251084,247557
266499,251270,247558
266516,251442,247649
266974,251583,247667
267103,251603,247676
267126,251779,247728
267270,252064,247866
267466,252245,248167
267468,252251,248187
267752,252416,248266
267886,252422,248467
267895,252424,248551
268303,252427,248731
268307,252460,248735
268389,252464,248796
268503,252678,248921
268529,252747,248950
268543,252749,249001
268613,252903,249003
268651,253056,249210
268787,253057,249286
268789,253058,249517
269305,253189,249608
269413,253214,249880
269533,253227,250172
269599,253229,250178
270177,253254,250179
270316,253259,250193
270406,253265,250327
270490,253294,250443
270495,253673,250575
270531,253720,250622
270654,253745,250782
270663,253964,250859
270670,254497,250976
270676,254607,251007
270861,254797,251012
270880,254808,251084
271017,254861,251128
271029,254865,251149
271179,254947,251270
271384,255000,251442
271634,255282,251454
271765,255403,251469
271904,255730,251516
272259,255821,251583
272331,256159,251603
272412,256169,251607
272631,256170,251618
272833,256173,251762
272834,256327,251779
273099,256346,252064
273117,256476,252245
273521,256685,252251
273631,256687,252388
273678,256688,252416
273850,256719,252418
274001,256770,252422
274022,256825,252424
274169,256845,252427
274274,256870,252460
274295,256919,252464
274432,257007,252678
274890,257056,252679
274931,257188,252747
275071,257237,252749
275159,257238,252895
275207,257442,252903
275484,257534,253056
275617,257582,253057
275681,257614,253058
275900,257967,253075
275913,258110,253189
275979,258134,253214
276110,258309,253217
276178,258391,253225
276346,258727,253227
276485,258970,253229
276506,258975,253254
276516,258978,253259
276531,258992,253265
276564,259003,253294
276760,259141,253673
276826,259295,253720
276854,259379,253745
276892,259687,253964
277072,259910,254497
277175,260076,254607
277268,260123,254797
277315,260277,254808
277355,260407,254861
277356,260514,254865
277437,260761,254947
277438,260870,255000
277442,261052,255282
277539,261099,255373
277567,261206,255398
277668,261228,255403
277714,261354,255658
278081,261576,255730
278370,261854,255821
278376,262117,256159
278413,262651,256169
278780,262767,256170
278944,262888,256173
278959,262925,256327
278981,262939,256346
279013,262955,256350
279052,262981,256476
279273,262984,256685
279313,263518,256687
279356,263529,256688
279408,263589,256719
279441,263603,256770
279454,263620,256825
279501,263664,256845
279712,263677,256870
279877,263971,256919
279917,263999,256940
280005,264003,257007
280277,264019,257056
280569,264212,257088
280708,264399,257188
281352,264425,257237
281383,264553,257238
281695,264560,257442
281725,264703,257534
281912,264762,257582
282441,265393,257614
283313,265427,257967
283688,265481,258110
284028,265947,258134
284858,265991,258159
285641,266344,258309
285656,266407,258391
286040,266475,258727
286063,266499,258970
286687,266516,258975
287119,266828,258978
287149,266974,258992
287307,267103,259003
288468,267126,259141
288474,267174,259295
288480,267270,259379
288669,267466,259687
288824,267468,259910
289244,267507,260076
289401,267516,260123
289467,267680,260273
289752,267717,260277
290125,267752,260291
290204,267886,260364
290240,267895,260407
290320,268303,260514
290373,268307,260585
290397,268389,260761
290635,268410,260870
290759,268503,261052
291030,268529,261099
291209,268543,261206
291229,268613,261228
291253,268649,261354
291354,268651,261576
291486,268787,261732
291724,268789,261854
291749,269305,262117
292187,269413,262346
292665,269506,262651
293490,269533,262767
293931,269599,262888
293932,269950,262925
294171,270140,262939
294335,270177,262955
294368,270179,262981
294860,270316,262984
295368,270406,263518
295483,270490,263529
295513,270495,263563
295774,270531,263589
295856,270654,263603
295959,270663,263620
296284,270670,263664
297186,270676,263677
297477,270861,263967
297480,270880,263971
297605,27096,263999
297823,271017,264003
297911,271027,264019
298435,271029,264212
298473,271179,264399
298612,271298,264425
298744,271384,264553
298942,271634,264560
299094,271765,264703
299241,271904,264705
299302,272046,264762
300620,272259,265393
300641,272331,265427
301018,272412,265481
301863,272631,265947
302053,272710,265991
302861,272833,266172
302950,272834,266344
304093,272868,266385
304606,273099,266407
304802,273117,266475
305070,273280,266499
305095,273492,266516
305096,273521,266625
305294,273570,266828
305332,273631,266974
305335,273678,267103
305433,273850,267126
