Accuracy@1,Accuracy@5,Accuracy@10
38216,38216,38216
41673,41673,41673
42181,41709,41709
46727,42181,42181
49683,46727,45995
50570,49595,46727
50860,49683,49595
51237,50570,49683
51509,50860,50570
51518,50864,50860
51526,51237,50864
51545,51408,51056
51557,51503,51237
51558,51509,51408
51580,51518,51503
51586,51526,51509
51588,51545,51518
51615,51555,51526
51641,51557,51532
51644,51558,51545
51650,51580,51555
51654,51586,51557
51658,51588,51558
51687,51614,51580
51688,51615,51586
51698,51640,51588
51704,51641,51614
51712,51644,51615
51736,51650,51640
51794,51654,51641
51811,51658,51644
51852,51687,51650
51893,51688,51654
51905,51698,51658
51910,51704,51687
51952,51712,51688
51956,51713,51698
51972,51736,51704
52009,51794,51712
52028,51811,51713
52066,51852,51736
52113,51860,51794
52135,51893,51811
52173,51905,51852
52208,51910,51860
52213,51952,51872
52225,51956,51893
52245,51972,51905
52293,52009,51910
52303,52028,51952
52316,52051,51956
52321,52066,51972
52326,52092,52009
52354,52113,52028
52356,52135,52051
52384,52156,52066
52387,52173,52092
52443,52208,52113
52445,52213,52135
52461,52225,52156
52511,52245,52173
52543,52293,52208
52547,52303,52213
52558,52316,52225
52577,52321,52245
52606,52326,52293
52607,52328,52303
52666,52354,52316
52669,52356,52321
52719,52384,52326
52723,52387,52328
52724,52443,52354
52725,52444,52356
52726,52445,52384
52727,52461,52387
52729,52474,52443
52731,52511,52444
52732,52543,52445
52758,52547,52461
52760,52558,52474
52770,52577,52511
52772,52591,52543
52776,52606,52547
52804,52607,52558
52850,52666,52577
52926,52669,52591
52954,52671,52606
52955,52719,52607
52957,52723,52666
52974,52724,52669
52998,52725,52671
53008,52726,52719
53032,52727,52723
53056,52729,52724
53063,52731,52725
53067,52732,52726
53074,52758,52727
53081,52760,52729
53180,52767,52731
53230,52770,52732
53254,52772,52758
53266,52776,52760
53301,52804,52767
53322,52846,52770
53337,52850,52772
53339,52926,52776
53367,52954,52804
53373,52955,52846
53374,52957,52850
53398,52974,52926
53416,52998,52954
53421,53008,52955
53430,53032,52957
53445,53056,52974
53450,53063,52998
53460,53067,53008
