Accuracy@1,Accuracy@5,Accuracy@10
224502,224502,224502
226445,226445,226445
230033,228372,228372
201354,230033,229524
236389,228835,230033
234531,234442,228835
243717,234758,234442
247126,232824,234758
248324,235275,232824
257475,235551,235275
251674,237182,235551
261447,234294,237182
264836,201354,234294
267120,236389,201354
275430,240431,236389
159857,236565,240431
269124,240624,241040
284367,244115,236565
288655,234531,240624
292286,232722,244115
305851,243394,234531
229538,243717,232722
312761,247126,243394
375600,248324,243717
414088,251494,244389
,247384,247126
,257475,248324
,258585,251494
,184837,247384
,259904,254977
,251674,257475
,260496,258585
,261447,184837
,264836,258654
,265403,259904
,267577,251674
,267581,260496
,268034,259874
,269134,261447
,267120,263913
,270909,264836
,271394,265403
,271825,267577
,275008,267581
,275430,268034
,159857,259612
,276216,269134
,277439,267120
,269124,269952
,278714,270909
,279026,271394
,280557,271825
,284703,237427
,286750,275008
,284367,275430
,287102,159857
,287642,276216
,285851,276430
,288655,277439
,292286,269124
,294837,278714
,299617,278603
,301397,279589
,305851,279026
,270189,280557
,229538,282846
,304319,284379
,312761,284703
,319902,286761
,336767,286750
,375600,284367
,414088,238453
,375294,287102
,,287642
,,285851
,,288655
,,292286
,,281865
,,294837
,,296645
,,299617
,,301397
,,305851
,,311264
,,270189
,,312006
,,229538
,,304319
,,312761
,,316674
,,319902
,,336767
,,375600
,,361443
,,414088
,,375294
