Accuracy@1,Accuracy@5,Accuracy@10
219386,219386,219386
220423,220423,220423
187762,187762,220582
212177,220663,187762
221493,212177,220663
221649,220546,220473
218467,221337,212177
222861,221493,220546
209699,222411,221337
223732,221649,221493
223995,218467,222411
223299,220696,221649
218054,222861,218467
224951,209699,220696
214560,223481,222861
228204,223732,209699
229180,224451,220767
229807,223995,223481
228890,9262,223732
230879,206179,223808
231119,206178,224428
231163,127308,224451
237884,226305,224571
237273,223188,223995
245761,223299,9262
249435,218054,206179
249378,224951,206178
251568,214560,127308
242225,216483,226305
252487,228204,200376
252940,225190,226124
192633,229180,223188
250136,229807,223299
250133,228890,218054
189752,230879,224951
254547,231119,214560
254673,231163,216483
242789,237884,228204
182714,237163,225190
256801,237273,223405
256556,242017,229180
258833,238909,229807
231327,245761,228890
261037,249435,230879
250198,249378,231119
220557,244145,231163
250807,247945,210491
238299,84107,237884
256764,251568,237163
261852,251995,237273
264574,180392,241277
265721,242225,233313
266391,252487,242017
266659,230394,238909
57762,252940,245761
162102,192633,249435
256656,250136,249378
269711,250133,242832
267408,251517,244145
270989,189752,247945
271823,232076,84107
112337,254547,251568
272583,254673,251257
155008,242789,251995
224341,254492,180392
274618,182714,242225
270795,49316,243347
277230,256801,252487
278243,256556,230394
278829,257790,252940
279849,258833,192633
282717,231327,250136
283178,211350,250133
283876,260649,251517
184345,261037,189752
286678,250198,232076
271501,220557,254547
286542,250807,254673
283551,259536,242789
211664,238299,254492
292170,256764,181308
262022,248752,182714
289409,261852,250651
58474,262962,49316
60574,263207,256801
295391,263413,256556
294462,255734,257790
298130,263544,257752
299340,261865,258826
296748,185569,258833
296691,254984,231327
301362,264574,211350
300862,265214,24521
301895,265440,260649
297054,265204,261037
303305,265721,250198
295981,266391,247294
300855,266659,220557
301841,57762,250807
304501,266699,259536
292813,266769,238299
304929,255136,256764
304751,266146,248752
304393,162102,256422
305542,243165,261852
271956,183602,262962
306545,256656,263207
305707,232777,263413
273436,259952,255734
212894,264650,263544
293841,218127,261865
311722,198971,185569
310446,267560,263856
313432,260664,263927
315481,269711,264065
315586,267408,254984
316298,270989,264574
317803,270774,265214
319050,271799,265647
325837,271823,265440
327788,263090,265204
328367,112337,266204
323528,266970,265721
300372,273012,266391
320788,194917,266659
325852,272583,57762
