Accuracy@1,Accuracy@5,Accuracy@10
91108,91108,91108
138088,107621,107621
145784,138088,135565
98069,128843,137167
140214,133609,138088
150989,139889,128843
153068,140080,138943
157767,129725,138937
147941,143481,133609
162890,145784,139889
163454,98069,140080
142508,140214,129725
168209,149440,143481
170061,149496,145784
174275,150989,98069
22243,151404,140214
193729,132827,149440
193969,153068,140416
153689,153299,149496
198408,156352,150989
200698,157767,143073
215965,157772,151404
215810,147941,132827
223818,149467,138910
228146,161910,153068
239144,162530,153299
249549,162890,154534
251693,163454,156352
256532,164472,73401
267901,164779,157203
272836,64307,157767
283304,70728,157772
286845,142508,147941
250944,165646,149467
260531,168209,161910
296784,152176,162530
316269,168847,162890
345429,169831,163454
361559,171359,164472
369319,170061,164779
106228,175180,64307
376882,179018,70728
420188,173079,96910
,181941,89107
,175244,142508
,174275,165646
,162541,168209
,173189,152176
,22243,168847
,186275,169831
,188915,170197
,169407,171359
,193729,171058
,193969,170061
,70410,175180
,153689,178440
,198408,179018
,176017,87522
,200698,173079
,200801,181941
,189882,182341
,201085,58779
,201415,175244
,203941,68357
,205600,174275
,204289,162541
,215965,173189
,215810,22243
,218509,185069
,223818,186275
,204207,188915
,228146,169407
,227342,193729
,229052,194574
,35385,193969
,238226,70410
,239144,153689
,249549,188864
,250663,198408
,251693,199055
,256532,176017
,256577,199733
,88265,200698
,264143,200801
,239695,189882
,264321,201085
,255932,201415
,267901,202245
,272836,203941
,283304,205309
,286845,205600
,250944,75800
,260531,206617
,293428,204289
,294833,83258
,296439,210940
,296784,211808
,300805,212201
,303794,215965
,283427,215810
,308672,217806
,310470,218509
,261498,219607
,318010,221467
,324995,133731
,331551,223818
,316269,224183
,341976,223686
,296786,226261
,345429,204207
,346007,228146
,343584,227342
,361559,229052
,369319,219335
,71406,35385
,106228,232015
,348758,232828
,376779,238226
,379086,239144
,376882,243533
,384543,243163
,337086,249549
,420188,250663
,,251629
,,251693
,,256532
,,256574
,,256577
,,88265
,,261100
,,264143
,,264747
,,239695
,,266085
,,264321
,,266442
,,255932
,,267901
,,267358
,,272836
,,266962
,,274833
,,97228
,,283304
,,286845
,,278844
,,288242
,,250944
,,290491
,,282755
,,260531
,,293428
,,294833
,,295230
,,296439
,,295629
,,296784
,,300805
,,303794
,,283427
,,297566
,,314585
,,317066
,,308672
,,310470
,,318607
,,318772
,,321574
,,261498
,,318010
,,324995
,,21417
,,325221
,,331551
,,316269
,,341976
,,296786
,,345429
,,346007
,,343584
,,355830
,,356363
,,361559
,,369319
,,71406
,,106228
,,348758
,,376381
,,376779
,,372516
,,379086
,,376882
,,384543
,,337086
,,394692
,,395989
,,420188
