Accuracy@1,Accuracy@5,Accuracy@10
125866,221411,221411
217378,125866,125866
236312,231009,231009
242003,231884,231884
242603,217378,217378
257614,235806,235806
257534,239220,239220
258975,236312,236312
262939,241490,211536
263062,242003,241490
268543,242484,242003
253214,242603,242484
266974,243037,242603
274295,241062,243037
275484,251442,241062
276564,257056,196884
278413,257614,248167
278981,257534,251442
283313,258975,249003
291229,262939,247558
292321,263062,252460
260407,247444,253240
299436,263971,252388
305070,264425,254607
308500,265947,257056
310083,268543,257614
311129,253214,257534
311974,268732,257967
312097,268853,258975
314914,136515,245783
329058,266974,259003
275071,273117,261099
344591,274295,262939
344487,274274,263062
293932,254861,247444
362999,275484,262955
366989,276506,263971
96320,276564,262968
368290,278413,264425
368757,245572,266828
372760,278981,265947
333972,283313,236630
373794,273850,268543
368629,142490,253214
384381,287149,268732
379792,275070,253217
391413,288506,268853
391050,291229,269106
393856,292321,136515
404776,72872,266974
408608,260407,273117
411058,185202,274295
,299436,274188
,299302,274274
,300641,254861
,298435,270316
,305070,275484
,305230,276506
,308500,276564
,310083,278413
,311129,279501
,311302,277474
,311303,245572
,311974,278981
,312097,283313
,312722,273850
,314079,278944
,313711,268789
,314914,142490
,243529,287149
,326672,281695
,329058,287307
,333086,275070
,334723,288506
,335382,289401
,335134,291229
,337263,291354
,275071,292321
,329456,72872
,333759,260407
,342279,294368
,342648,295368
,344591,185202
,344487,299436
,349978,299302
,293932,293931
,362999,300641
,275159,298435
,360872,305070
,364761,304093
,366989,305704
,367120,305230
,96320,294737
,344401,212594
,368290,308500
,368757,310083
,355341,311129
,372760,305433
,333972,311302
,373794,311303
,375830,311974
,377155,312097
,368629,312722
,379005,314079
,384381,313711
,386594,313594
,385070,314914
,386260,320484
,379792,243529
,378383,312960
,391413,325153
,391050,326672
,365934,150870
,392785,329058
,393856,333086
,395411,319188
,404776,334723
,408608,335382
,407270,335134
,411058,337263
,409239,275071
,339754,338448
,,329456
,,333759
,,336379
,,342279
,,342648
,,344591
,,344487
,,356476
,,331948
,,349978
,,293932
,,362999
,,275159
,,360872
,,362246
,,364761
,,366989
,,367120
,,96320
,,344401
,,368290
,,358022
,,368757
,,355341
,,372760
,,333972
,,373794
,,375830
,,377155
,,99718
,,378344
,,368629
,,379005
,,380730
,,383074
,,384381
,,386594
,,385070
,,385939
,,386260
,,387980
,,379792
,,382175
,,378383
,,391413
,,391892
,,391050
,,365934
,,390041
,,392785
,,389910
,,393729
,,393856
,,395411
,,404776
,,405244
,,392774
,,408608
,,408298
,,407270
,,411058
,,409239
,,413331
,,414134
,,425516
,,339754
,,425999
