Accuracy@1,Accuracy@5,Accuracy@10
51641,51518,51518
51650,51056,51056
51654,51555,41709
51712,51641,51555
51739,51650,51615
51860,51654,51641
51956,51658,41673
52321,51704,51650
52293,51712,51654
52461,51739,51658
52577,51794,51704
52846,51687,51712
52770,51852,51739
52772,51860,51794
52957,51905,51687
52974,51956,51852
52998,52321,51860
53081,52293,51905
53230,52326,51956
53421,52387,52009
53445,52461,52051
53523,51408,52173
53606,52577,52208
53641,52669,52321
53758,52758,52293
53713,52729,52354
54045,52732,52303
54068,52846,52316
54198,52770,52326
54536,52772,52387
54628,52719,52443
54961,52723,52461
54963,52926,51408
53777,51893,52543
55291,50860,52577
55354,52957,52607
55434,52974,52669
55343,52998,52758
55974,53056,52729
,53254,52732
,53081,52846
,53230,52767
,53367,52770
,53406,52772
,53421,52719
,53445,52723
,53467,52926
,53523,51893
,53535,50860
,53606,52957
,53607,52066
,53641,52974
,53758,52998
,53800,53056
,53801,53063
,53828,53254
,53713,53074
,54045,53090
,54012,53081
,54068,53180
,54141,53225
,54198,53342
,54207,53301
,54217,53230
,54150,53367
,54262,53406
,54380,53450
,54381,53421
,54448,53445
,54458,53460
,54521,53467
,54536,53523
,54602,53535
,54624,53606
,54628,53607
,54926,53641
,54961,53702
,54963,53714
,54964,53725
,54999,53758
,55110,53800
,55159,53801
,55158,53828
,53777,53713
,55179,53993
,55183,54010
,55238,54045
,55291,54012
,55357,54017
,55354,54068
,55434,54124
,55343,54087
,55570,54141
,55656,54198
,55772,54207
,55778,54217
,55811,54150
,55970,54256
,55974,54262
,55893,54380
,,54377
,,54381
,,54379
,,54406
,,54438
,,54448
,,54458
,,54521
,,54536
,,54602
,,54624
,,54628
,,54710
,,54732
,,54926
,,54961
,,54963
,,54964
,,54999
,,55052
,,55110
,,55102
,,55017
,,55159
,,55158
,,53777
,,55179
,,55183
,,55238
,,55291
,,55309
,,55357
,,55354
,,55434
,,55343
,,52558
,,55570
,,55629
,,55251
,,55656
,,55684
,,55772
,,55778
,,55851
,,55811
,,55820
,,55970
,,55974
,,55978
,,55893
